code,name,1950-07,1951-07,1952-07,1953-07,1954-07,1955-07,1956-07,1957-07,1958-07,1959-07,1960-07,1961-07,1962-07,1963-07,1964-07,1965-07,1966-07,1967-07,1968-07,1969-07,1970-07,1971-07,1972-07,1973-07,1974-07,1975-07,1976-07,1977-07,1978-07,1979-07,1980-07,1981-07,1982-07,1983-07,1984-07,1985-07,1986-07,1987-07,1988-07,1989-07,1990-07,1991-07,1992-07,1993-07,1994-07,1995-07,1996-07,1997-07,1998-07,1999-07,2000-07,2001-07,2002-07,2003-07,2004-07,2005-07,2006-07,2007-07,2008-07,2009-07,2010-07,2011-07,2012-07,2013-07,2014-07
ABW,Aruba (Neth.),643.76,720.89,692.96,678.97,666.55,741.18,735.2,636.9,737.64,700.67,704.23,697.64,646.18,685.52,753.02,648.22,632.16,699.03,717.69,676.42,694.69,649.31,681.44,651.61,668.41,718.71,684.83,716.9,712.39,721.23,632.58,654.09,664.64,659.9,753.38,712.19,681.35,729.24,683.7,603.17,615.47,722.13,649.52,672.82,663.65,666.94,645.48,678.71,670.8,666.03,666.3,614.58,717.74,645.3,665.81,649.19,676.5,594.36,616.74,680.77,657.36,646.29,747.16,659.43,693.38
AFG,Afghanistan,330.14,339.61,375.65,359.84,365.87,368.31,373.01,336.3,401.59,338.57,387.1,361.43,370.52,363.8,364.66,369.32,335.37,332.06,393.86,368.4,381.62,365.21,363.09,371.92,348.61,343.37,365.3,386.16,355.23,351.97,325.12,352.79,385.05,356.15,337.46,353.17,366.25,347.02,344.83,354.67,377.28,356.43,373.23,385.26,380.26,358.35,374.54,371.12,352.56,315.48,340.01,377.48,351.77,374.33,355.91,344.49,361.07,366.97,355.8,351.13,360.14,378.62,377.39,363.13,369.87
AGO,Angola,1159.02,1165.27,1179.13,1163.13,1154.06,1161.02,1165.39,1146.73,1148.73,1138.86,1138.21,1155.42,1122.51,1096.19,1148.88,1172.49,1120.26,1131.2,1128.1,1143.1,1149.75,1137.35,1166.49,1134.07,1123.97,1127.02,1151.22,1153.72,1142.18,1152.57,1143.21,1133.07,1116.12,1146.38,1152.32,1132.18,1129,1128.73,1142.17,1117.23,1131.96,1107.7,1121.29,1099.18,1163.07,1132.65,1181.38,1146.17,1136.75,1132.97,1146.88,1127.72,1107.55,1144.58,1132.41,1133.78,1132.27,1136.93,1125.95,1134.11,1150.38,1118.83,1141.86,1127.39,1145.05
AIA,Anguilla (U.K.),817.35,828.65,891.46,888.11,846.26,849.6,879.14,794.14,894.3,839.54,822.61,846.51,803.67,846.29,956.56,849.27,836.77,862.18,849.53,832.06,797.86,831.82,836.96,856.21,896.23,842.28,789.48,915.97,916.17,887.13,832.36,813.27,897.53,889.52,869.1,813.18,834.15,864.44,803.83,783.49,825.31,929.78,858.93,869.68,848.33,794.06,852.04,798.55,871.71,834.25,797.25,848.72,789.54,797.68,883.14,818.27,829.96,820.09,891.48,850.9,860,846.2,890.35,861.79,816.73
ALA,Finland,626.54,611.65,639.21,623.31,625.89,625.42,630.43,596.15,636.27,632.11,624.51,594.61,617.14,603.08,627.78,604.53,629.06,619.82,600.97,627.72,614.15,605.07,610.02,645.72,618.18,591.15,641.47,594.35,606.3,639.29,616.91,611.69,621.86,614.26,610.69,628.18,623.9,624.77,624.28,628.26,646.38,593.56,641.37,627.12,618.48,599.91,595.5,634,639.09,617.44,651.36,620.05,631.7,644.93,639.97,597.95,622.07,653.51,672.56,650.25,629.75,633.92,610.97,627.11,631.72
ALB,Albania,1306.28,1277.85,1267.63,1341.8,1344.17,1230.37,1255.9,1310.52,1174.89,1288.99,1300.67,1296.62,1308.88,1195.15,1323.55,1344.92,1318.97,1213.34,1271.41,1237.33,1264.38,1297.51,1265.3,1227.58,1219.83,1335.73,1280.57,1219.49,1252.79,1279.98,1244.69,1289.94,1193.72,1274.41,1329.21,1243.64,1299.97,1274.67,1257.38,1191.54,1229.55,1287.92,1319.9,1278.5,1284.35,1357.3,1368.68,1356.74,1274.38,1305.13,1200.7,1296.14,1246.87,1272.08,1327.14,1243.91,1260.8,1286.44,1305.58,1211.22,1261.37,1291.68,1323.86,1335.9,1301.69
AND,Andorra,951.73,1065.38,992.25,1026.65,997.1,1023.06,1003.59,1095.89,1088.5,992.81,1011.29,956.28,983.57,996.91,967.47,1041.83,1041.15,996.39,1049.47,984.32,974.96,999.91,997.13,1012.23,1018.6,941.52,1031.62,1005.12,1003.27,989.17,981.06,995.1,928.48,1029.43,980.07,1007.39,1065.84,947.3,961.14,936.97,954.72,995.71,1012.16,1010.57,1013.9,1005.45,962.27,1004.22,1021.72,1019.17,974.58,957.01,999.41,935.54,1057.94,1043.92,996.3,1012.66,980.03,1005.53,967.86,1065.58,1003.13,1008.95,1045.88
ARE,United Arab Emirates,41.28,60.07,49.44,38.81,45.23,48.1,34.98,40.19,49.2,54.14,55.68,44.74,36.13,35.31,52.13,43.18,35.66,34.34,46.2,48.96,42.97,47.99,37.35,37.78,50.15,37.29,39.95,45.08,39.1,40.57,42.75,40.86,50.82,40.35,35.93,30.44,32.45,38.4,41.91,57.22,56.96,41.81,44.23,50.03,48.4,37.59,34.81,41.13,29.6,41.9,44.84,42.54,38.41,40.38,48.66,33.36,51.42,45.77,70.11,43.4,44.57,45.68,41,39.7,34.25
ARG,Argentina,809.1,799.6,777.35,785.83,814.03,803.12,784.13,792.41,814.18,802.77,804.07,789.72,801.41,796.69,802.83,787.33,791.82,790.98,818.93,805.95,801.46,797.35,801.8,828.76,794.51,793.91,792.59,798.88,780.52,781.52,817.75,809.08,819.12,808.64,801.29,782.04,814.95,790.45,778.88,792.87,852.79,808.74,786.78,832.41,825.87,830,789.44,791.18,809.91,817.08,800.77,807.69,826.78,797.77,824.78,812.31,798.43,805.53,811.51,804.93,807.09,796.35,794.22,793.46,812.41
ARM,Armenia,946.25,878.5,874.76,852.94,901.59,933.29,878.04,924.98,922.04,919.36,899.09,868.74,931.63,875.49,891.68,888.98,889.63,900.3,921.54,857.47,877.31,891.38,871.33,891.03,910.58,877.95,892.95,870.62,896.78,878.64,862.8,872.57,885.01,908.09,875.43,889.53,849.25,865.07,859.59,878.49,854.67,920.67,877.78,860.12,894.16,861.88,870.1,905.85,867.41,870.1,837.16,856.74,883.24,878.67,875.82,871.77,916.81,904.14,875.33,849.66,882.74,913.04,858.8,884.24,867.61
