code,year,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),2. Energy use in agriculture,3. Land area,4. Agriculture land area (% of land area),5. Average precipitation (mm),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizer consumption (kilograms per hectare of arable land)
AFG,1990,11.9,64.17409663,7910000.0,67.11,115.2,652230.0,58.32298422,377.28,0.925,5.625790139,24.52134545,5.625790139
AFG,1991,11.93,64.18815301,7910000.0,68.55,100.8,652230.0,58.30765221,356.43,-0.051,6.144121365,23.99047343,6.144121365
AFG,1992,11.54,64.21052582,7910000.0,68.15,79.2,652230.0,58.30765221,373.23,-0.212,5.790139064,23.46031678,5.790139064
AFG,1993,11.53,64.24414076,7824000.0,72.09,75.6,652230.0,58.16046487,385.26,0.254,5.112474438,22.93016014,5.112474438
AFG,1996,11.96,64.47599237,7647000.0,93.67,57.6,652230.0,57.88908821,374.54,-0.093,0.653851183,21.33969021,0.653851183
AFG,1997,12.09,64.6415192,7685000.0,102.45,57.6,652230.0,57.94734986,371.12,0.46,0.650618087,20.80953357,0.650618087
AFG,1998,12.19,64.7884977,7757000.0,109.93,54.0,652230.0,58.05927357,352.56,0.664,0.902410726,20.282,0.902410726
AFG,1999,12.3,64.8520454,7653000.0,115.17,43.2,652230.0,57.89982062,315.48,1.271,0.65333856,20.282,0.65333856
AFG,2000,12.08,64.76727982,7683000.0,98.12,36.0,652230.0,57.94581666,340.01,1.064,0.650787453,20.282,0.650787453
AFG,2001,12.24,64.59757272,7683000.0,78.92,36.0,652230.0,57.94734986,377.48,1.377,2.394897826,20.282,2.394897826
AFG,2002,12.56,64.41688801,7678000.0,95.13,54.0,652230.0,57.93968385,351.77,1.457,3.194390466,20.282,3.194390466
AFG,2003,12.25,64.17623142,7772000.0,90.49,54.0,652230.0,58.08380479,374.33,0.71,3.478546063,20.282,3.478546063
AFG,2004,12.38,63.82660868,7816000.0,97.17,72.0,652230.0,58.15126566,355.91,1.482,4.243778147,20.282,4.243778147
AFG,2005,12.28,63.31902553,7805000.0,95.56,72.0,652230.0,58.13440044,344.49,0.513,3.814784113,20.282,3.814784113
AFG,2006,12.37,61.51464943,7794000.0,84.74,216.0,652230.0,58.12366803,361.07,1.838,3.190854503,20.282,3.190854503
AFG,2007,12.48,58.08378502,7794000.0,86.6,360.0,652230.0,58.12980084,366.97,0.794,2.101268925,20.282,2.101268925
AFG,2008,12.2,54.19114381,7794000.0,91.41,360.0,652230.0,58.13286724,355.8,0.808,1.851684629,20.282,1.851684629
AFG,2009,12.44,51.00143731,7793000.0,94.16,360.0,652230.0,58.13286724,351.13,0.948,1.887862184,20.282,1.887862184
AFG,2010,12.47,49.67937703,7793000.0,98.06,432.0,652230.0,58.13440044,360.14,1.664,1.777859618,20.282,1.777859618
AFG,2011,12.73,61.81705591,7791000.0,100.53,360.0,652230.0,58.13133404,378.62,1.455,3.827005519,20.282,3.827005519
AFG,2012,12.55,70.92231651,7790000.0,101.31,360.0,652230.0,58.12980084,377.39,0.271,2.377852375,20.282,2.377852375
AFG,2013,12.68,73.1318159,7785000.0,96.36,540.0,652230.0,58.12366803,363.13,1.345,4.882714194,20.282,4.882714194
AFG,2014,12.75,77.14372755,7771000.0,104.27,540.0,652230.0,58.12366803,369.87,0.521,10.16611247,20.282,10.16611247
ALB,1990,12.3,22.96157928,579000.0,50.06,1080.0,27400.0,40.91240876,1229.55,0.809,176.1658031,1.2,176.1658031
ALB,1991,12.03,22.70311049,578000.0,49.71,810.0,27400.0,41.13138686,1287.92,-0.28,54.15224913,1.19178,54.15224913
