Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,186.730357,626.3070702,324.4375461,299.8507883,376.6487077,456.2332533,367.9417558,427.1141945,343.5599863,244.4117284,334.8474917,245.9171297,306.2620598,133.4834951,-84.95746503,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,2.84984966,3.177182378,3.773238937,4.283144771,6.539768865,9.389800975,8.233372555,10.02818718,12.77373499,17.17487986,20.21601644,19.12254583,19.68712921,18.6125681,17.63358448,20.37496518,22.78551273,26.57618717,29.10242508,28.05224834,33.82070265,32.0037649,34.90064243,30.66093332,29.93545359,30.5572297,22.64270391,21.56194952,20.11804058,19.11025071,19.90811329,20.65548813,26.98389077,38.08611076,36.49259622,35.89914089,39.30243929,42.46632932,47.76607641,49.35730836,47.71609327,53.05720339,47.46683226,51.43154408,44.3762721,42.49458666,40.67174064,44.06441869,42.3627349,45.26523433,,,,
Afghanistan,AFG,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,1.992469475,3.944191807,1.887603031,4.004383109,4.935057354,5.638177887,5.196691837,4.103883987,2.853300888,2.59660094,2.56766252,4.034184415,4.88891715,4.813696159,4.120513768,5.509408302,5.649777743,6.519905315,5.757847947,7.639548752,2.290449712,2.057337479,0.965475887,1.354576559,0.655037653,1.552478748,0.253626339,4.506547616,7.078565334,13.99022365,11.47473979,47.32732479,16.98537351,15.98142235,14.64974879,12.94421937,9.916058975,12.97163123,8.878971769,7.416349235,6.959531279,20.84248339,58.25119651,67.92762861,96.31371632,115.3200636,113.8166274,175.2819026,175.7810165,210.5705822,221.1916415,230.6302446,218.823121,163.3589898,151.0862724,126.630723,117.4900563,106.9409222,103.3748281,109.5325684,107.99741,116.9721434,94.66049981,
Africa Western and Central,AFW,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,4.470091913,4.841878549,4.792561441,5.983313493,8.656710101,10.47964047,9.786391462,10.40270345,14.12751926,16.03476718,17.14975172,16.32377962,15.65241879,14.47245224,16.10285501,16.20032939,21.57605382,22.72437104,25.64896252,29.20902592,31.3125206,30.91130123,30.32127464,28.24806666,33.12012304,29.30461499,27.69423146,21.24154353,22.09251432,18.1866008,15.0181431,16.97845408,21.92496595,22.23669054,27.26222177,46.36400571,63.92314832,38.62028174,37.19732658,41.03020684,43.06383339,38.70987118,41.21542641,36.42934956,37.02133033,35.8528143,32.95605605,36.91960321,37.44276251,40.56961044,,,,
Angola,AGO,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,-0.009333243,4.327983462,,0.005357308,,0.193495014,0.494207387,3.119689566,0.001704099,-0.018554797,-0.004975372,0,0.014140425,0.024322652,0.054391816,0.67683698,2.405467008,6.323304572,6.030940764,5.850892189,6.295282443,6.976806027,6.602100836,7.964032631,9.712299639,9.075663177,12.60576503,12.57053265,14.19767569,14.60378747,22.46835088,22.65818856,27.19887639,22.19543043,33.20969973,29.93188906,31.93345066,23.84886838,21.81772345,24.41850166,18.434113,16.68851985,23.6370583,27.2285747,60.97503193,21.31925694,8.110169964,10.51713664,15.97813175,9.712243304,10.06540558,7.953300615,9.671556952,10.92056399,8.676904869,13.51193712,7.083237649,7.386631375,5.200563665,0.646605257,3.331290583,7.163274477,2.739049677,
Albania,ALB,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.769384287,3.20327842,3.362196555,101.6135142,126.1580211,83.87230286,50.84900251,56.6537777,71.53965864,53.43550837,85.8997645,157.032761,102.8964804,87.74994054,100.7404058,114.9191206,99.42057056,104.626049,108.2823456,89.46750178,117.0251977,112.9727974,125.3235069,130.6211841,120.3833552,93.25438051,97.32083491,116.3466014,59.46939738,58.58796777,120.1935786,9.484298596,109.0896614,225.2827978,113.5872338,
Andorra,AND,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,5.825651226,5.800217251,6.754957105,16.26322515,28.17036965,40.22607227,40.35342456,46.04392482,43.90012889,49.64249255,55.2905869,51.27486069,41.88256265,35.15199976,31.71993848,34.34142588,31.69483131,32.63415936,24.82981401,23.41584212,56.49151093,49.96359435,35.08194567,30.18713371,30.73464334,23.53409322,24.20240045,21.92912317,23.57746696,19.57847943,17.62671392,18.59547034,17.61810454,29.55667097,37.18938267,91.38911213,53.42874043,56.47931915,65.51126935,40.24773667,33.80097457,36.67396476,39.74957845,57.81736116,55.96553787,50.98821247,66.87266673,70.81727497,78.47268421,68.16439184,73.03880895,87.9251777,,
United Arab Emirates,ARE,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,3.072864332,3.830222021,2.888290382,2.483981413,3.508665699,0.115076782,7.122936142,8.202545675,5.290707996,3.435191383,17.74667531,16.28385615,11.92757775,1.721224947,1.19929663,7.453155888,1.693322872,49.31662747,2.098776695,7.738438806,4.023478103,0.299950929,4.01590612,3.482625611,2.537584092,2.935769846,23.27232935,72.77069952,-7.109422906,-3.309447176,1.863009814,-3.814013486,-4.597796527,-4.574314427,-3.447796044,2.222689614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,2.164646358,2.649336117,2.624122635,1.304529988,-0.243683494,-2.591406548,-0.41422808,0.394603595,0.117682838,0.748976608,-0.102336963,0.205586513,0.076789331,0.541953707,0.626725107,0.463758115,0.535939993,0.613541004,0.617399452,1.024864527,1.558619352,1.293584109,1.019612158,1.171659382,1.097472026,1.29031787,2.395902729,2.671347683,4.49594304,6.267843912,5.258649691,8.390381729,7.945893303,7.22803251,4.665876558,4.240242839,3.459796829,2.771389393,2.041222119,2.247563026,2.011287856,4.205921181,2.612905496,3.075382644,2.517275075,2.40257996,2.893087878,2.262758356,3.104253705,2.851957399,3.194776658,2.352072188,4.25943115,0.822928537,1.143439715,-0.437494568,0.060105019,-0.026563855,1.6455966,0.197824992,2.241896438,3.389308913,8.306941051,
