Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Permanent cropland (% of land area),AG.LND.CROP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Permanent cropland (% of land area),AG.LND.CROP.ZS,,0.335035021,0.351848536,0.358711195,0.378063894,0.386985351,0.395495049,0.404759638,0.415053627,0.42164178,0.428229933,0.434543579,0.439621947,0.448612031,0.45547469,0.469405888,0.464464773,0.471876445,0.476543053,0.477092066,0.484091979,0.490131119,0.494042834,0.498503563,0.501042747,0.504474076,0.50440545,0.508317165,0.51003283,0.514150426,0.524787548,0.529385529,0.529522782,0.524101282,0.523964028,0.513532786,0.519915059,0.521562098,0.536454068,0.541395183,0.552787197,0.560336122,0.560816508,0.576326118,0.573497996,0.575296479,0.579406776,0.596592129,0.590391314,0.606204943,0.644149695,0.64581851,0.654965994,0.683606069,0.717040241,0.732928408,0.743766604,0.757562997,0.771775655,0.797163816,0.825128034,0.825936382,,
Afghanistan,AFG,Permanent cropland (% of land area),AG.LND.CROP.ZS,,0.153320148,0.153320148,0.153320148,0.160986155,0.168652163,0.183984177,0.2069822,0.208515401,0.208515401,0.208515401,0.208515401,0.211581804,0.213421646,0.215108167,0.215108167,0.214648207,0.214648207,0.214648207,0.213115005,0.213115005,0.219247811,0.220781013,0.220781013,0.220781013,0.220781013,0.220781013,0.2069822,0.199316192,0.199316192,0.199316192,0.183984177,0.183984177,0.168652163,0.168652163,0.168652163,0.168652163,0.168652163,0.170185364,0.170185364,0.170185364,0.171718566,0.171718566,0.171718566,0.171718566,0.171718566,0.177851371,0.183984177,0.18705058,0.188583782,0.190116983,0.190116983,0.190116983,0.191650185,0.213115005,0.222314214,0.277509468,0.323505512,0.331171519,0.340370728,0.340370728,0.340370728,,
Africa Western and Central,AFW,Permanent cropland (% of land area),AG.LND.CROP.ZS,,0.862093742,0.885859629,0.886522863,0.900671856,0.914268154,0.904761799,0.868726082,0.869831472,0.887628253,0.895034367,0.907856892,0.915594622,0.934938949,0.960073755,0.97736182,0.997923894,1.034183896,1.052866641,1.077297922,1.091558716,1.107256643,1.125718291,1.137878657,1.174691403,1.232729516,1.261030005,1.271200493,1.305691715,1.316746593,1.322052935,1.355770315,1.382965316,1.440671783,1.480800992,1.530437397,1.53751252,1.559180082,1.579942106,1.607779252,1.654851887,1.681915191,1.700134593,1.720233324,1.769516935,1.814268045,1.836688301,1.866625874,1.913532686,1.938219181,1.965171937,1.989471522,1.99884702,2.023036057,2.054189666,2.159300414,2.125009142,2.157599886,2.304166429,2.320395953,2.334195209,2.364596149,,
Angola,AGO,Permanent cropland (% of land area),AG.LND.CROP.ZS,,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.401058795,0.240635277,0.240635277,0.240635277,0.232614101,0.228603513,0.216571749,0.216571749,0.212561161,0.208550574,0.208550574,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.188497634,0.188497634,0.188497634,0.204539986,0.232614101,0.240635277,0.240635277,0.248656453,0.252667041,0.254271276,0.254271276,0.254271276,0.254271276,,
Albania,ALB,Permanent cropland (% of land area),AG.LND.CROP.ZS,,1.715328467,1.861313869,2.00729927,2.116788321,2.262773723,2.372262774,2.481751825,2.554744526,2.737226277,2.846715328,2.919708029,3.065693431,3.211678832,3.467153285,3.613138686,4.01459854,4.087591241,4.160583942,4.160583942,4.270072993,4.306569343,4.379562044,4.416058394,4.525547445,4.525547445,4.525547445,4.525547445,4.525547445,4.562043796,4.562043796,4.562043796,4.562043796,4.562043796,4.562043796,4.562043796,4.562043796,4.452554745,4.452554745,4.452554745,4.416058394,4.416058394,4.416058394,4.416058394,4.416058394,4.416058394,4.416058394,4.379562044,3.175182482,3.175182482,2.554744526,2.700729927,2.806569343,2.890510949,2.934306569,2.95620438,3.03649635,3.072992701,3.089562044,3.138686131,3.210036496,3.198175182,,
Andorra,AND,Permanent cropland (% of land area),AG.LND.CROP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020212766,0.019148936,0.01787234,0.018297872,,
Arab World,ARB,Permanent cropland (% of land area),AG.LND.CROP.ZS,,0.238958477,0.241318561,0.243973655,0.248472565,0.248398812,0.25002137,0.252307701,0.254594032,0.264845646,0.279964932,0.28498011,0.295895497,0.30474671,0.308139341,0.309540644,0.316030894,0.316989681,0.321360937,0.321876766,0.320845109,0.32902467,0.341330856,0.355921423,0.368374989,0.372427924,0.37648086,0.383407695,0.392471985,0.403878916,0.416463335,0.421668261,0.428426666,0.424459412,0.432467387,0.44202553,0.453266082,0.455470112,0.460172042,0.46964937,0.476032976,0.479595422,0.496249807,0.502177206,0.510691861,0.551509924,0.558963791,0.570151442,0.569760907,0.556642227,0.587314568,0.601536003,0.627535001,0.652417031,0.659519622,0.660987099,0.676760458,0.675666404,0.670960056,0.668453081,0.649103408,0.678293415,,
United Arab Emirates,ARE,Permanent cropland (% of land area),AG.LND.CROP.ZS,,0.042241622,0.042241622,0.042241622,0.042241622,0.056322163,0.056322163,0.056322163,0.056322163,0.056322163,0.070402703,0.070402703,0.070402703,0.070402703,0.070402703,0.056322163,0.070402703,0.070402703,0.084483244,0.098563785,0.098563785,0.112644326,0.126724866,0.126724866,0.112644326,0.126724866,0.126724866,0.126724866,0.140805407,0.140805407,0.281610814,0.352013517,0.436496761,0.492818924,0.563221628,0.563221628,0.577302168,0.704027035,0.872993523,2.43593354,2.63306111,2.689383272,2.689383272,2.675302732,2.689383272,2.661222191,2.64714165,2.64714165,2.64714165,0.535060546,0.587158547,0.611095466,0.557589411,0.589974655,0.542100817,0.544916925,0.553365249,0.553365249,0.554773303,0.571669952,0.571669952,0.580849057,,
Argentina,ARG,Permanent cropland (% of land area),AG.LND.CROP.ZS,,0.319729308,0.321921738,0.323748762,0.325941192,0.327768216,0.329960646,0.331787671,0.3339801,0.335807125,0.337999554,0.340191984,0.342019008,0.344211438,0.346038463,0.348230892,0.350057917,0.352250346,0.354077371,0.3562698,0.35846223,0.360289255,0.362481684,0.364674114,0.366501138,0.368328163,0.370520592,0.372347617,0.374540047,0.372713022,0.372713022,0.372713022,0.372713022,0.372713022,0.372713022,0.372713022,0.372713022,0.370885997,0.370885997,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.390252458,0.390252458,0.390252458,0.390252458,,
