code,year,1. Mean air temperature,2. Energy use in agriculture,3. Land area,4. Agriculture land area (% of land area),5. Average precipitation (mm),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizer consumption (kilograms per hectare of arable land),"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Employment in agriculture (% of total employment) (modeled ILO estimate),"15. GDP per capita, PPP (current international $)",16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),20. Fertilizers by Nutrient (phosphate P2O5),21. Fertilizers by Nutrient (potash K2O)
ETH,1950,22.98,,,,1050.06,,,,,,,,,,,,,,,,
ETH,1951,23.0,,,,1035.18,,,,,,,,,,,,,,,,
ETH,1952,23.0,,,,1053.53,,,,,,,,,,,,,,,,
ETH,1953,23.0,,,,1022.02,,,,,,,,,,,,,,,,
ETH,1954,22.97,,,,1063.77,,,,,,,,,,,,,,,,
ETH,1955,22.96,,,,1053.03,,,,,,,,,,,,,,,,
ETH,1956,22.94,,,,1010.71,,,,,,,,,,,,,,,,
ETH,1957,23.0,,,,1057.57,,,,,,,,,,,,,,,,
ETH,1958,23.01,,,,1059.88,,,,,,,,,,,,,,,,
ETH,1959,23.0,,,,1023.37,,,,,,,,,,,,,,,,
ETH,1960,23.04,,,,1076.7,,,,,,,,21739710.0,,,,,,,,
ETH,1961,23.07,,1101000.0,52.53042688,1014.66,-0.043,0.109090909,,0.109090909,,11000000.0,,22281675.0,,,,,-0.043,200.0,1000.0,
ETH,1962,22.98,,1101000.0,52.90554042,1045.69,-0.149,0.113447945,,0.113447945,,11459000.0,,22852158.0,,,,,-0.149,300.0,1000.0,
ETH,1963,22.72,,1101000.0,53.02452316,1035.36,0.148,0.120367982,,0.120367982,,11631000.0,,23448979.0,,,,,0.148,400.0,1000.0,
ETH,1964,22.71,,1101000.0,52.9791099,1062.46,-0.334,0.128965695,,0.128965695,,11631000.0,,24073696.0,,,,,-0.334,500.0,1000.0,
ETH,1965,22.83,,1101000.0,53.2924614,1033.1,-0.346,0.133388912,,0.133388912,,11995000.0,,24727506.0,,,,,-0.346,600.0,1000.0,
ETH,1966,22.9,,1101000.0,53.37874659,1029.43,0.064,0.223695112,,0.223695112,,12070000.0,,25377645.0,,,,,0.064,1200.0,1500.0,
ETH,1967,22.84,,1101000.0,53.45140781,1039.81,-0.425,0.288065844,,0.288065844,,12150000.0,,26051596.0,,,,,-0.425,1500.0,2000.0,
ETH,1968,22.87,,1101000.0,53.56039964,1020.44,-0.503,0.383673469,,0.383673469,,12250000.0,,26778653.0,,,,,-0.503,1700.0,3000.0,
ETH,1969,22.95,,1101000.0,53.76930064,1019.57,0.267,0.399042298,,0.399042298,,12530000.0,,27530388.0,,,,,0.267,2000.0,3000.0,
ETH,1970,22.94,,1101000.0,53.72388738,1057.65,0.386,0.422984836,,0.422984836,,12530000.0,,28308246.0,,,,,0.386,2300.0,3000.0,
ETH,1971,22.96,,1101000.0,53.89645777,1024.39,-0.347,0.41816758,,0.41816758,,12770000.0,,29099594.0,,,,,-0.347,2245.0,3095.0,
ETH,1972,23.01,,1101000.0,54.06902816,1022.81,0.024,0.846769231,,0.846769231,,13000000.0,,29891328.0,,,,,0.024,4922.0,6086.0,
ETH,1973,23.13,,1101000.0,54.0236149,1012.5,0.45,1.301461538,,1.301461538,,13000000.0,,30694316.0,,,,,0.45,6074.0,10845.0,
ETH,1974,23.03,,1101000.0,53.97820163,1034.02,-0.214,1.472615385,,1.472615385,,13000000.0,,31488613.0,,,,,-0.214,7987.0,11157.0,
ETH,1975,22.93,,1101000.0,53.93278837,1009.72,-0.149,2.4,,2.4,,13000000.0,,32252783.0,,,,,-0.149,11000.0,20000.0,200.0
ETH,1976,22.98,,1101000.0,53.88737511,1035.41,-0.037,2.088538462,,2.088538462,,13000000.0,,33062216.0,,,,,-0.037,11000.0,16151.0,
ETH,1977,23.09,,1101000.0,53.86920981,1044.67,0.131,2.00399079,,2.00399079,,13030000.0,,33695018.0,,,,,0.131,7344.0,18768.0,
ETH,1978,23.03,,1101000.0,53.85013624,1037.59,0.101,2.220903522,,2.220903522,,13060000.0,,34259065.0,,,,,0.101,9851.0,18954.0,200.0
ETH,1979,23.08,,1101000.0,53.83923706,1026.54,0.434,2.846241892,,2.846241892,,13105000.0,,34758823.0,,,,,0.434,16000.0,21200.0,100.0
ETH,1980,23.16,,1101000.0,53.69209809,995.68,0.591,3.323076923,,3.323076923,,13000000.0,,34945469.0,,,,,0.591,16000.0,27000.0,200.0
ETH,1981,23.17,,1101000.0,53.46049046,1020.19,0.19,3.59375,,3.59375,,12800000.0,,35818844.0,,,,,0.19,16000.0,30000.0,
ETH,1982,23.12,,1101000.0,53.22888283,1034.2,0.019,2.777777778,,2.777777778,,12600000.0,,37213393.0,,,,,0.019,14300.0,20600.0,100.0
ETH,1983,22.95,,1101000.0,52.99545867,1008.02,0.07,3.758064516,,3.758064516,,12400000.0,,38235187.0,,,,,0.07,16500.0,30000.0,100.0
ETH,1984,23.07,,1101000.0,52.57947321,1027.3,0.523,2.75,,2.75,,12000000.0,,39202890.0,,,,,0.523,13000.0,20000.0,
ETH,1985,23.04,,1101000.0,52.39782016,1007.33,0.402,1.265822785,,1.265822785,,11850000.0,,40285965.0,,,,,0.402,5000.0,10000.0,
ETH,1986,23.2,,1101000.0,52.12079927,1020.98,0.166,4.0,,4.0,,11600000.0,,41455309.0,,,,,0.166,12400.0,34000.0,
ETH,1987,23.21,,1101000.0,51.79836512,999.55,0.374,5.345132743,,5.345132743,,11300000.0,,42851957.0,,,,,0.374,19900.0,40500.0,
ETH,1988,23.21,,1101000.0,51.56675749,1021.5,0.855,6.243243243,,6.243243243,,11100000.0,,44511537.0,,,,,0.855,30200.0,39100.0,
ETH,1989,23.23,,1101000.0,51.33514986,1064.53,0.08,7.706422018,,7.706422018,,10900000.0,,46195954.0,,,,,0.08,38000.0,46000.0,
ETH,1990,23.28,2.6373,1101000.0,51.1462307,1071.45,0.535,7.172093023,,7.172093023,26.01815128,10750000.0,,47878073.0,,414.689480677627,,,0.535,42100.0,35000.0,
ETH,1991,23.21,2.5883,1101000.0,51.00635786,1045.89,0.406,6.20657277,,6.20657277,24.72777459,10650000.0,,49937430.0,77.79874279,381.696429059419,,77.7987427932206,0.406,26500.0,39600.0,
ETH,1992,22.89,2.8564,1101000.0,50.9582198,1006.69,-0.021,8.272300469,,8.272300469,23.77895403,10650000.0,,52011554.0,78.20050525,342.319763619383,,78.2005052498133,-0.021,30100.0,58000.0,
ETH,1993,22.94,,1000000.0,30.54,1035.62,0.077,7.59,,7.59,23.14020544,10000000.0,44.13,53791672.0,77.70940696,383.36979603662,,77.7094069647595,0.077,29500.0,46000.0,400.0
ETH,1994,23.13,,1000000.0,30.472,1049.23,0.403,11.68948852,,11.68948852,22.78004467,9932000.0,44.45,55620211.0,77.41858512,390.762793534772,,77.4185851182043,0.403,39800.0,75900.0,400.0
ETH,1995,23.2,,1000000.0,30.5,1026.76,0.617,13.5110664,,13.5110664,22.66698756,9940000.0,45.2,57476536.0,77.19756205,409.727287053225,,77.1975620499807,0.617,45500.0,88800.0,
ETH,1996,23.25,,1000000.0,30.5,1020.32,0.583,17.88546389,,17.88546389,23.12587611,9927000.0,49.15,59347649.0,76.64406593,454.284992336814,,76.6440659337762,0.583,81049.0,96500.0,
ETH,1997,23.34,,1000000.0,30.492,1063.83,0.515,13.30626263,,13.30626263,24.23017336,9900000.0,49.71,61233480.0,76.60957293,461.923203927135,,76.6095729332924,0.515,54132.0,77600.0,
ETH,1998,23.41,,1000000.0,30.449,1044.6,0.701,16.58699828,,16.58699828,25.57132669,9891000.0,50.76,63136493.0,76.74032448,437.368593881927,,76.7403244814582,0.701,75100.0,88962.0,
ETH,1999,23.37,,1000000.0,30.557,1029.32,0.249,16.98987957,,16.98987957,26.74078349,9881000.0,52.26,65077579.0,76.35541215,452.541816292321,,76.3554121512167,0.249,79790.0,88087.0,
ETH,2000,23.44,,1000000.0,30.534,1026.39,0.51,15.95218801,,15.95218801,27.32999115,9872000.0,52.06,67031867.0,76.63658098,476.587208516879,92.17158,76.6365809793811,0.51,76500.0,80980.0,
ETH,2001,23.59,,1000000.0,30.559,1041.07,0.75,13.68008518,,13.68008518,27.45694338,9862000.0,53.14,69018932.0,76.76261876,512.577634132064,,76.7626187603957,0.75,63180.0,71733.0,
ETH,2002,23.53,,1000000.0,30.498,1061.57,1.09,17.01248351,5.558,17.01248351,27.53349724,9853000.0,75.32,71073215.0,77.23276253,513.154311766481,89.07633,77.232762526382,1.09,97647.0,69977.0,
ETH,2003,23.56,,1000000.0,31.607,1055.68,1.106,5.702324305,6.3257,5.702324305,27.59189512,10928000.0,75.42,73168838.0,78.06610163,497.312058029094,,78.066101629955,1.106,34075.0,28240.0,
ETH,2004,23.52,,1128597.297,29.32932773,1085.93,0.844,10.30928502,7.0934,10.30928502,27.6643794,12364000.0,77.21,75301026.0,77.9187725,563.575531268449,85.98109,77.9187725023631,0.844,81860.0,45604.0,
ETH,2005,23.54,,1128599.766,29.76342988,1049.93,1.127,10.90251891,7.8611,10.90251891,27.78319248,12823000.0,75.29,77469940.0,78.12076364,631.74597724098,,78.1207636418312,1.127,80503.0,59300.0,0.0
ETH,2006,23.51,,1128613.221,30.31951014,1069.29,1.019,11.13100926,8.105372727,11.13100926,28.08627842,13396000.0,81.87,79691050.0,77.42159632,701.669479198582,82.88584,77.4215963168734,1.019,84628.0,64483.0,
ETH,2007,23.46,,1128631.059,31.07924394,1080.61,0.918,16.03989172,8.349990909,16.03989172,28.62669516,14038000.0,85.4,81996185.0,76.60118936,780.660465168498,,76.6011893554614,0.918,106019.0,119149.0,
ETH,2008,23.5,,1128568.396,30.58122141,1067.54,0.858,17.20020579,8.594436364,17.20020579,29.30935591,13606000.0,94.46,84357105.0,75.85739711,856.873946045252,79.7906,75.8573971060241,0.858,111773.0,122253.0,
ETH,2009,23.62,,1128588.692,30.99889291,1056.5,1.371,17.66231718,8.838190909,17.66231718,30.03917389,13948000.0,88.53,86755585.0,75.11065949,912.117245158944,,75.1106594850375,1.371,118364.0,127990.0,
ETH,2010,23.68,,1128570.952,31.61786145,1035.51,1.271,21.84709921,9.082463636,21.84709921,30.72106231,14565000.0,107.54,89237791.0,73.836979,1010.16655241819,76.69536,73.836979003895,1.271,156141.0,162062.0,
ETH,2011,23.75,,1128575.061,32.18678248,1050.49,1.18,20.81905063,9.326736364,20.81905063,31.42915595,15193200.0,97.98,91817929.0,72.73370345,1114.04597197907,,72.7337034490118,1.18,155201.0,161107.0,
ETH,2012,23.7,,1128582.022,32.33083576,1091.51,1.063,30.58634889,9.571009091,30.58634889,32.64396306,15346000.0,96.77,94451280.0,72.09000767,1195.79456144944,73.60011,72.0900076744538,1.063,248889.84,220310.11,178.16
ETH,2013,23.77,,1128572.048,32.51808342,1058.32,1.236,18.25915649,9.815281818,18.25915649,32.2039077,15471000.0,95.05,97084366.0,71.03363982,1270.34723583304,,71.0336398210172,1.236,172037.4,110200.45,249.56
ETH,2014,23.79,,1128538.282,32.70602388,1046.83,1.164,25.3595345,10.05955455,25.3595345,29.7131512,15596000.0,98.82,99746766.0,70.05889549,1505.00533786592,70.50487,70.0588954858675,1.164,237305.19,156794.57,1407.54
ETH,2015,,,1128539.353,32.89296018,,1.463,28.11255391,10.30382727,28.11255391,31.44360902,15721000.0,101.5,102471895.0,69.0389883,1654.8476332229,,69.0389883024349,1.463,244613.12,196584.84,759.5
ETH,2016,,,1128558.509,33.07936603,,1.524,33.78830872,10.55,33.78830872,30.92712568,15846000.0,99.68,105293228.0,68.1833235,1882.68715409659,67.40962,68.1833235044656,1.524,347560.24,187525.32,323.98
ETH,2017,,,1128552.82,33.26392822,,1.338,34.5145862,10.5481,34.5145862,30.41206651,15969200.0,105.88,108197950.0,67.12572698,2031.95729962118,,67.1257269818018,1.338,376625.94,173486.96,1057.43
ETH,2018,,,1128561.429,33.58523429,,0.729,25.952203,10.5481,25.952203,30.26233922,16187000.0,107.62,111129438.0,66.29654878,2124.25462192979,64.31438,66.2965487769858,0.729,254253.13,164365.2,1469.98
ETH,2019,,,1128570.858,33.83925761,,1.064,31.91044466,10.5481,31.91044466,28.68769463,16192000.0,115.94,114120594.0,65.29809605,2274.21413875756,,65.2980960530845,1.064,349522.47,73692.18,2806.25
ETH,2020,,,1128571.265,34.09275178,,1.045,39.88512328,10.5481,39.88512328,27.30532765,16195100.0,127.05,117190911.0,64.57057062,2442.25248371938,64.31438,64.5705706242453,1.045,455512.98,188702.44,1728.14
ETH,2021,,,1128571.265,34.19810622,,1.21,42.07267868,10.5481,42.07267868,,16314000.0,112.51,120283026.0,63.46600856,2628.34346412648,,63.4660085601171,1.21,475877.56,208199.91,2296.21
ETH,2022,,,,,,1.167,,,,,,116.06,123379924.0,62.79135976,2888.7364917158,,62.791359756463,1.167,425893.15,194170.25,0.0
ETH,2023,,,,,,1.198,,,,,,,126527060.0,,3109.2765123205,,,1.198,,,
