code,year,1. Mean air temperature,2. Energy use in agriculture,3. Land area,4. Agriculture land area (% of land area),5. Average precipitation (mm),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizer consumption (kilograms per hectare of arable land),"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Employment in agriculture (% of total employment) (modeled ILO estimate),"15. GDP per capita, PPP (current international $)",16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),20. Fertilizers by Nutrient (phosphate P2O5),21. Fertilizers by Nutrient (potash K2O)
KEN,1950,24.97,,,,753.3,,,,,,,,,,,,,,,,
KEN,1951,25.02,,,,733.65,,,,,,,,,,,,,,,,
KEN,1952,25.01,,,,754.31,,,,,,,,,,,,,,,,
KEN,1953,25.01,,,,730.39,,,,,,,,,,,,,,,,
KEN,1954,25.0,,,,750.94,,,,,,,,,,,,,,,,
KEN,1955,24.98,,,,764.75,,,,,,,,,,,,,,,,
KEN,1956,24.95,,,,698.27,,,,,,,,,,,,,,,,
KEN,1957,25.01,,,,757.15,,,,,,,,,,,,,,,,
KEN,1958,24.97,,,,773.64,,,,,,,,,,,,,,,,
KEN,1959,25.03,,,,753.88,,,,,,,,,,,,,,,,
KEN,1960,25.0,,,,776.66,,,,,,,,7751435.0,,,,,,,,
KEN,1961,25.02,,569140.0,44.27733071,736.14,0.284,3.171428571,,3.171428571,,3500000.0,21.01,8047470.0,,,,,0.284,3000.0,7000.0,1100.0
KEN,1962,24.97,,569140.0,44.28611589,724.9,-0.237,3.457142857,,3.457142857,,3500000.0,20.89,8363578.0,,,,,-0.237,3500.0,7500.0,1100.0
KEN,1963,24.78,,569140.0,44.29490108,697.97,-0.202,4.577714286,,4.577714286,,3500000.0,19.81,8697200.0,,,,,-0.202,7324.0,7532.0,1166.0
KEN,1964,24.72,,569140.0,44.30368626,748.83,-0.45,5.504285714,,5.504285714,,3500000.0,20.99,9047387.0,,,,,-0.45,10332.0,8071.0,862.0
KEN,1965,24.85,,569140.0,44.31247145,755.8,-0.306,6.864,,6.864,,3500000.0,22.0,9417207.0,,,,,-0.306,13000.0,10178.0,846.0
KEN,1966,24.91,,569140.0,44.32125663,729.76,0.089,8.763428571,,8.763428571,,3500000.0,21.86,9802605.0,,,,,0.089,11787.0,16560.0,2325.0
KEN,1967,24.83,,569140.0,44.33004182,747.36,-0.03,9.514285714,,9.514285714,,3500000.0,22.09,10201068.0,,,,,-0.03,13000.0,17500.0,2800.0
KEN,1968,24.85,,569140.0,44.338827,733.02,-0.627,9.371428571,,9.371428571,,3500000.0,23.33,10613877.0,,,,,-0.627,10800.0,20000.0,2000.0
KEN,1969,24.94,,569140.0,44.34761219,731.48,0.089,12.08571429,,12.08571429,,3500000.0,23.67,11039551.0,,,,,0.089,16000.0,23900.0,2400.0
KEN,1970,24.92,,569140.0,44.35639737,737.93,0.2,14.14285714,,14.14285714,,3500000.0,26.03,11473087.0,,,,,0.2,22000.0,24400.0,3100.0
KEN,1971,24.97,,569140.0,44.36518256,714.26,-0.241,13.48571429,,13.48571429,,3500000.0,27.23,11898457.0,,,,,-0.241,18500.0,25600.0,3100.0
KEN,1972,25.02,,569140.0,44.37396774,727.08,0.182,15.19685714,,15.19685714,,3500000.0,28.14,12322903.0,,,,,0.182,18496.0,28388.0,6305.0
