code,year,1. Mean air temperature,2. Energy use in agriculture,3. Land area,4. Agriculture land area (% of land area),5. Average precipitation (mm),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizer consumption (kilograms per hectare of arable land),"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Employment in agriculture (% of total employment) (modeled ILO estimate),"15. GDP per capita, PPP (current international $)",16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),20. Fertilizers by Nutrient (phosphate P2O5),21. Fertilizers by Nutrient (potash K2O)
SDN,1950,26.42,,,,214.53,,,,,,,,,,,,,,,,
SDN,1951,26.59,,,,215.84,,,,,,,,,,,,,,,,
SDN,1952,26.5,,,,215.59,,,,,,,,,,,,,,,,
SDN,1953,26.47,,,,224.1,,,,,,,,,,,,,,,,
SDN,1954,26.59,,,,221.2,,,,,,,,,,,,,,,,
SDN,1955,26.48,,,,233.95,,,,,,,,,,,,,,,,
SDN,1956,26.48,,,,223.34,,,,,,,,,,,,,,,,
SDN,1957,26.62,,,,222.4,,,,,,,,,,,,,,,,
SDN,1958,26.5,,,,228.93,,,,,,,,,,,,,,,,
SDN,1959,26.5,,,,230.48,,,,,,,,,,,,,,,,
SDN,1960,26.66,,,,226.3,,,,,,,,8326462.0,,,,,,,,
SDN,1961,26.54,,2376000.0,45.80808081,208.45,,2.292993039,,2.292993039,,10775000.0,,8577490.0,,,,,,,,
SDN,1962,26.58,,2376000.0,45.85016835,222.06,,1.690390805,,1.690390805,,10875000.0,,8841338.0,,,,,,,,
SDN,1963,26.18,,2376000.0,45.89225589,227.65,,2.264692483,,2.264692483,,10975000.0,,9115091.0,,,,,,,,
SDN,1964,26.3,,2376000.0,45.93518519,229.6,,2.134754335,,2.134754335,,11072000.0,,9406702.0,,,,,,,,
SDN,1965,26.4,,2376000.0,45.97727273,214.15,,2.142499105,,2.142499105,,11172000.0,,9712785.0,,,,,,,,
SDN,1966,26.4,,2376000.0,46.01851852,220.42,,2.630878438,,2.630878438,,11270000.0,,10014505.0,,,,,,,,
SDN,1967,26.28,,2376000.0,46.06481481,222.34,,3.500439754,,3.500439754,,11370000.0,,10320500.0,,,,,,,,
SDN,1968,26.36,,2376000.0,46.10563973,220.91,,3.688846254,,3.688846254,,11467000.0,,10638899.0,,,,,,,,
SDN,1969,26.4,,2376000.0,46.14772727,219.26,,3.424137633,,3.424137633,,11567000.0,,10966145.0,,,,,,,,
SDN,1970,26.48,,2376000.0,46.18897306,228.43,,2.829575654,,2.829575654,,11665000.0,,11305206.0,,,,,,,,
SDN,1971,26.45,,2376000.0,46.23021886,219.53,,3.24772592,,3.24772592,,11763000.0,,11668921.0,,,,,,,,
SDN,1972,26.5,,2376000.0,46.27146465,215.62,,4.482168451,,4.482168451,,11861000.0,,12057260.0,,,,,,,,
SDN,1973,26.6,,2376000.0,46.31649832,207.21,,4.585883927,,4.585883927,,11958000.0,,12469591.0,,,,,,,,
SDN,1974,26.51,,2376000.0,46.34048822,226.9,,5.020058261,,5.020058261,,12015000.0,,12950962.0,,,,,,,,
SDN,1975,26.48,,2376000.0,46.38257576,223.13,,7.849773009,,7.849773009,,12115000.0,,13497543.0,,,,,,,,
SDN,1976,26.55,,2376000.0,46.42255892,224.79,,6.552006552,,6.552006552,,12210000.0,,14066007.0,,,,,,,,
SDN,1977,26.58,,2376000.0,46.46380471,219.83,,2.608059799,,2.608059799,,12308000.0,,14667218.0,,,,,,,,
SDN,1978,26.52,,2376000.0,46.47979798,239.89,,0.94192451,,0.94192451,,12346000.0,,15305806.0,,,,,,,,
SDN,1979,26.6,,2376000.0,46.4793771,208.11,,2.747185095,,2.747185095,,12345000.0,,15973034.0,,,,,,,,
SDN,1980,26.61,,2376000.0,46.48569024,214.95,,6.529126214,,6.529126214,,12360000.0,,16673586.0,,,,,,,,
SDN,1981,26.76,,2376000.0,46.4983165,227.14,,6.075060533,,6.075060533,,12390000.0,,17404336.0,,,,,,,,
SDN,1982,26.41,,2376000.0,46.52356902,219.62,,6.385140562,,6.385140562,,12450000.0,,18128631.0,,,,,,,,
SDN,1983,26.49,,2376000.0,46.54461279,217.54,,3.416,,3.416,,12500000.0,,18733995.0,,,,,,,,
SDN,1984,26.66,,2376000.0,46.56776094,214.55,,7.039840637,,7.039840637,,12550000.0,,19165837.0,,,,,,,,
SDN,1985,26.64,,2376000.0,47.43265993,224.82,,7.523809524,,7.523809524,,12600000.0,,19517196.0,,,,,,,,
