code,year,1. Mean air temperature,2. Energy use in agriculture,3. Land area,4. Agriculture land area (% of land area),5. Average precipitation (mm),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizer consumption (kilograms per hectare of arable land),"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Employment in agriculture (% of total employment) (modeled ILO estimate),"15. GDP per capita, PPP (current international $)",16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),20. Fertilizers by Nutrient (phosphate P2O5),21. Fertilizers by Nutrient (potash K2O)
SOM,1950,26.59,,,,297.83,,,,,,,,,,,,,,,,
SOM,1951,26.61,,,,287.7,,,,,,,,,,,,,,,,
SOM,1952,26.59,,,,311.71,,,,,,,,,,,,,,,,
SOM,1953,26.55,,,,288.42,,,,,,,,,,,,,,,,
SOM,1954,26.53,,,,309.31,,,,,,,,,,,,,,,,
SOM,1955,26.6,,,,286.88,,,,,,,,,,,,,,,,
SOM,1956,26.5,,,,286.32,,,,,,,,,,,,,,,,
SOM,1957,26.58,,,,301.89,,,,,,,,,,,,,,,,
SOM,1958,26.62,,,,314.25,,,,,,,,,,,,,,,,
SOM,1959,26.56,,,,290.42,,,,,,,,,,,,,,,,
SOM,1960,26.62,,,,314.99,,,,,,,,2870732.0,,,,,,,,
SOM,1961,26.62,,627340.0,69.98597252,298.06,0.32,0.561167228,,0.561167228,,891000.0,47.85,2945662.0,,,,,0.32,500.0,,
SOM,1962,26.55,,627340.0,69.99394268,296.42,-0.027,0.558035714,,0.558035714,,896000.0,49.41,3022827.0,,,,,-0.027,500.0,,
SOM,1963,26.36,,627340.0,70.00191284,284.31,-0.206,0.554938957,,0.554938957,,901000.0,51.99,3102170.0,,,,,-0.206,500.0,,
SOM,1964,26.39,,627340.0,70.009883,296.94,0.017,1.103752759,,1.103752759,,906000.0,53.8,3183590.0,,,,,0.017,1000.0,,
SOM,1965,26.45,,627340.0,70.01785316,305.59,-0.384,1.646542261,,1.646542261,,911000.0,55.64,3267593.0,,,,,-0.384,1500.0,,
SOM,1966,26.52,,627340.0,70.02582332,266.19,0.182,1.200873362,,1.200873362,,916000.0,57.7,3353665.0,,,,,0.182,1100.0,,
SOM,1967,26.42,,627340.0,70.03379348,307.16,-0.078,2.17155266,,2.17155266,,921000.0,60.7,3441799.0,,,,,-0.078,2000.0,,
SOM,1968,26.42,,627340.0,70.04176364,323.03,-0.579,2.267818575,,2.267818575,,926000.0,64.21,3532420.0,,,,,-0.579,2000.0,100.0,
SOM,1969,26.54,,627340.0,70.0497338,304.26,0.025,3.759398496,,3.759398496,,931000.0,64.75,3625274.0,,,,,0.025,3000.0,200.0,300.0
SOM,1970,26.53,,627340.0,70.05770396,314.75,0.109,2.777777778,,2.777777778,,936000.0,66.5,3720977.0,,,,,0.109,2000.0,300.0,300.0
SOM,1971,26.53,,627340.0,70.06567412,285.82,-0.276,3.825717322,,3.825717322,,941000.0,66.13,3818389.0,,,,,-0.276,1900.0,400.0,1300.0
SOM,1972,26.59,,627340.0,70.07364428,281.24,0.193,3.805496829,,3.805496829,,946000.0,67.43,3918220.0,,,,,0.193,2600.0,400.0,600.0
SOM,1973,26.63,,627340.0,70.08161444,304.38,0.504,2.94426919,,2.94426919,,951000.0,65.97,4022336.0,,,,,0.504,2100.0,500.0,200.0
SOM,1974,26.64,,627340.0,70.0895846,280.58,-0.071,3.036649215,,3.036649215,,955000.0,64.04,4125823.0,,,,,-0.071,1900.0,500.0,500.0
SOM,1975,26.51,,627340.0,70.09755475,261.79,0.04,3.791666667,,3.791666667,,960000.0,69.99,4228289.0,,,,,0.04,1840.0,500.0,1300.0
SOM,1976,26.54,,627340.0,70.10552491,318.72,0.172,,,,,965000.0,72.46,4333779.0,,,,,0.172,,,
SOM,1977,26.68,,627340.0,70.11349507,293.73,0.35,0.103199174,,0.103199174,,969000.0,77.51,4449505.0,,,,,0.35,100.0,,
SOM,1978,26.62,,627340.0,70.12146523,301.54,0.065,0.205338809,,0.205338809,,974000.0,79.55,4777703.0,,,,,0.065,100.0,,100.0
SOM,1979,26.64,,627340.0,70.12943539,287.39,0.052,0.102145046,,0.102145046,,979000.0,81.92,5408813.0,,,,,0.052,100.0,,
SOM,1980,26.66,,627340.0,70.13740555,279.34,0.69,1.219512195,,1.219512195,,984000.0,84.81,5892224.0,,,,,0.69,1200.0,,
SOM,1981,26.68,,627340.0,70.14537571,284.92,-0.132,1.31445905,,1.31445905,,989000.0,85.99,5934938.0,,,,,-0.132,1300.0,,
SOM,1982,26.71,,627340.0,70.15334587,275.96,0.275,1.006036217,,1.006036217,,994000.0,88.08,5951805.0,,,,,0.275,800.0,100.0,100.0
SOM,1983,26.53,,627340.0,70.16131603,282.89,0.424,2.402402402,,2.402402402,,999000.0,89.33,6142513.0,,,,,0.424,1800.0,300.0,300.0
SOM,1984,26.65,,627340.0,70.16928619,295.54,-0.032,3.844621514,,3.844621514,,1004000.0,89.82,6369020.0,,,,,-0.032,2600.0,750.0,510.0
SOM,1985,26.58,,627340.0,70.17725635,305.89,-0.039,0.594648167,,0.594648167,,1009000.0,92.41,6630637.0,,,,,-0.039,,300.0,300.0
SOM,1986,26.73,,627340.0,70.18522651,300.74,0.055,1.696252465,,1.696252465,,1014000.0,91.49,6908579.0,,,,,0.055,920.0,400.0,400.0
SOM,1987,26.69,,627340.0,70.19319667,292.42,0.824,3.634577603,0.81,3.634577603,,1018000.0,98.99,7158004.0,,,,,0.824,3000.0,300.0,400.0
SOM,1988,26.74,,627340.0,70.1995728,290.49,0.675,2.154750245,1.000761539,2.154750245,,1021000.0,103.75,7160461.0,,,,,0.675,1300.0,500.0,400.0
SOM,1989,26.77,,627340.0,70.20116683,312.61,-0.149,2.64446621,1.191523077,2.64446621,,1021000.0,104.61,7035378.0,,,,,-0.149,1400.0,800.0,500.0
SOM,1990,26.85,39.5451,627340.0,70.2043549,324.36,0.06,2.641878669,1.382284615,2.641878669,22.51186527,1022000.0,97.44,6999096.0,,429.053359187416,,,0.06,1700.0,500.0,500.0
SOM,1991,26.83,43.2151,627340.0,70.2043549,293.68,0.181,,1.573046154,,19.72124498,1022000.0,83.16,6732702.0,38.70822093,474.719160242833,,38.708220928875,0.181,,,
SOM,1992,26.46,38.4054,627340.0,70.20594893,301.08,0.479,,1.763807692,,17.80132329,1023000.0,71.33,6428141.0,38.74174038,465.375081459566,,38.7417403844084,0.479,,,
SOM,1993,26.58,41.1979,627340.0,70.20754296,282.24,0.105,,1.954569231,,16.60816105,1024000.0,78.65,6620729.0,38.71307173,481.006403800896,,38.7130717318074,0.105,,,
SOM,1994,26.69,43.8435,627340.0,70.21710715,319.04,0.438,,2.145330769,,15.99781909,1030000.0,87.17,6959828.0,39.47743325,383.934450244973,,39.4774332545201,0.438,,,
SOM,1995,26.76,36.6012,627340.0,70.22667134,293.18,0.404,,2.336092308,,15.82635824,1035000.0,89.48,7210930.0,39.4835498,393.432321154552,,39.4835497993223,0.404,,,
SOM,1996,26.81,37.6404,627340.0,70.2346415,282.55,0.56,0.481231954,2.526853846,0.481231954,17.14538734,1039000.0,92.66,7472450.0,39.26450234,417.720756094378,,39.2645023389456,0.56,500.0,,
SOM,1997,26.92,36.1196,627340.0,70.24261166,320.7,0.352,0.479386385,2.717615385,0.479386385,20.2907644,1043000.0,93.45,7734313.0,39.58120306,415.383706735106,,39.5812030605409,0.352,500.0,,
