code,year,1. Mean air temperature,2. Energy use in agriculture,3. Land area,4. Agriculture land area (% of land area),5. Average precipitation (mm),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizer consumption (kilograms per hectare of arable land),"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Employment in agriculture (% of total employment) (modeled ILO estimate),"15. GDP per capita, PPP (current international $)",16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),20. Fertilizers by Nutrient (phosphate P2O5),21. Fertilizers by Nutrient (potash K2O)
SSD,1950,27.29,,,,1159.09,,,,,,,,,,,,,,,,
SSD,1951,27.44,,,,1173.55,,,,,,,,,,,,,,,,
SSD,1952,27.32,,,,1175.3,,,,,,,,,,,,,,,,
SSD,1953,27.39,,,,1151.29,,,,,,,,,,,,,,,,
SSD,1954,27.35,,,,1185.53,,,,,,,,,,,,,,,,
SSD,1955,27.29,,,,1193.84,,,,,,,,,,,,,,,,
SSD,1956,27.32,,,,1162.89,,,,,,,,,,,,,,,,
SSD,1957,27.42,,,,1206.29,,,,,,,,,,,,,,,,
SSD,1958,27.33,,,,1156.67,,,,,,,,,,,,,,,,
SSD,1959,27.4,,,,1154.68,,,,,,,,,,,,,,,,
SSD,1960,27.44,,,,1199.56,,,,,,,,2907724.0,,,,,,,,
SSD,1961,27.43,,,,1162.19,,,,,,,,2948953.0,,,,,,,,
SSD,1962,27.42,,,,1157.49,,,,,,,,2992270.0,,,,,,,,
SSD,1963,27.06,,,,1165.01,,,,,,,,3036238.0,,,,,,,,
SSD,1964,27.04,,,,1176.54,,,,,,,,3088701.0,,,,,,,,
SSD,1965,27.18,,,,1173.32,,,,,,,,3143622.0,,,,,,,,
SSD,1966,27.18,,,,1188.41,,,,,,,,3185305.0,,,,,,,,
SSD,1967,27.21,,,,1149.14,,,,,,,,3221957.0,,,,,,,,
SSD,1968,27.34,,,,1141.12,,,,,,,,3261725.0,,,,,,,,
SSD,1969,27.34,,,,1139.14,,,,,,,,3301892.0,,,,,,,,
SSD,1970,27.37,,,,1168.52,,,,,,,,3342410.0,,,,,,,,
SSD,1971,27.26,,,,1171.51,,,,,,,,3396808.0,,,,,,,,
SSD,1972,27.4,,,,1149.8,,,,,,,,3464715.0,,,,,,,,
SSD,1973,27.47,,,,1144.36,,,,,,,,3542465.0,,,,,,,,
SSD,1974,27.37,,,,1170.39,,,,,,,,3629608.0,,,,,,,,
SSD,1975,27.37,,,,1149.37,,,,,,,,3718279.0,,,,,,,,
SSD,1976,27.34,,,,1156.55,,,,,,,,3808615.0,,,,,,,,
SSD,1977,27.49,,,,1155.95,,,,,,,,3901044.0,,,,,,,,
SSD,1978,27.34,,,,1171.76,,,,,,,,3995911.0,,,,,,,,
