code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
AGO,1950,,22.08,,,,,,,,,,,,,,,,,,,
AGO,1951,,22.11,,,,,,,,,,,,,,,,,,,
AGO,1952,,22.08,,,,,,,,,,,,,,,,,,,
AGO,1953,,22.05,,,,,,,,,,,,,,,,,,,
AGO,1954,,22.11,,,,,,,,,,,,,,,,,,,
AGO,1955,,22.12,,,,,,,,,,,,,,,,,,,
AGO,1956,,22.03,,,,,,,,,,,,,,,,,,,
AGO,1957,,22.14,,,,,,,,,,,,,,,,,,,
AGO,1958,,22.09,,,,,,,,,,,,,,,,,,,
AGO,1959,,22.16,,,,,,,,,,,,,,,,,,,
AGO,1960,,22.18,,,,5357195.0,,,,,,,,,,,,,,,
AGO,1961,,22.16,,2670000.0,23.14,5441333.0,300.0,,,0.06,500.0,,,,1246700.0,36.23726638,,0.06,0.374531835,,200.0
AGO,1962,,22.12,,2700000.0,23.83,5521400.0,300.0,,,-0.132,500.0,,,,1246700.0,36.24368332,,-0.132,0.37037037,,200.0
AGO,1963,,21.79,,2720000.0,24.43,5599827.0,400.0,,,-0.171,500.0,,,,1246700.0,36.24127697,,-0.171,0.514705882,,500.0
AGO,1964,,21.84,,2750000.0,26.04,5673199.0,600.0,,,-0.21,1000.0,,,,1246700.0,36.24769391,,-0.21,0.763636364,,500.0
AGO,1965,,21.99,,2770000.0,27.2,5736582.0,700.0,,,-0.173,2800.0,,,,1246700.0,36.24528756,,-0.173,1.444043321,,500.0
AGO,1966,,21.95,,2800000.0,27.98,5787044.0,800.0,,,0.198,3600.0,,,,1246700.0,36.2517045,,0.198,1.857142857,,800.0
AGO,1967,,21.95,,2830000.0,28.87,5827503.0,900.0,,,-0.086,5000.0,,,,1246700.0,36.25731932,,-0.086,2.367491166,,800.0
AGO,1968,,21.99,,2860000.0,28.94,5868203.0,2100.0,,,-0.202,5000.0,,,,1246700.0,36.26373626,,-0.202,2.657342657,,500.0
AGO,1969,,22.11,,2900000.0,30.41,5928386.0,3200.0,,,0.173,5000.0,,,,1246700.0,36.27737226,,0.173,3.620689655,,2300.0
AGO,1970,,22.13,,2900000.0,32.65,6029700.0,3800.0,,,0.246,5500.0,,,,1246700.0,36.25972568,,0.246,3.896551724,,2000.0
AGO,1971,,22.07,,2900000.0,33.34,6177049.0,7900.0,,,-0.075,11200.0,,,,1246700.0,36.24127697,,-0.075,8.620689655,,5900.0
AGO,1972,,22.06,,2900000.0,33.05,6364731.0,6400.0,,,-0.012,11200.0,,,,1246700.0,36.22363038,,-0.012,7.689655172,,4700.0
AGO,1973,,22.17,,2900000.0,34.09,6578230.0,5400.0,,,0.45,9100.0,,,,1246700.0,36.20518168,,0.45,7.379310345,,6900.0
AGO,1974,25.63,22.18,,2900000.0,34.65,6802494.0,3500.0,,,-0.201,6500.0,,,,1246700.0,36.18753509,,-0.201,5.206896552,,5100.0
AGO,1975,21.7,22.12,,2900000.0,38.03,7032713.0,1300.0,,,-0.075,2100.0,,,,1246700.0,36.16988851,,-0.075,1.413793103,,700.0
AGO,1976,17.03,22.15,,2900000.0,34.71,7266780.0,600.0,,,-0.339,1000.0,,,,1246700.0,35.99101628,,-0.339,0.724137931,,500.0
