code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
BFA,1950,,28.09,,,,,,,,,,,,,,,,,,,
BFA,1951,,28.33,,,,,,,,,,,,,,,,,,,
BFA,1952,,28.17,,,,,,,,,,,,,,,,,,,
BFA,1953,,28.2,,,,,,,,,,,,,,,,,,,
BFA,1954,,28.26,,,,,,,,,,,,,,,,,,,
BFA,1955,,28.12,,,,,,,,,,,,,,,,,,,
BFA,1956,,28.12,,,,,,,,,,,,,,,,,,,
BFA,1957,,28.37,,,,,,,,,,,,,,,,,,,
BFA,1958,,28.18,,,,,,,,,,,,,,,,,,,
BFA,1959,,28.21,,,,,,,,,,,,,,,,,,,
BFA,1960,,28.34,,,,4783259.0,,,,,,,,,,,,,,,
BFA,1961,,28.17,,2124000.0,9.17,4852833.0,29.0,,,-0.328,,,,,273600.0,29.74780702,,-0.328,0.013653484,,
BFA,1962,,28.21,,2134000.0,9.41,4924497.0,110.0,,,-0.256,,,,,273600.0,29.78435673,,-0.256,0.051546392,,
BFA,1963,,27.83,,2144000.0,9.98,4998671.0,77.0,,,0.125,,,,,273600.0,29.82090643,,0.125,0.035914179,,
BFA,1964,,27.8,,2149000.0,10.62,5076111.0,97.0,,,-0.236,,,,,273600.0,29.85745614,,-0.236,0.045137273,,
BFA,1965,,28.08,,2159000.0,11.5,5157929.0,100.0,,,-0.149,,,,,273600.0,29.89400585,,-0.149,0.04631774,,
BFA,1966,,28.02,,2170000.0,12.17,5242797.0,100.0,,,-0.144,,,,,273600.0,29.93421053,,-0.144,0.046082949,,
