code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
CAF,1950,,25.86,,,,,,,,,,,,,,,,,,,
CAF,1951,,25.95,,,,,,,,,,,,,,,,,,,
CAF,1952,,25.93,,,,,,,,,,,,,,,,,,,
CAF,1953,,25.93,,,,,,,,,,,,,,,,,,,
CAF,1954,,25.85,,,,,,,,,,,,,,,,,,,
CAF,1955,,25.84,,,,,,,,,,,,,,,,,,,
CAF,1956,,25.8,,,,,,,,,,,,,,,,,,,
CAF,1957,,25.93,,,,,,,,,,,,,,,,,,,
CAF,1958,,25.89,,,,,,,,,,,,,,,,,,,
CAF,1959,,25.9,,,,,,,,,,,,,,,,,,,
CAF,1960,,25.96,,,,1679728.0,,,,,,,,,,,,,,,
CAF,1961,,25.97,,1680000.0,10.0,1710364.0,96.0,,,0.005,155.0,,,,622980.0,7.60538059,,0.005,0.182738095,,56.0
CAF,1962,,25.95,,1690000.0,10.32,1742502.0,100.0,,,-0.315,160.0,,,,622980.0,7.62143247,,-0.315,0.189349112,,60.0
CAF,1963,,25.6,,1700000.0,10.67,1776214.0,100.0,,,0.026,170.0,,,,622980.0,7.634273973,,0.026,0.217647059,,100.0
CAF,1964,,25.56,,1710000.0,10.85,1811694.0,100.0,,,-0.159,200.0,,,,622980.0,7.656746605,,-0.159,0.233918129,,100.0
CAF,1965,,25.71,,1720000.0,11.37,1849171.0,100.0,,,-0.067,600.0,,,,622980.0,7.672798485,,-0.067,0.465116279,,100.0
CAF,1966,,25.72,,1730000.0,11.41,1888853.0,200.0,,,0.023,800.0,,,,622980.0,7.688850364,,0.023,0.63583815,,100.0
CAF,1967,,25.8,,1740000.0,12.61,1930861.0,200.0,,,-0.309,1000.0,,,,622980.0,7.704902244,,-0.309,0.747126437,,100.0
CAF,1968,,25.88,,1750000.0,12.02,1975257.0,200.0,,,-0.216,1200.0,,,,622980.0,7.720954124,,-0.216,0.914285714,,200.0
CAF,1969,,25.83,,1760000.0,13.28,2021519.0,745.0,,,0.098,1183.0,,,,622980.0,7.737006003,,0.098,1.095454545,,
CAF,1970,,25.89,,1770000.0,14.13,2067356.0,756.0,,,0.202,1167.0,,,,622980.0,7.753057883,,0.202,1.255932203,,300.0
CAF,1971,,25.81,,1780000.0,14.95,2111224.0,600.0,,,-0.086,1400.0,,,,622980.0,7.769109763,,-0.086,1.179775281,,100.0
CAF,1972,,25.92,,1790000.0,15.11,2153613.0,483.0,,,0.027,1000.0,,,,622980.0,7.785161642,,0.027,1.012849162,,330.0
CAF,1973,,25.93,,1800000.0,15.73,2195905.0,400.0,,,0.512,937.0,,,,622980.0,7.801213522,,0.512,0.920555556,,320.0
CAF,1974,40.84,25.92,,1810000.0,16.53,2239305.0,450.0,,,-0.095,1800.0,,,,622980.0,7.817265402,,-0.095,1.61878453,,680.0
CAF,1975,40.87,25.88,,1820000.0,17.89,2283927.0,600.0,,,-0.095,600.0,,,,622980.0,7.849369161,,-0.095,0.934065934,,500.0
CAF,1976,41.37,25.82,,1830000.0,17.57,2318349.0,200.0,,,-0.162,1200.0,,,,622980.0,7.865421041,,-0.162,0.87431694,,200.0
CAF,1977,41.28,25.97,,1840000.0,18.9,2342048.0,200.0,,,0.263,1200.0,,,,622980.0,7.88147292,,0.263,0.923913043,,300.0
CAF,1978,39.57,25.92,,1850000.0,20.68,2365957.0,100.0,,,0.076,1200.0,,,,622980.0,7.8975248,,0.076,0.864864865,,300.0
CAF,1979,42.28,25.99,,1860000.0,20.03,2390329.0,,,,0.406,100.0,,,,622980.0,7.91357668,,0.406,0.053763441,,
CAF,1980,42.08,25.97,,1870000.0,22.73,2415276.0,27.0,,,0.444,1400.0,,,,622980.0,7.937654499,,0.444,0.777540107,,27.0
CAF,1981,42.28,26.09,,1870000.0,24.22,2441010.0,28.0,,,-0.082,1200.0,,,,622980.0,7.937654499,,-0.082,0.671657754,,28.0
CAF,1982,43.47,25.96,,1870000.0,26.1,2467635.0,,,,0.084,700.0,,,,622980.0,7.945680439,,0.084,0.374331551,,
CAF,1983,41.31,25.93,,1870000.0,28.77,2495097.0,63.0,,,0.3,278.0,,,,622980.0,7.945680439,,0.3,0.242245989,,112.0
CAF,1984,39.75,25.97,,1870000.0,29.32,2523538.0,,,,0.026,1100.0,,,,622980.0,7.948890815,,0.026,0.64171123,,100.0
CAF,1985,37.99,25.93,,1870000.0,31.79,2553075.0,200.0,,,0.083,2500.0,,,,622980.0,7.950496003,,0.083,1.550802139,,200.0
CAF,1986,42.93,26.11,,1870000.0,33.18,2583631.0,27.0,,,0.375,622.0,,,,622980.0,7.952101191,,0.375,0.361497326,,27.0
CAF,1987,39.32,26.04,,1870000.0,37.15,2615594.0,21.0,,,0.413,769.0,,,,622980.0,7.953706379,,0.413,0.43368984,0.0194,21.0
CAF,1988,41.86,26.14,,1870000.0,39.39,2657235.0,21.0,,,0.155,518.0,,,,622980.0,7.955311567,,0.155,0.30855615,0.023,38.0
CAF,1989,41.64,26.13,,1870000.0,41.05,2724109.0,38.0,,,-0.205,690.0,,,,622980.0,7.955311567,,-0.205,0.410695187,0.0266,40.0
CAF,1990,40.93,26.27,32.83474669,1870000.0,42.56,2809221.0,40.0,,,0.282,800.0,21.3308,,,622980.0,7.955311567,1343,0.282,0.502673797,0.0302,100.0
CAF,1991,40.73,26.09,32.72071409,1870000.0,44.38,2898052.0,,,76.466865252057,0.448,800.0,22.005,,,622980.0,7.958521943,,0.448,0.481283422,0.0338,100.0
CAF,1992,40.5,25.84,32.64829268,1870000.0,46.43,2991727.0,100.0,,76.698437600439,-0.463,900.0,21.8689,,,622980.0,7.961732319,,-0.463,0.588235294,0.0374,100.0
CAF,1993,40.77,25.85,32.60966493,1870000.0,47.16,3089146.0,100.0,,76.7486205336952,0.222,1000.0,22.1225,,,622980.0,7.961732319,,0.222,0.64171123,0.041,100.0
CAF,1994,43.57,26.02,32.59701333,1870000.0,48.2,3187844.0,100.0,,76.5800382135306,0.458,100.0,22.5664,,,622980.0,7.961732319,,0.458,0.160427807,0.0446,100.0
CAF,1995,45.43,26.0,32.60252036,1870000.0,51.46,3276706.0,100.0,,76.373320348872,0.059,100.0,20.2346,,,622980.0,7.945680439,,0.059,0.160427807,0.0482,100.0
CAF,1996,50.34,26.06,32.76640766,1870000.0,60.28,3363570.0,100.0,,76.6807884813906,0.008,100.0,20.8953,,,622980.0,7.945680439,,0.008,0.160427807,0.0518,100.0
CAF,1997,52.96,26.2,33.1400609,1870000.0,54.71,3458472.0,100.0,,76.4960658224535,0.358,100.0,18.5245,,,622980.0,7.945680439,,0.358,0.160427807,0.0554,100.0
CAF,1998,53.74,26.21,33.58240863,1870000.0,55.86,3555064.0,200.0,,76.2809114493011,1.153,200.0,15.2066,,,622980.0,7.945680439,,1.153,0.320855615,0.059,200.0
CAF,1999,51.76,26.17,33.95237941,1870000.0,56.44,3655360.0,200.0,,75.7767648446318,0.396,200.0,16.7725,,,622980.0,7.945680439,,0.396,0.320855615,0.0626,200.0
CAF,2000,53.37,26.3,34.10890181,1870000.0,67.92,3759170.0,200.0,85.96516,76.0358602715553,0.597,200.0,16.5079,,,622980.0,7.948890815,1343,0.597,0.320855615,0.0662,200.0
CAF,2001,55.13,26.48,33.93057269,1870000.0,68.28,3844773.0,200.0,,75.8057715190093,0.363,200.0,17.0342,,,622980.0,7.948890815,,0.363,0.320855615,0.06746,200.0
CAF,2002,53.89,26.44,33.50162558,1870000.0,70.39,3930648.0,0.0,83.12315,75.5063908756571,0.722,0.77,15.7976,,,622980.0,7.948890815,,0.722,0.042122995,0.06872,78.0
CAF,2003,50.94,26.36,32.989444,1870000.0,69.06,4026841.0,0.0,,76.1942146430933,0.813,0.07,16.7152,,,622980.0,7.937654499,,0.813,0.000171123,0.06998,0.25
CAF,2004,52.85,26.35,32.56141147,1870000.0,74.34,4115138.0,23.81,80.28114,75.6760027918273,0.932,11.85,21.8407,,,622980.0,7.937654499,,0.932,0.069475936,0.07124,94.26
CAF,2005,53.41,26.35,32.38491152,1870000.0,76.43,4208834.0,0.0,,75.5420910823421,0.977,245.07,23.3257,,,622980.0,7.937654499,,0.977,0.131058824,0.0725,0.01
CAF,2006,54.47,26.4,32.42908325,1870000.0,78.59,4294352.0,97.2,77.43913,75.1301330248699,0.968,300.82,21.7645,,,622980.0,7.92962856,,0.968,0.228893048,0.0725,30.01
CAF,2007,57.1,26.32,32.54653419,1870000.0,83.48,4375569.0,194.4,,74.7364709516671,0.491,349.7,20.5112,,,622980.0,7.92962856,,0.491,0.323048128,0.0725,60.0
CAF,2008,58.09,26.39,32.72985047,1870000.0,84.59,4467233.0,82.51,74.59712,74.5469535526584,0.52,176.77,19.0753,,,622980.0,7.92962856,,0.52,0.213518717,0.0725,140.0
CAF,2009,60.21,26.42,32.97161826,1866000.0,86.64,4564540.0,81.0,,73.8348050645728,0.96,190.06,20.7719,,,622980.0,7.923207808,,0.96,0.217609861,0.0725,135.0
CAF,2010,99.52,26.49,33.2644237,1834000.0,90.53,4660067.0,210.0,71.75511,73.3727952210326,1.019,221.67,21.0086,,,622980.0,7.876657357,,1.019,0.294258451,0.0725,108.0
