code,year,0. Crop production index,1. Mean air temperature,4. Agriculture land area (% of land area)_x,4. Agriculture land area (% of land area)_y,5. Average precipitation (mm),7. Fertilizer consumption (kilograms per hectare of arable land)_x,7. Fertilizer consumption (kilograms per hectare of arable land)_y,13. Population_x,13. Population_y,17. Employment in agriculture (% of total employment) (modeled ILO estimate)_x,17. Employment in agriculture (% of total employment) (modeled ILO estimate)_y
CMR,1991,31.64,24.81,19.35647649,19.35647649,1784.76,3.042016807,3.042016807,11777719.0,11777719.0,68.7533005956661,68.7533005956661
CMR,1992,31.37,24.45,19.37763111,19.37763111,1748.43,3.506711409,3.506711409,12128604.0,12128604.0,68.8059488466509,68.8059488466509
CMR,1993,33.36,24.51,19.37763111,19.37763111,1788.41,3.742281879,3.742281879,12486773.0,12486773.0,68.899725868241,68.899725868241
CMR,1994,35.24,24.68,19.37763111,19.37763111,1812.19,5.033557047,5.033557047,12848862.0,12848862.0,68.8561428875054,68.8561428875054
CMR,1995,38.03,24.7,19.37763111,19.37763111,1843.1,5.033557047,5.033557047,13211647.0,13211647.0,68.6548257138903,68.6548257138903
CMR,1996,40.23,24.74,19.37763111,19.37763111,1811.92,5.704697987,5.704697987,13575324.0,13575324.0,68.3905137209826,68.3905137209826
CMR,1997,38.31,24.89,19.37763111,19.37763111,1845.45,6.575503356,6.575503356,13941181.0,13941181.0,68.0669298904593,68.0669298904593
CMR,1998,41.11,24.88,19.37763111,19.37763111,1793.14,6.633053691,6.633053691,14314599.0,14314599.0,67.6587306960132,67.6587306960132
CMR,1999,42.8,24.87,19.37763111,19.37763111,1801.22,8.30704698,8.30704698,14698973.0,14698973.0,67.1644504351913,67.1644504351913
CMR,2000,43.55,24.96,19.37763111,19.37763111,1820.06,7.732214765,7.732214765,15091594.0,15091594.0,66.6471659281055,66.6471659281055
CMR,2001,43.77,25.11,19.37763111,19.37763111,1824.51,8.809060403,8.809060403,15493253.0,15493253.0,65.8875049253467,65.8875049253467
CMR,2002,44.69,25.06,19.37763111,19.37763111,1810.42,9.768624161,9.768624161,15914033.0,15914033.0,65.0423530007551,65.0423530007551
CMR,2003,46.93,25.06,19.37763111,19.37763111,1864.64,8.155201342,8.155201342,16354326.0,16354326.0,64.0603193188644,64.0603193188644
CMR,2004,48.05,25.06,19.4834042,19.4834042,1832.61,11.06275168,11.06275168,16809407.0,16809407.0,62.895299230702,62.895299230702
CMR,2005,58.35,25.06,19.48975059,19.48975059,1811.93,7.998993795,7.998993795,17275171.0,17275171.0,61.9846484434518,61.9846484434518
CMR,2006,62.32,25.08,19.48975059,19.48975059,1833.88,9.032198558,9.032198558,17751333.0,17751333.0,60.970293834812,60.970293834812
CMR,2007,66.17,25.05,19.48975059,19.48975059,1832.46,8.622840852,8.622840852,18251866.0,18251866.0,59.8273530087206,59.8273530087206
CMR,2008,68.46,25.11,19.59552368,19.59552368,1819.66,6.557437531,6.557437531,18777081.0,18777081.0,58.251675589127,58.251675589127
CMR,2009,73.87,25.14,19.70129678,19.70129678,1835.29,7.002850914,7.002850914,19319274.0,19319274.0,56.6207876173748,56.6207876173748
CMR,2010,81.99,25.18,20.51998054,20.51998054,1850.49,9.239032258,9.239032258,19878036.0,19878036.0,54.9885715552421,54.9885715552421
CMR,2011,83.09,25.25,20.62575363,20.62575363,1857.66,11.03596774,11.03596774,20448873.0,20448873.0,53.1935327011914,53.1935327011914
CMR,2012,89.66,25.32,20.62575363,20.62575363,1868.14,10.33573387,10.33573387,21032684.0,21032684.0,51.3747583646334,51.3747583646334
CMR,2013,92.3,25.3,20.62575363,20.62575363,1819.96,10.05833871,10.05833871,21632850.0,21632850.0,49.4802843152564,49.4802843152564
CMR,2014,96.08,25.29,20.62575363,20.62575363,1846.15,9.621035484,9.621035484,22299585.0,22299585.0,47.6130356162622,47.6130356162622
