code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
CPV,1950,,22.89,,,,,,,,,,,,,,,,,,,
CPV,1951,,22.79,,,,,,,,,,,,,,,,,,,
CPV,1952,,22.97,,,,,,,,,,,,,,,,,,,
CPV,1953,,22.71,,,,,,,,,,,,,,,,,,,
CPV,1954,,22.67,,,,,,,,,,,,,,,,,,,
CPV,1955,,22.95,,,,,,,,,,,,,,,,,,,
CPV,1956,,22.84,,,,,,,,,,,,,,,,,,,
CPV,1957,,22.8,,,,,,,,,,,,,,,,,,,
CPV,1958,,22.84,,,,,,,,,,,,,,,,,,,
CPV,1959,,22.72,,,,,,,,,,,,,,,,,,,
CPV,1960,,22.83,,,,209849.0,,,,,,,,,,,,,,,
CPV,1961,,22.85,,38000.0,13.29,214788.0,,,,-0.092,,,,,4030.0,16.12903226,,-0.092,,,
CPV,1962,,22.89,,38000.0,13.32,221484.0,,,,0.271,,,,,4030.0,16.12903226,,0.271,,,
CPV,1963,,22.82,,38000.0,14.84,228814.0,,,,0.535,,,,,4030.0,16.12903226,,0.535,,,
CPV,1964,,22.72,,38000.0,15.89,236362.0,,,,0.053,,,,,4030.0,16.12903226,,0.053,,,
CPV,1965,,22.67,,38000.0,16.81,244156.0,,,,-0.267,,,,,4030.0,16.12903226,,-0.267,,,
CPV,1966,,22.8,,38000.0,18.16,252238.0,,,,0.329,,,,,4030.0,16.12903226,,0.329,,,
CPV,1967,,22.76,,38000.0,18.3,260648.0,,,,-0.001,,,,,4030.0,16.12903226,,-0.001,,,
CPV,1968,,22.73,,38000.0,18.97,269408.0,,,,-0.296,,,,,4030.0,16.12903226,,-0.296,,,
CPV,1969,,22.75,,38000.0,18.44,278524.0,,,,0.935,,,,,4030.0,16.12903226,,0.935,,,
CPV,1970,,22.68,,38000.0,20.26,287262.0,,,,0.753,,,,,4030.0,16.12903226,,0.753,,,
CPV,1971,,22.73,,38000.0,20.13,293505.0,,,,-0.212,,,,,4030.0,16.12903226,,-0.212,,,
CPV,1972,,22.76,,38000.0,20.98,296818.0,,,,0.057,,,,,4030.0,16.12903226,,0.057,,,
CPV,1973,,22.87,,38000.0,21.71,299191.0,17.0,,,0.355,28.0,,,,4030.0,16.12903226,,0.355,1.947368421,,29.0
CPV,1974,25.05,22.9,,38000.0,19.46,301682.0,20.0,,,-0.52,23.0,,,,4030.0,16.12903226,,-0.52,1.684210526,,21.0
CPV,1975,26.23,22.8,,38000.0,19.92,304375.0,20.0,,,,50.0,,,,4030.0,16.12903226,,,2.631578947,,30.0
CPV,1976,30.92,22.74,,38000.0,20.16,307015.0,,,,-0.289,100.0,,,,4030.0,16.12903226,,-0.289,2.631578947,,
CPV,1977,30.03,22.98,,38000.0,22.21,309389.0,,,,,100.0,,,,4030.0,16.12903226,,,2.631578947,,
CPV,1978,35,22.77,,38000.0,24.0,311685.0,,,,0.334,100.0,,,,4030.0,16.12903226,,0.334,2.631578947,,
