code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
DZA,1950,,22.43,,,,,,,,,,,,,,,,,,,
DZA,1951,,22.48,,,,,,,,,,,,,,,,,,,
DZA,1952,,22.44,,,,,,,,,,,,,,,,,,,
DZA,1953,,22.38,,,,,,,,,,,,,,,,,,,
DZA,1954,,22.3,,,,,,,,,,,,,,,,,,,
DZA,1955,,22.57,,,,,,,,,,,,,,,,,,,
DZA,1956,,22.4,,,,,,,,,,,,,,,,,,,
DZA,1957,,22.65,,,,,,,,,,,,,,,,,,,
DZA,1958,,22.55,,,,,,,,,,,,,,,,,,,
DZA,1959,,22.51,,,,,,,,,,,,,,,,,,,
DZA,1960,,22.58,,,,11394307.0,,,,,,,,,,,,,,,
DZA,1961,,22.47,,6472000.0,10.58,11598608.0,25000.0,,,0.155,9000.0,,,,2381740.0,19.09150453,,0.155,7.571075402,,15000.0
DZA,1962,,22.45,,6300000.0,9.79,11778260.0,25000.0,,,0.12,15000.0,,,,2381740.0,18.85176384,,0.12,8.73015873,,15000.0
DZA,1963,,22.33,,6200000.0,8.93,11969451.0,20000.0,,,0.05,18000.0,,,,2381740.0,18.688018,,0.05,8.548387097,,15000.0
DZA,1964,,22.29,,6132000.0,10.21,12179099.0,20000.0,,,0.254,16000.0,,,,2381740.0,18.54274606,,0.254,8.561643836,,16500.0
DZA,1965,,22.14,,6203000.0,11.33,12381256.0,14536.0,,,-0.111,13347.0,,,,2381740.0,18.54400564,,-0.111,6.295985813,,11171.0
DZA,1966,,22.42,,6221000.0,11.99,12613389.0,20800.0,,,0.405,17150.0,,,,2381740.0,18.54400564,,0.405,8.246262659,,13350.0
DZA,1967,,22.36,,6301000.0,12.71,12897115.0,25000.0,,,-0.024,14530.0,,,,2381740.0,18.57927398,,-0.024,8.178066973,,12000.0
DZA,1968,,22.32,,6243000.0,14.26,13190975.0,29000.0,,,-0.065,20000.0,,,,2381740.0,18.55912064,,-0.065,10.89219926,,19000.0
DZA,1969,,22.29,,6233000.0,14.8,13491016.0,28000.0,,,0.247,29000.0,,,,2381740.0,18.55912064,,0.247,11.23054709,,13000.0
DZA,1970,,22.27,,6248000.0,14.86,13795915.0,50000.0,,,0.08,43000.0,,,,2381740.0,18.56457884,,0.08,17.76568502,2.0,18000.0
DZA,1971,,22.32,,6380000.0,16.15,14110271.0,74000.0,,,-0.412,68000.0,,,,2381740.0,19.07554981,,-0.412,28.05642633,2.1,37000.0
DZA,1972,,22.49,,6510000.0,16.93,14439748.0,94000.0,,,-0.36,81000.0,,,,2381740.0,19.06001495,,-0.36,33.02611367,2.2,40000.0
DZA,1973,,22.46,,6512000.0,17.61,14786469.0,85000.0,,,-0.023,76000.0,,,,2381740.0,18.60152661,,-0.023,28.86977887,2.3,27000.0
