code,year,0. Crop production index,1. Mean air temperature,4. Agriculture land area (% of land area)_x,4. Agriculture land area (% of land area)_y,5. Average precipitation (mm),7. Fertilizer consumption (kilograms per hectare of arable land)_x,7. Fertilizer consumption (kilograms per hectare of arable land)_y,13. Population_x,13. Population_y,17. Employment in agriculture (% of total employment) (modeled ILO estimate)_x,17. Employment in agriculture (% of total employment) (modeled ILO estimate)_y
ETH,1993,25.73,22.94,30.54,30.54,1035.62,7.59,7.59,53791672.0,53791672.0,77.7094069647595,77.7094069647595
ETH,1994,26.11,23.13,30.472,30.472,1049.23,11.68948852,11.68948852,55620211.0,55620211.0,77.4185851182043,77.4185851182043
ETH,1995,30.49,23.2,30.5,30.5,1026.76,13.5110664,13.5110664,57476536.0,57476536.0,77.1975620499807,77.1975620499807
ETH,1996,36.45,23.25,30.5,30.5,1020.32,17.88546389,17.88546389,59347649.0,59347649.0,76.6440659337762,76.6440659337762
ETH,1997,36.53,23.34,30.492,30.492,1063.83,13.30626263,13.30626263,61233480.0,61233480.0,76.6095729332924,76.6095729332924
ETH,1998,32.46,23.41,30.449,30.449,1044.6,16.58699828,16.58699828,63136493.0,63136493.0,76.7403244814582,76.7403244814582
ETH,1999,35.2,23.37,30.557,30.557,1029.32,16.98987957,16.98987957,65077579.0,65077579.0,76.3554121512167,76.3554121512167
ETH,2000,36.45,23.44,30.534,30.534,1026.39,15.95218801,15.95218801,67031867.0,67031867.0,76.6365809793811,76.6365809793811
ETH,2001,38.81,23.59,30.559,30.559,1041.07,13.68008518,13.68008518,69018932.0,69018932.0,76.7626187603957,76.7626187603957
ETH,2002,37.74,23.53,30.498,30.498,1061.57,17.01248351,17.01248351,71073215.0,71073215.0,77.232762526382,77.232762526382
ETH,2003,39.19,23.56,31.607,31.607,1055.68,5.702324305,5.702324305,73168838.0,73168838.0,78.066101629955,78.066101629955
ETH,2004,42.64,23.52,29.32932773,29.32932773,1085.93,10.30928502,10.30928502,75301026.0,75301026.0,77.9187725023631,77.9187725023631
ETH,2005,50.66,23.54,29.76342988,29.76342988,1049.93,10.90251891,10.90251891,77469940.0,77469940.0,78.1207636418312,78.1207636418312
ETH,2006,51.31,23.51,30.31951014,30.31951014,1069.29,11.13100926,11.13100926,79691050.0,79691050.0,77.4215963168734,77.4215963168734
ETH,2007,56.26,23.46,31.07924394,31.07924394,1080.61,16.03989172,16.03989172,81996185.0,81996185.0,76.6011893554614,76.6011893554614
ETH,2008,57.76,23.5,30.58122141,30.58122141,1067.54,17.20020579,17.20020579,84357105.0,84357105.0,75.8573971060241,75.8573971060241
ETH,2009,65.63,23.62,30.99889291,30.99889291,1056.5,17.66231718,17.66231718,86755585.0,86755585.0,75.1106594850375,75.1106594850375
ETH,2010,72.55,23.68,31.61786145,31.61786145,1035.51,21.84709921,21.84709921,89237791.0,89237791.0,73.836979003895,73.836979003895
ETH,2011,76.5,23.75,32.18678248,32.18678248,1050.49,20.81905063,20.81905063,91817929.0,91817929.0,72.7337034490118,72.7337034490118
ETH,2012,80.55,23.7,32.33083576,32.33083576,1091.51,30.58634889,30.58634889,94451280.0,94451280.0,72.0900076744538,72.0900076744538
ETH,2013,88.89,23.77,32.51808342,32.51808342,1058.32,18.25915649,18.25915649,97084366.0,97084366.0,71.0336398210172,71.0336398210172
ETH,2014,95.98,23.79,32.70602388,32.70602388,1046.83,25.3595345,25.3595345,99746766.0,99746766.0,70.0588954858675,70.0588954858675
