code,year,0. Crop production index,1. Mean air temperature,4. Agriculture land area (% of land area)_x,4. Agriculture land area (% of land area)_y,5. Average precipitation (mm),7. Fertilizer consumption (kilograms per hectare of arable land)_x,7. Fertilizer consumption (kilograms per hectare of arable land)_y,13. Population_x,13. Population_y,17. Employment in agriculture (% of total employment) (modeled ILO estimate)_x,17. Employment in agriculture (% of total employment) (modeled ILO estimate)_y
GAB,1991,66.22,24.88,7.806659681,7.806659681,2019.71,1.916932907,1.916932907,1009995.0,1009995.0,44.3208915576312,44.3208915576312
GAB,1992,62.69,24.47,7.83057399,7.83057399,1986.7,1.587301587,1.587301587,1037446.0,1037446.0,44.0733080732596,44.0733080732596
GAB,1993,60.76,24.53,7.854488299,7.854488299,2043.68,1.261829653,1.261829653,1065390.0,1065390.0,43.5151844287294,43.5151844287294
GAB,1994,62.01,24.75,7.878402608,7.878402608,2088.59,1.253918495,1.253918495,1093611.0,1093611.0,43.0449492878847,43.0449492878847
GAB,1995,62.65,24.77,7.902316917,7.902316917,2084.63,1.230769231,1.230769231,1121964.0,1121964.0,42.3988914741319,42.3988914741319
GAB,1996,66.28,24.8,7.926231226,7.926231226,2106.0,0.615384615,0.615384615,1150601.0,1150601.0,41.7955842865679,41.7955842865679
GAB,1997,67.91,24.95,7.950145535,7.950145535,2079.95,0.615384615,0.615384615,1179806.0,1179806.0,41.177312590772,41.177312590772
GAB,1998,70.98,24.99,7.974059844,7.974059844,2052.79,1.332307692,1.332307692,1209832.0,1209832.0,40.4634496425215,40.4634496425215
GAB,1999,69.38,24.98,7.997974153,7.997974153,2047.39,0.923076923,0.923076923,1240764.0,1240764.0,40.6864307725003,40.6864307725003
GAB,2000,72.84,25.05,8.021888462,8.021888462,2079.93,0.923076923,0.923076923,1272935.0,1272935.0,40.4276336031143,40.4276336031143
GAB,2001,70.93,25.19,8.041522102,8.041522102,2063.59,0.923076923,0.923076923,1306590.0,1306590.0,39.6483361684867,39.6483361684867
GAB,2002,72.59,25.16,8.061155742,8.061155742,2024.65,5.578461538,5.578461538,1341696.0,1341696.0,39.2850973035063,39.2850973035063
GAB,2003,73.02,25.13,8.080789382,8.080789382,2149.25,3.612307692,3.612307692,1378398.0,1378398.0,38.808776327812,38.808776327812
GAB,2004,72.26,25.19,8.100423022,8.100423022,2082.58,5.107692308,5.107692308,1417110.0,1417110.0,38.4124714121139,38.4124714121139
GAB,2005,73.28,25.2,8.120056662,8.120056662,2037.14,8.344615385,8.344615385,1458353.0,1458353.0,37.9627296530418,37.9627296530418
GAB,2006,74.81,25.16,8.139690302,8.139690302,2067.97,8.458461538,8.458461538,1502534.0,1502534.0,37.7014620330064,37.7014620330064
GAB,2007,76.95,25.17,8.159323941,8.159323941,2097.86,9.058461538,9.058461538,1549774.0,1549774.0,36.9846737504755,36.9846737504755
GAB,2008,82.38,25.22,8.178957581,8.178957581,2059.48,10.51692308,10.51692308,1599978.0,1599978.0,36.8041005877645,36.8041005877645
GAB,2009,82.62,25.25,8.198591221,8.198591221,2050.75,12.02153846,12.02153846,1653542.0,1653542.0,36.2991958325906,36.2991958325906
GAB,2010,86.39,25.27,8.218224861,8.218224861,2116.33,3.16,3.16,1711105.0,1711105.0,35.586902587574,35.586902587574
GAB,2011,92.17,25.33,8.264338107,8.264338107,2108.82,5.649230769,5.649230769,1772500.0,1772500.0,34.7914512157764,34.7914512157764
GAB,2012,91.64,25.43,8.310451353,8.310451353,2106.48,10.08818462,10.08818462,1836705.0,1836705.0,34.0279268651662,34.0279268651662
GAB,2013,95.93,25.36,8.356564598,8.356564598,2107.57,10.14123077,10.14123077,1902226.0,1902226.0,33.2816066894093,33.2816066894093
GAB,2014,99.09,25.37,8.356564598,8.356564598,2103.27,13.07895385,13.07895385,1966855.0,1966855.0,32.6072601795484,32.6072601795484
