code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
GIN,1950,,25.87,,,,,,,,,,,,,,,,,,,
GIN,1951,,25.99,,,,,,,,,,,,,,,,,,,
GIN,1952,,25.85,,,,,,,,,,,,,,,,,,,
GIN,1953,,25.93,,,,,,,,,,,,,,,,,,,
GIN,1954,,25.99,,,,,,,,,,,,,,,,,,,
GIN,1955,,25.87,,,,,,,,,,,,,,,,,,,
GIN,1956,,25.87,,,,,,,,,,,,,,,,,,,
GIN,1957,,26.02,,,,,,,,,,,,,,,,,,,
GIN,1958,,26.0,,,,,,,,,,,,,,,,,,,
GIN,1959,,25.96,,,,,,,,,,,,,,,,,,,
GIN,1960,,26.01,,,,3516814.0,,,,,,,,,,,,,,,
GIN,1961,,25.86,,3520000.0,12.98,3578631.0,500.0,,,-0.159,500.0,,,,245720.0,59.49861631,,-0.159,0.480113636,,690.0
GIN,1962,,25.93,,3519000.0,13.32,3642324.0,500.0,,,-0.163,500.0,,,,245720.0,59.49454664,,-0.163,0.483091787,,700.0
GIN,1963,,25.57,,3495000.0,13.75,3707945.0,500.0,,,0.13,500.0,,,,245720.0,59.39687449,,0.13,0.543633763,,900.0
GIN,1964,,25.58,,3471000.0,14.16,3775510.0,500.0,,,-0.206,800.0,,,,245720.0,59.29920234,,-0.206,0.893114376,,1800.0
GIN,1965,,25.81,,3448000.0,14.54,3845074.0,500.0,,,-0.132,500.0,,,,245720.0,59.20559987,,-0.132,0.870069606,,2000.0
GIN,1966,,25.82,,3424000.0,15.13,3916780.0,500.0,,,-0.018,1000.0,,,,245720.0,59.10792772,,-0.018,1.022196262,,2000.0
GIN,1967,,25.7,,3400000.0,14.7,3990760.0,500.0,,,-0.244,1000.0,,,,245720.0,59.01025558,,-0.244,1.029411765,,2000.0
GIN,1968,,25.85,,3376000.0,15.28,4067333.0,500.0,,,-0.179,1000.0,,,,245720.0,58.91258343,,-0.179,0.740521327,,1000.0
GIN,1969,,25.96,,3352000.0,14.42,4145194.0,500.0,,,0.446,1000.0,,,,245720.0,58.81491128,,0.446,0.745823389,,1000.0
GIN,1970,,25.95,,3329000.0,14.42,4222374.0,500.0,,,0.349,1500.0,,,,245720.0,58.72130881,,0.349,0.901171523,,1000.0
GIN,1971,,25.89,,3305000.0,14.3,4298087.0,100.0,,,-0.116,1600.0,,,,245720.0,58.62363666,,-0.116,0.877458396,,1200.0
