code,year,0. Crop production index,1. Mean air temperature,4. Agriculture land area (% of land area)_x,4. Agriculture land area (% of land area)_y,5. Average precipitation (mm),7. Fertilizer consumption (kilograms per hectare of arable land)_x,7. Fertilizer consumption (kilograms per hectare of arable land)_y,13. Population_x,13. Population_y,17. Employment in agriculture (% of total employment) (modeled ILO estimate)_x,17. Employment in agriculture (% of total employment) (modeled ILO estimate)_y
GMB,1991,79.74,28.02,57.50988142,57.50988142,788.67,4.591836735,4.591836735,1083536.0,1083536.0,66.4350777158028,66.4350777158028
GMB,1992,61.03,27.57,54.15019763,54.15019763,776.85,4.938271605,4.938271605,1127152.0,1127152.0,66.0357022778192,66.0357022778192
GMB,1993,73.09,27.78,54.0513834,54.0513834,807.33,4.968944099,4.968944099,1168309.0,1168309.0,65.6297558343287,65.6297558343287
GMB,1994,75.93,27.86,55.03952569,55.03952569,771.82,4.444444444,4.444444444,1205882.0,1205882.0,65.4729560674075,65.4729560674075
GMB,1995,72.68,27.96,55.03952569,55.03952569,820.76,5.102702703,5.102702703,1242155.0,1242155.0,65.1238789654718,65.1238789654718
GMB,1996,58.03,28.0,55.03952569,55.03952569,784.61,4.236842105,4.236842105,1279070.0,1279070.0,64.4614897376346,64.4614897376346
GMB,1997,75.2,28.13,55.03952569,55.03952569,733.07,5.365853659,5.365853659,1317002.0,1317002.0,63.7117208135058,63.7117208135058
GMB,1998,73.99,28.14,56.02766798,56.02766798,824.4,11.62790698,11.62790698,1356189.0,1356189.0,63.0155517515882,63.0155517515882
GMB,1999,111.7,28.21,56.02766798,56.02766798,824.23,5.333333333,5.333333333,1396499.0,1396499.0,62.169688157951,62.169688157951
GMB,2000,125.44,28.21,50.0,50.0,780.52,3.418803419,3.418803419,1437539.0,1437539.0,61.2566605837193,61.2566605837193
GMB,2001,136.64,28.4,47.82608696,47.82608696,776.8,3.278688525,3.278688525,1479449.0,1479449.0,60.3435677683652,60.3435677683652
GMB,2003,105.41,28.31,46.54150198,46.54150198,782.36,10.68560606,10.68560606,1566257.0,1566257.0,59.4140779657549,59.4140779657549
GMB,2004,134.21,28.38,47.23320158,47.23320158,782.96,9.186813187,9.186813187,1612225.0,1612225.0,58.4513301062187,58.4513301062187
GMB,2005,113.58,28.3,47.92490119,47.92490119,775.39,11.204947,11.204947,1660368.0,1660368.0,58.3205592837888,58.3205592837888
GMB,2006,120.99,28.39,49.01185771,49.01185771,796.76,10.82593857,10.82593857,1711294.0,1711294.0,57.8043060486629,57.8043060486629
GMB,2007,83.16,28.28,49.01185771,49.01185771,774.04,8.97689769,8.97689769,1764883.0,1764883.0,57.0828368104755,57.0828368104755
GMB,2008,125.18,28.39,55.92885375,55.92885375,802.37,4.260752688,4.260752688,1820542.0,1820542.0,56.2106035994568,56.2106035994568
GMB,2009,150.82,28.43,61.46245059,61.46245059,772.99,6.343457944,6.343457944,1878119.0,1878119.0,55.2500352781845,55.2500352781845
GMB,2010,171.86,28.44,63.63636364,63.63636364,737.08,7.3,7.3,1937275.0,1937275.0,54.3597825509536,54.3597825509536
GMB,2011,102.57,28.52,63.63636364,63.63636364,759.53,10.27555556,10.27555556,1998212.0,1998212.0,54.5778536725322,54.5778536725322
GMB,2012,131.33,28.45,63.63636364,63.63636364,838.13,2.582311111,2.582311111,2061014.0,2061014.0,53.6901971217316,53.6901971217316
GMB,2013,116.79,28.52,63.63636364,63.63636364,767.24,0.403955556,0.403955556,2124869.0,2124869.0,52.9629244490661,52.9629244490661
GMB,2014,97.31,28.54,63.63636364,63.63636364,789.18,0.455155556,0.455155556,2189019.0,2189019.0,52.6353428075834,52.6353428075834
