code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
GNQ,1950,,24.02,,,,,,,,,,,,,,,,,,,
GNQ,1951,,24.08,,,,,,,,,,,,,,,,,,,
GNQ,1952,,24.03,,,,,,,,,,,,,,,,,,,
GNQ,1953,,24.01,,,,,,,,,,,,,,,,,,,
GNQ,1954,,23.97,,,,,,,,,,,,,,,,,,,
GNQ,1955,,24.01,,,,,,,,,,,,,,,,,,,
GNQ,1956,,23.97,,,,,,,,,,,,,,,,,,,
GNQ,1957,,24.05,,,,,,,,,,,,,,,,,,,
GNQ,1958,,24.05,,,,,,,,,,,,,,,,,,,
GNQ,1959,,24.0,,,,,,,,,,,,,,,,,,,
GNQ,1960,,24.07,,,,267351.0,,,,,,,,,,,,,,,
GNQ,1961,,23.96,,44000.0,40.49,272264.0,350.0,,,-0.14,450.0,,,,28050.0,5.235294118,,-0.14,18.18181818,,
GNQ,1962,,24.0,,42000.0,42.66,277490.0,350.0,,,-0.055,500.0,,,,28050.0,5.16399287,,-0.055,20.23809524,,
GNQ,1963,,23.72,,41000.0,42.42,283018.0,400.0,,,0.245,500.0,,,,28050.0,5.128342246,,0.245,21.95121951,,
GNQ,1964,,23.76,,39000.0,43.34,288852.0,400.0,,,-0.148,500.0,,,,28050.0,5.057040998,,-0.148,23.07692308,,
GNQ,1965,,23.85,,38000.0,45.68,295010.0,500.0,,,-0.173,500.0,,,,28050.0,5.021390374,,-0.173,26.31578947,,
GNQ,1966,,23.87,,36000.0,45.22,301517.0,,,,0.121,,,,,28050.0,4.950089127,,0.121,,,
GNQ,1967,,23.85,,35000.0,45.65,308374.0,800.0,,,-0.088,1000.0,,,,28050.0,4.914438503,,-0.088,51.42857143,,
GNQ,1968,,23.87,,33000.0,46.16,315325.0,600.0,,,-0.088,1000.0,,,,28050.0,4.843137255,,-0.088,48.48484848,,
GNQ,1969,,23.94,,32000.0,49.85,318846.0,600.0,,,0.082,1000.0,,,,28050.0,4.807486631,,0.082,50.0,,
GNQ,1970,,23.94,,30000.0,50.8,316955.0,700.0,,,0.218,1200.0,,,,28050.0,4.736185383,,0.218,63.33333333,,
GNQ,1971,,23.95,,29000.0,51.74,311952.0,,,,-0.144,1200.0,,,,28050.0,4.700534759,,-0.144,41.37931034,,
GNQ,1972,,23.96,,31000.0,54.24,305362.0,,,,-0.103,1200.0,,,,28050.0,4.629233512,,-0.103,38.70967742,,
GNQ,1973,,24.09,,30000.0,54.94,298050.0,,,,0.437,100.0,,,,28050.0,4.593582888,,0.437,3.333333333,,
GNQ,1974,63.53,24.05,,28000.0,55.35,290558.0,,,,-0.191,100.0,,,,28050.0,4.52228164,,-0.191,3.571428571,,
GNQ,1975,53.98,23.9,,27000.0,58.13,283262.0,,,,-0.208,100.0,,,,28050.0,4.486631016,,-0.208,3.703703704,,
GNQ,1976,46.89,23.98,,25000.0,58.7,276000.0,,,,-0.367,100.0,,,,28050.0,4.415329768,,-0.367,4.0,,
GNQ,1977,45.56,24.07,,24000.0,59.21,271377.0,,,,0.141,100.0,,,,28050.0,4.379679144,,0.141,4.166666667,,
GNQ,1978,47.2,24.03,,22000.0,60.93,270866.0,,,,-0.043,100.0,,,,28050.0,4.308377897,,-0.043,4.545454545,,
GNQ,1979,48.81,24.07,,21000.0,61.2,273925.0,,,,0.337,100.0,,,,28050.0,4.272727273,,0.337,4.761904762,,
GNQ,1980,53.03,24.11,,19000.0,61.76,282509.0,,,,0.294,100.0,,,,28050.0,4.201426025,,0.294,5.263157895,,
GNQ,1981,58.8,24.17,,18000.0,64.81,296950.0,,,,0.071,,,,,28050.0,4.165775401,,0.071,,,
GNQ,1982,54.58,24.07,,16000.0,66.97,315741.0,,,,-0.12,,,,,28050.0,4.094474153,,-0.12,,,
GNQ,1983,55.5,23.98,,15000.0,67.3,336744.0,,,,0.127,,,,,28050.0,4.058823529,,0.127,,,
GNQ,1984,58.27,24.07,,15000.0,68.74,357995.0,,,,0.195,,,,,28050.0,3.844919786,,0.195,,,
GNQ,1985,57.74,24.06,,15000.0,70.31,378379.0,,,,-0.025,,,,,28050.0,3.844919786,,-0.025,,,
GNQ,1986,59.01,24.2,,15000.0,71.75,397276.0,,,,-0.089,,,,,28050.0,3.844919786,,-0.089,,,
GNQ,1987,63.35,24.1,,15000.0,73.43,414769.0,,,,0.379,,,,,28050.0,3.844919786,,0.379,,0.01,
GNQ,1988,63.27,24.12,,15000.0,75.11,431587.0,,,,0.294,,,,,28050.0,3.844919786,,0.294,,0.010569231,
GNQ,1989,60.28,24.15,,15000.0,76.79,448420.0,,,,-0.031,,,,,28050.0,3.844919786,,-0.031,,0.011138462,
GNQ,1990,76.87,24.29,36.07250499,16000.0,79.27,465549.0,,,,0.14,,6.6362,,,28050.0,3.702317291,2156,0.14,,0.011707692,
GNQ,1991,74.7,24.22,34.39528051,16000.0,80.95,483142.0,,,68.6242327195089,,,6.9229,,,28050.0,3.702317291,,,,0.012276923,
GNQ,1992,71.47,23.86,33.09632729,17000.0,82.63,501334.0,,,68.4320277691431,-0.225,,6.7289,,,28050.0,3.737967914,,-0.225,,0.012846154,
GNQ,1993,69.23,23.91,32.17245432,17000.0,84.31,520236.0,,,67.5498019223887,0.068,,7.2139,,,28050.0,3.666666667,,0.068,,0.013415385,
GNQ,1994,69.4,24.12,31.62047061,17000.0,91.57,539992.0,,,67.8806195233781,0.29,,7.2871,,,28050.0,3.666666667,,0.29,,0.013984615,
GNQ,1995,70.51,24.15,31.43718516,17000.0,92.94,560740.0,,,66.824023233119,0.931,,6.6753,,,28050.0,3.666666667,,0.931,,0.014553846,
GNQ,1996,72.59,24.19,31.9334763,18000.0,94.18,582573.0,,,65.94870921019,0.478,,5.6987,,,28050.0,3.702317291,,0.478,,0.015123077,
GNQ,1997,73.49,24.31,33.11693952,19000.0,95.55,605570.0,,,64.9812764884232,,,4.1166,,,28050.0,3.737967914,,,,0.015692308,
GNQ,1998,71.87,24.34,34.52945951,20000.0,96.79,629734.0,,,63.6700236966825,1.005,,4.3009,,,28050.0,3.666666667,,1.005,,0.016261539,
GNQ,1999,72.63,24.32,35.71292093,20000.0,98.56,655029.0,,,63.4455151058325,0.526,,5.4264,,,28050.0,3.666666667,,0.526,,0.016830769,
GNQ,2000,77.1,24.41,36.20920847,22000.0,99.49,684977.0,,,62.8162011990057,0.362,,6.6355,,,28050.0,3.666666667,2156,0.362,,0.0174,
GNQ,2001,77.61,24.53,35.62370816,30000.0,100.11,719270.0,,,61.5822435156428,0.36,,12.7343,,,28050.0,3.666666667,,0.36,,0.01788,
GNQ,2002,76.18,24.49,34.21656525,37000.0,102.27,754115.0,107.12,,60.4478993968041,0.622,234.84,11.8098,,,28050.0,3.666666667,,0.622,17.20378378,0.01836,294.58
GNQ,2003,79.15,24.44,32.51180322,37000.0,102.17,789681.0,130.56,,59.6504933866965,0.901,216.24,12.8946,,,28050.0,3.666666667,,0.901,14.94162162,0.01884,206.04
GNQ,2004,79.76,24.49,31.03344558,37000.0,107.16,826355.0,165.64,,58.3667957784016,0.765,404.0,15.3808,,,28050.0,3.666666667,,0.765,21.89243243,0.01932,240.38
GNQ,2005,82.35,24.48,30.30551582,37000.0,111.27,864726.0,76.0,,57.3742947925729,0.783,260.0,15.9109,,,28050.0,3.671301248,,0.783,14.91891892,0.0198,216.0
GNQ,2006,84.43,24.54,30.13776422,41000.0,103.84,905418.0,125.1,,56.6461502564846,0.649,323.67,14.877,,,28050.0,3.675935829,,0.649,16.41829268,0.0198,224.38
GNQ,2007,87.85,24.5,29.99598315,41000.0,101.87,948814.0,91.75,,55.6645950650492,0.824,286.71,15.8191,,,28050.0,3.68057041,,0.824,15.38439024,0.0198,252.3
GNQ,2008,88.96,24.49,29.88825921,46000.0,106.01,994971.0,106.8,,54.6864143703109,0.693,326.11,13.5535,,,28050.0,3.685204991,,0.693,15.00804348,0.0198,257.46
GNQ,2009,88.86,24.59,29.82267902,54000.0,106.03,1043686.0,93.24,,54.5021160675196,0.817,332.99,17.5869,,,28050.0,3.689839572,,0.817,11.45203704,0.0198,192.18
GNQ,2010,92.07,24.56,29.80732919,54000.0,115.04,1094524.0,153.78,,54.8789454259069,1.093,362.61,21.1496,,,28050.0,3.694474153,,1.093,14.06296296,0.0198,243.01
GNQ,2011,93.85,24.63,30.90974836,54000.0,115.6,1144588.0,189.42,,54.5507049996946,0.767,403.46,34.927,,,28050.0,3.699108734,,0.767,17.43351852,0.0198,348.53
