code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
KEN,1950,,24.97,,,,,,,,,,,,,,,,,,,
KEN,1951,,25.02,,,,,,,,,,,,,,,,,,,
KEN,1952,,25.01,,,,,,,,,,,,,,,,,,,
KEN,1953,,25.01,,,,,,,,,,,,,,,,,,,
KEN,1954,,25.0,,,,,,,,,,,,,,,,,,,
KEN,1955,,24.98,,,,,,,,,,,,,,,,,,,
KEN,1956,,24.95,,,,,,,,,,,,,,,,,,,
KEN,1957,,25.01,,,,,,,,,,,,,,,,,,,
KEN,1958,,24.97,,,,,,,,,,,,,,,,,,,
KEN,1959,,25.03,,,,,,,,,,,,,,,,,,,
KEN,1960,,25.0,,,,7751435.0,,,,,,,,,,,,,,,
KEN,1961,,25.02,,3500000.0,21.01,8047470.0,7000.0,,,0.284,3000.0,,,,569140.0,44.27733071,,0.284,3.171428571,,1100.0
KEN,1962,,24.97,,3500000.0,20.89,8363578.0,7500.0,,,-0.237,3500.0,,,,569140.0,44.28611589,,-0.237,3.457142857,,1100.0
KEN,1963,,24.78,,3500000.0,19.81,8697200.0,7532.0,,,-0.202,7324.0,,,,569140.0,44.29490108,,-0.202,4.577714286,,1166.0
KEN,1964,,24.72,,3500000.0,20.99,9047387.0,8071.0,,,-0.45,10332.0,,,,569140.0,44.30368626,,-0.45,5.504285714,,862.0
KEN,1965,,24.85,,3500000.0,22.0,9417207.0,10178.0,,,-0.306,13000.0,,,,569140.0,44.31247145,,-0.306,6.864,,846.0
KEN,1966,,24.91,,3500000.0,21.86,9802605.0,16560.0,,,0.089,11787.0,,,,569140.0,44.32125663,,0.089,8.763428571,,2325.0
KEN,1967,,24.83,,3500000.0,22.09,10201068.0,17500.0,,,-0.03,13000.0,,,,569140.0,44.33004182,,-0.03,9.514285714,,2800.0
KEN,1968,,24.85,,3500000.0,23.33,10613877.0,20000.0,,,-0.627,10800.0,,,,569140.0,44.338827,,-0.627,9.371428571,,2000.0
KEN,1969,,24.94,,3500000.0,23.67,11039551.0,23900.0,,,0.089,16000.0,,,,569140.0,44.34761219,,0.089,12.08571429,,2400.0
KEN,1970,,24.92,,3500000.0,26.03,11473087.0,24400.0,,,0.2,22000.0,,,,569140.0,44.35639737,,0.2,14.14285714,,3100.0
KEN,1971,,24.97,,3500000.0,27.23,11898457.0,25600.0,,,-0.241,18500.0,,,,569140.0,44.36518256,,-0.241,13.48571429,,3100.0
KEN,1972,,25.02,,3500000.0,28.14,12322903.0,28388.0,,,0.182,18496.0,,,,569140.0,44.37396774,,0.182,15.19685714,,6305.0
KEN,1973,,25.05,,3500000.0,28.15,12760405.0,28000.0,,,0.503,20370.0,,,,569140.0,44.38275293,,0.503,14.56057143,,2592.0
KEN,1974,21.18,25.04,,3500000.0,28.35,13203949.0,29400.0,,,-0.098,19400.0,,,,569140.0,44.39153811,,-0.098,15.08571429,,4000.0
KEN,1975,21.34,24.99,,3800000.0,28.47,13651908.0,20227.0,,,-0.088,21882.0,,,,569140.0,44.93094845,,-0.088,11.70894737,,2385.0
KEN,1976,23.44,24.96,,3800000.0,29.9,14102268.0,27262.0,,,0.173,22417.0,,,,569140.0,44.94149067,,0.173,14.18315789,,4217.0
KEN,1977,24.91,25.07,,3800000.0,35.05,14577346.0,21196.0,,,0.173,25284.0,,,,569140.0,44.94500474,,0.173,13.55842105,,5042.0
KEN,1978,24.54,25.05,,3800000.0,36.58,15087423.0,16497.0,,,-0.022,25416.0,,,,569140.0,44.94500474,,-0.022,13.42157895,,9089.0
KEN,1979,26.17,25.14,,3800000.0,37.6,15620613.0,10200.0,,,0.068,20100.0,,,,569140.0,44.94500474,,0.068,10.07894737,,8000.0
KEN,1980,25.36,25.16,,3800000.0,35.78,16187124.0,25900.0,,,0.585,26700.0,,,,569140.0,44.94500474,,0.585,16.21052632,,9000.0
KEN,1981,26.74,25.18,,3800000.0,33.55,16785962.0,40000.0,,,0.176,37000.0,,,,569140.0,44.94500474,,0.176,21.78947368,,5800.0
KEN,1982,29.68,25.13,,3800000.0,37.64,17411491.0,31000.0,,,0.274,27700.0,,,,569140.0,44.94500474,,0.274,16.5,,4000.0
KEN,1983,29.69,24.97,,3800000.0,40.41,18069461.0,41400.0,,,0.598,30000.0,,,,569140.0,44.94500474,,0.598,19.76315789,,3700.0
KEN,1984,25.27,25.06,,3725000.0,41.79,18753176.0,38757.0,,,0.194,34700.0,,,,569140.0,44.81322697,,0.194,21.94818792,,8300.0
KEN,1985,30.41,25.03,,4574000.0,43.37,19452161.0,44400.0,,,-0.002,48500.0,,,,569140.0,46.30495133,,-0.002,22.43113249,,9700.0
KEN,1986,33.56,25.23,,4593000.0,46.72,20160879.0,42900.0,,,0.19,46200.0,,,,569140.0,46.33833503,,0.19,21.42390594,,9300.0
KEN,1987,31.34,25.21,,4655000.0,50.94,20882094.0,50265.0,,,0.787,47798.0,,,,569140.0,46.44727132,,0.787,23.7084855,,12300.0
KEN,1988,34.04,25.18,,4882000.0,55.55,21626122.0,51900.0,,,0.653,57600.0,,,,569140.0,46.84611871,,0.653,24.80540762,,11600.0
KEN,1989,36.83,25.22,,5273000.0,55.82,22387803.0,48600.0,,,-0.127,49300.0,,,,569140.0,47.53312015,,-0.127,20.12137303,,8200.0
KEN,1990,36.73,25.28,16.28448781,4990000.0,54.88,23162269.0,49700.0,,,-0.027,49100.0,119.0969,,,569140.0,47.03587869,630,-0.027,21.38276553,2.049,7900.0
KEN,1991,52.99,25.2,16.30250845,5097000.0,56.23,23918235.0,54100.0,,47.9918074367169,0.262,52400.0,124.3881,,,569140.0,47.22388165,,0.262,22.11104571,2.000092308,6200.0
KEN,1992,53.83,24.93,16.35661605,5292000.0,55.7,24655723.0,45800.0,,47.940790749023,0.412,47800.0,131.6195,,,569140.0,47.56650385,,0.412,19.25547997,1.951184615,8300.0
KEN,1993,53.74,24.96,16.44309097,5060000.0,54.75,25391830.0,52100.0,,47.807343468754,0.043,42100.0,135.5438,,,569140.0,47.15887128,,0.043,19.76284585,1.902276923,5800.0
KEN,1994,55.37,25.14,16.55821358,5452000.0,55.08,26133744.0,71000.0,,47.5375261105271,0.484,50800.0,141.276,,,569140.0,47.84762976,,0.484,23.80777696,1.853369231,8000.0
KEN,1995,58.7,25.19,16.69826426,5438000.0,55.49,26878347.0,40000.0,,47.1546591790734,0.361,33000.0,144.5389,,,569140.0,47.82303124,,0.361,14.4170651,1.804461539,5400.0
KEN,1996,55.96,25.29,17.25723831,4671000.0,55.55,27615736.0,75800.0,,46.7613209372641,0.363,63000.0,160.9418,,,569140.0,46.47538391,,0.363,34.42517662,1.755553846,22000.0
KEN,1997,53.37,25.33,18.37140976,4814000.0,58.22,28364264.0,69400.0,,46.4883306663446,0.399,51000.0,169.6723,,,569140.0,46.72664019,,0.399,27.91857084,1.706646154,14000.0
KEN,1998,62.78,25.42,19.65047702,4678000.0,58.07,29137373.0,57100.0,,46.0427183323247,0.228,53000.0,162.0,,,569140.0,46.48768317,,0.228,27.16973065,1.657738462,17000.0
KEN,1999,62.19,25.42,20.70413854,5096000.0,62.92,29965129.0,84900.0,,45.6551275026261,0.215,54200.0,194.4,,,569140.0,47.22212461,,0.215,29.06200942,1.608830769,9000.0
