code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
LBR,1950,,25.29,,,,,,,,,,,,,,,,,,,
LBR,1951,,25.38,,,,,,,,,,,,,,,,,,,
LBR,1952,,25.33,,,,,,,,,,,,,,,,,,,
LBR,1953,,25.31,,,,,,,,,,,,,,,,,,,
LBR,1954,,25.36,,,,,,,,,,,,,,,,,,,
LBR,1955,,25.31,,,,,,,,,,,,,,,,,,,
LBR,1956,,25.27,,,,,,,,,,,,,,,,,,,
LBR,1957,,25.32,,,,,,,,,,,,,,,,,,,
LBR,1958,,25.36,,,,,,,,,,,,,,,,,,,
LBR,1959,,25.33,,,,,,,,,,,,,,,,,,,
LBR,1960,,25.37,,,,1137026.0,,,,,,,,,,,,,,,
LBR,1961,,25.28,,378000.0,22.93,1165005.0,,,,-0.139,50.0,,,,96320.0,11.9057309,,-0.139,0.132275132,,
LBR,1962,,25.34,,376000.0,23.66,1194085.0,,,,-0.13,50.0,,,,96320.0,11.88496678,,-0.13,0.132978723,,
LBR,1963,,25.09,,376000.0,24.4,1224169.0,,,,0.097,100.0,,,,96320.0,11.88496678,,0.097,0.265957447,,
LBR,1964,,25.03,,373000.0,25.15,1255197.0,,,,-0.176,200.0,,,,96320.0,11.8538206,,-0.176,0.536193029,,
LBR,1965,,25.2,,373000.0,25.92,1287315.0,,,,-0.28,300.0,,,,96320.0,11.8538206,,-0.28,0.804289544,,
LBR,1966,,25.24,,370000.0,26.67,1320315.0,,,,0.044,1400.0,,,,96320.0,11.82267442,,0.044,3.783783784,,
LBR,1967,,25.15,,370000.0,27.7,1354287.0,,,,-0.107,1600.0,,,,96320.0,11.82267442,,-0.107,4.324324324,,
LBR,1968,,25.26,,368000.0,29.18,1389453.0,,,,0.007,1200.0,,,,96320.0,11.8019103,,0.007,3.260869565,,
LBR,1969,,25.3,,368000.0,30.31,1425879.0,300.0,,,0.238,1500.0,,,,96320.0,11.8019103,,0.238,4.891304348,,
LBR,1970,,25.37,,366000.0,31.67,1463563.0,500.0,,,0.313,1800.0,,,,96320.0,11.78114618,,0.313,6.284153005,,
LBR,1971,,25.35,,366000.0,32.96,1501658.0,500.0,,,-0.12,1400.0,,,,96320.0,11.78114618,,-0.12,5.191256831,,
LBR,1972,,25.31,,366000.0,34.05,1540995.0,974.0,,,0.027,2470.0,,,,96320.0,11.78114618,,0.027,10.20218579,,290.0
LBR,1973,,25.4,,366000.0,35.37,1582697.0,750.0,,,0.497,2189.0,,,,96320.0,11.78114618,,0.497,8.994535519,,353.0
LBR,1974,73.65,25.33,,366000.0,36.69,1626283.0,800.0,,,0.009,1200.0,,,,96320.0,11.78114618,,0.009,9.016393443,,1300.0
LBR,1975,71.49,25.21,,366000.0,37.15,1671632.0,500.0,,,-0.121,3056.0,,,,96320.0,11.78114618,,-0.121,13.26775956,,1300.0
LBR,1976,74.46,25.32,,366000.0,38.71,1718482.0,1200.0,,,-0.232,4287.0,,,,96320.0,11.78114618,,-0.232,16.08469945,,400.0
LBR,1977,76.48,25.34,,371000.0,39.74,1768092.0,954.0,,,0.228,4009.0,,,,96320.0,11.83305648,,0.228,16.74663073,,1250.0
