code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
LSO,1950,,11.12,,,,,,,,,,,,,,,,,,,
LSO,1951,,11.16,,,,,,,,,,,,,,,,,,,
LSO,1952,,11.31,,,,,,,,,,,,,,,,,,,
LSO,1953,,11.06,,,,,,,,,,,,,,,,,,,
LSO,1954,,11.12,,,,,,,,,,,,,,,,,,,
LSO,1955,,11.31,,,,,,,,,,,,,,,,,,,
LSO,1956,,11.06,,,,,,,,,,,,,,,,,,,
LSO,1957,,11.27,,,,,,,,,,,,,,,,,,,
LSO,1958,,11.2,,,,,,,,,,,,,,,,,,,
LSO,1959,,11.09,,,,,,,,,,,,,,,,,,,
LSO,1960,,11.24,,,,737838.0,,,,,,,,,,,,,,,
LSO,1961,,11.26,,358000.0,61.73,760895.0,291.0,,,0.324,10.0,,,,30360.0,85.01317523,,0.324,0.840782123,,
LSO,1962,,11.2,,353000.0,66.76,784681.0,406.0,,,0.222,25.0,,,,30360.0,84.84848485,,0.222,1.220963173,,
LSO,1963,,10.77,,353000.0,66.21,809138.0,287.0,,,-0.028,19.0,,,,30360.0,84.84848485,,-0.028,0.866855524,,
LSO,1964,,10.8,,355000.0,56.8,834215.0,400.0,,,-0.055,30.0,,,,30360.0,84.914361,,-0.055,1.211267606,,
LSO,1965,,10.93,,355000.0,63.65,860220.0,500.0,,,-0.128,50.0,,,,30360.0,84.914361,,-0.128,1.549295775,,
LSO,1966,,11.11,,360000.0,59.71,887841.0,600.0,,,0.192,50.0,,,,30360.0,85.07905138,,0.192,1.805555556,,
LSO,1967,,11.03,,360000.0,66.94,918923.0,700.0,,,-0.146,100.0,,,,30360.0,85.07905138,,-0.146,2.222222222,,
LSO,1968,,11.16,,365000.0,63.25,952992.0,312.0,,,-0.417,16.0,,,,30360.0,83.43214756,,-0.417,0.898630137,,
LSO,1969,,11.24,,365000.0,68.66,987909.0,427.0,,,0.452,23.0,,,,30360.0,81.62055336,,0.452,1.232876712,,
LSO,1970,,11.13,,368000.0,77.81,1023481.0,349.0,,,0.403,25.0,,,,30360.0,79.94071146,,0.403,1.016304348,,
LSO,1971,,11.17,,360000.0,77.34,1059879.0,1035.0,,,-0.063,37.0,,,,30360.0,77.86561265,,-0.063,2.977777778,,
LSO,1972,,11.1,,355000.0,76.4,1097242.0,597.0,,,-0.142,35.0,,,,30360.0,77.70092227,,-0.142,1.78028169,,
LSO,1973,,11.33,,355000.0,80.65,1135631.0,763.0,,,0.087,135.0,,,,30360.0,77.70092227,,0.087,2.529577465,,
LSO,1974,119.18,11.18,,355000.0,80.9,1175369.0,666.0,,,-0.15,136.0,,,,30360.0,77.70092227,,-0.15,2.25915493,,
LSO,1975,89.75,11.07,,372000.0,78.57,1216180.0,1200.0,,,-0.194,300.0,,,,30360.0,78.26086957,,-0.194,4.032258065,,
LSO,1976,73.27,11.18,,355000.0,70.83,1256478.0,1000.0,,,-0.465,300.0,,,,30360.0,77.70092227,,-0.465,3.661971831,,
LSO,1977,132.99,11.29,,288000.0,66.06,1294435.0,1700.0,,,0.264,500.0,,,,30360.0,75.49407115,,0.264,7.638888889,,
