code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
MAR,1950,,17.78,,,,,,,,,,,,,,,,,,,
MAR,1951,,17.62,,,,,,,,,,,,,,,,,,,
MAR,1952,,17.79,,,,,,,,,,,,,,,,,,,
MAR,1953,,17.68,,,,,,,,,,,,,,,,,,,
MAR,1954,,17.62,,,,,,,,,,,,,,,,,,,
MAR,1955,,17.81,,,,,,,,,,,,,,,,,,,
MAR,1956,,17.71,,,,,,,,,,,,,,,,,,,
MAR,1957,,17.72,,,,,,,,,,,,,,,,,,,
MAR,1958,,17.75,,,,,,,,,,,,,,,,,,,
MAR,1959,,17.79,,,,,,,,,,,,,,,,,,,
MAR,1960,,17.64,,,,11769774.0,,,,,,,,,,,,,,,
MAR,1961,,17.68,,6590000.0,19.74,12081713.0,14568.0,,,0.646,8597.0,,,,446340.0,52.35918806,,0.646,4.38892261,,5758.0
MAR,1962,,17.71,,6590000.0,18.55,12404757.0,18417.0,,,0.552,15788.0,,,,446340.0,52.82968141,,0.552,6.716691958,,10058.0
MAR,1963,,17.61,,6650000.0,18.09,12726686.0,17077.0,,,0.102,14865.0,,,,446340.0,53.43460142,,0.102,5.96481203,,7724.0
MAR,1964,,17.54,,6700000.0,17.91,13044254.0,20236.0,,,0.536,11804.0,,,,446340.0,54.017117,,0.536,5.827164179,,7002.0
MAR,1965,,17.4,,6800000.0,19.54,13381880.0,22537.0,,,-0.262,18198.0,,,,446340.0,54.71165479,,-0.262,7.286764706,,8815.0
MAR,1966,,17.59,,6900000.0,20.79,13738502.0,21980.0,,,0.484,25265.0,,,,446340.0,55.42411614,,0.484,8.618405797,,12222.0
MAR,1967,,17.67,,6900000.0,21.75,14109755.0,34000.0,,,-0.012,26000.0,,,,446340.0,55.87220505,,-0.012,11.2173913,,17400.0
MAR,1968,,17.55,,7000000.0,23.01,14490077.0,42568.0,,,-0.163,37038.0,,,,446340.0,56.5443384,,-0.163,13.84957143,,17341.0
MAR,1969,,17.55,,7000000.0,23.68,14876982.0,40834.0,,,-0.043,34309.0,,,,446340.0,56.9722633,,-0.043,13.50428571,,19387.0
MAR,1970,,17.57,,7076000.0,23.94,15274351.0,34700.0,,,0.042,37100.0,,,,446340.0,57.59062598,,0.042,12.40814019,,16000.0
MAR,1971,,17.5,,7104000.0,24.12,15677300.0,39200.0,,,-0.873,47921.0,,,,446340.0,58.10144733,,-0.873,15.3334741,,21808.0
MAR,1972,,17.73,,7131000.0,26.03,16081438.0,40000.0,,,-1.35,53623.0,,,,446340.0,58.63243267,,-1.35,16.07390268,,21000.0
MAR,1973,,17.67,,7195000.0,26.08,16489452.0,47000.0,,,0.028,62500.0,,,,446300.0,59.20905221,,0.028,18.58234885,,24200.0
MAR,1974,33.5,17.64,,7200000.0,25.25,16902383.0,58700.0,,,-0.473,62000.0,,,,446300.0,59.66838449,,-0.473,20.77777778,,28900.0
MAR,1975,30.67,17.69,,7293000.0,23.42,17325325.0,67300.0,,,-0.259,63200.0,,,,446300.0,60.3114497,,-0.259,22.73412862,9.0,35300.0
MAR,1976,35.31,17.54,,7315000.0,22.39,17756516.0,72400.0,,,-0.851,82200.0,,,,446300.0,60.83352005,,-0.851,25.53656869,9.21,32200.0
MAR,1977,27.29,17.92,,7450000.0,24.15,18206472.0,70400.0,,,0.064,75200.0,,,,446300.0,61.61774591,,0.064,24.09395973,9.42,33900.0
MAR,1978,33.98,17.78,,7658000.0,26.08,18679859.0,72300.0,,,0.352,80700.0,,,,446300.0,62.55433565,,0.352,24.28832593,9.63,33000.0
MAR,1979,35.24,17.89,,7504000.0,28.19,19167661.0,67158.0,,,0.481,87416.0,,,,446300.0,62.74703114,,0.481,25.49973348,9.84,36776.0
MAR,1980,34.41,17.86,,7530000.0,29.02,19678444.0,87404.0,,,0.596,82186.0,,,,446300.0,64.8218687,,0.596,27.44608234,10.05,37079.0
MAR,1981,29.02,17.92,,7690000.0,32.69,20208260.0,79980.0,,,0.497,96587.0,,,,446300.0,65.18037195,,0.497,27.58218466,10.24,35540.0
MAR,1982,38.75,17.86,,7767000.0,32.14,20746765.0,80600.0,,,0.505,91100.0,,,,446300.0,65.37530809,,0.505,27.24346595,10.43,39900.0
MAR,1983,33.02,17.72,,7823000.0,30.22,21287381.0,95600.0,,,0.799,110900.0,,,,446300.0,65.59041004,,0.799,31.34347437,10.62,38700.0
