code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
MDG,1950,,22.45,,,,,,,,,,,,,,,,,,,
MDG,1951,,22.47,,,,,,,,,,,,,,,,,,,
MDG,1952,,22.52,,,,,,,,,,,,,,,,,,,
MDG,1953,,22.45,,,,,,,,,,,,,,,,,,,
MDG,1954,,22.47,,,,,,,,,,,,,,,,,,,
MDG,1955,,22.48,,,,,,,,,,,,,,,,,,,
MDG,1956,,22.45,,,,,,,,,,,,,,,,,,,
MDG,1957,,22.54,,,,,,,,,,,,,,,,,,,
MDG,1958,,22.53,,,,,,,,,,,,,,,,,,,
MDG,1959,,22.58,,,,,,,,,,,,,,,,,,,
MDG,1960,,22.51,,,,5073342.0,,,,,,,,,,,,,,,
MDG,1961,,22.53,,1925000.0,96.56,5206239.0,106.0,,,0.521,828.0,,,,581540.0,60.43436393,,0.521,0.772987013,,554.0
MDG,1962,,22.43,,1940000.0,100.21,5343117.0,132.0,,,-0.107,969.0,,,,581540.0,60.47735323,,-0.107,0.889690722,,625.0
MDG,1963,,22.22,,1955000.0,101.43,5484252.0,527.0,,,-0.312,1886.0,,,,581540.0,60.52034254,,-0.312,1.980051151,,1458.0
MDG,1964,,22.26,,1970000.0,103.58,5630024.0,1218.0,,,-0.399,1453.0,,,,581540.0,60.56333184,,-0.399,2.180203046,,1624.0
MDG,1965,,22.36,,1985000.0,95.17,5780453.0,1523.0,,,-0.601,2332.0,,,,581540.0,60.60632115,,-0.601,2.720906801,,1546.0
