code,year,0. Crop production index,1. Mean air temperature,4. Agriculture land area (% of land area)_x,4. Agriculture land area (% of land area)_y,5. Average precipitation (mm),7. Fertilizer consumption (kilograms per hectare of arable land)_x,7. Fertilizer consumption (kilograms per hectare of arable land)_y,13. Population_x,13. Population_y,17. Employment in agriculture (% of total employment) (modeled ILO estimate)_x,17. Employment in agriculture (% of total employment) (modeled ILO estimate)_y
MLI,1991,34.6,28.3,26.34261877,26.34261877,271.32,7.270964615,7.270964615,9123969.0,9123969.0,69.2731213898656,69.2731213898656
MLI,1992,31.1,27.76,26.43276867,26.43276867,264.45,12.62135922,12.62135922,9310572.0,9310572.0,69.2186351837485,69.2186351837485
MLI,1993,31.55,27.96,27.17609553,27.17609553,277.83,8.169934641,8.169934641,9506510.0,9506510.0,69.1112647204573,69.1112647204573
MLI,1994,34.81,28.17,28.90533442,28.90533442,275.47,7.911392405,7.911392405,9711797.0,9711797.0,68.737813959,68.737813959
MLI,1995,35.38,28.19,29.02744655,29.02744655,283.02,8.169440242,8.169440242,9921094.0,9921094.0,68.6684962405808,68.6684962405808
MLI,1996,37.03,28.19,30.03630582,30.03630582,273.51,6.026490066,6.026490066,10131906.0,10131906.0,68.2389895642809,68.2389895642809
MLI,1997,38.34,28.44,30.85585032,30.85585032,265.16,10.55187638,10.55187638,10359301.0,10359301.0,67.9081868640148,67.9081868640148
MLI,1998,41.34,28.32,30.85585032,30.85585032,273.16,10.13245033,10.13245033,10620475.0,10620475.0,67.2297864564498,67.2297864564498
MLI,1999,43.69,28.46,30.85585032,30.85585032,277.52,10.99337748,10.99337748,10916993.0,10916993.0,66.805111947908,66.805111947908
MLI,2000,36.19,28.53,31.68768798,31.68768798,276.67,8.796247241,8.796247241,11239101.0,11239101.0,66.6584118622742,66.6584118622742
MLI,2001,43.82,28.69,32.21547464,32.21547464,279.69,9.271523179,9.271523179,11583824.0,11583824.0,65.4537391553606,65.4537391553606
MLI,2002,40.28,28.7,32.52280383,32.52280383,276.76,18.41480408,18.41480408,11952660.0,11952660.0,65.1113167737388,65.1113167737388
MLI,2003,51.11,28.65,33.37676919,33.37676919,277.02,12.86274655,12.86274655,12342165.0,12342165.0,64.131589449135,64.131589449135
MLI,2004,46.53,28.74,32.52854064,32.52854064,274.06,16.67417177,16.67417177,12751995.0,12751995.0,64.0930887557329,64.0930887557329
MLI,2005,50.98,28.63,33.10304133,33.10304133,285.09,14.9248242,14.9248242,13180551.0,13180551.0,63.8648029863907,63.8648029863907
MLI,2006,49.99,28.72,33.16368762,33.16368762,285.55,17.83974106,17.83974106,13623541.0,13623541.0,63.6923430546143,63.6923430546143
MLI,2007,53.18,28.77,33.27104795,33.27104795,281.29,13.52644112,13.52644112,14080912.0,14080912.0,65.2634478310817,65.2634478310817
MLI,2008,63.44,28.77,33.45462592,33.45462592,284.05,17.39217377,17.39217377,14551117.0,14551117.0,66.6459242327674,66.6459242327674
MLI,2009,71.06,28.77,33.6385317,33.6385317,276.66,17.64636314,17.64636314,15032635.0,15032635.0,68.1495616071495,68.1495616071495
MLI,2010,72,28.91,33.64312115,33.64312115,282.72,18.50789171,18.50789171,15529181.0,15529181.0,69.330606403698,69.330606403698
MLI,2011,83.24,28.98,33.79801506,33.79801506,289.19,9.604813953,9.604813953,16039734.0,16039734.0,70.5545146590245,70.5545146590245
MLI,2012,85.25,28.96,33.95290897,33.95290897,294.77,8.914618165,8.914618165,16514687.0,16514687.0,72.3426074839444,72.3426074839444
MLI,2013,90.04,28.95,34.10780288,34.10780288,280.26,13.6980785,13.6980785,17004033.0,17004033.0,73.4953217256351,73.4953217256351
MLI,2014,89.18,28.94,34.26269679,34.26269679,275.12,19.22494371,19.22494371,17551814.0,17551814.0,66.7015352045466,66.7015352045466
