code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
MRT,1950,,26.7,,,,,,,,,,,,,,,,,,,
MRT,1951,,26.72,,,,,,,,,,,,,,,,,,,
MRT,1952,,26.74,,,,,,,,,,,,,,,,,,,
MRT,1953,,26.58,,,,,,,,,,,,,,,,,,,
MRT,1954,,26.63,,,,,,,,,,,,,,,,,,,
MRT,1955,,26.74,,,,,,,,,,,,,,,,,,,
MRT,1956,,26.75,,,,,,,,,,,,,,,,,,,
MRT,1957,,26.91,,,,,,,,,,,,,,,,,,,
MRT,1958,,26.79,,,,,,,,,,,,,,,,,,,
MRT,1959,,26.8,,,,,,,,,,,,,,,,,,,
MRT,1960,,26.92,,,,838478.0,,,,,,,,,,,,,,,
MRT,1961,,26.77,,267000.0,35.26,861663.0,,,,0.003,,,,,1030700.0,38.3448142,,0.003,,,
MRT,1962,,26.81,,267000.0,36.34,885938.0,,,,0.182,,,,,1030700.0,38.3448142,,0.182,,,
MRT,1963,,26.54,,267000.0,37.31,911290.0,,,,0.143,,,,,1030700.0,38.34578442,,0.143,,,
MRT,1964,,26.49,,266000.0,38.46,937830.0,,,,0.09,,,,,1030700.0,38.34578442,,0.09,,,
MRT,1965,,26.52,,265000.0,40.01,965621.0,,,,-0.504,,,,,1030700.0,38.34578442,,-0.504,,,
MRT,1966,,26.64,,266000.0,41.23,994697.0,50.0,,,0.146,,,,,1030700.0,38.34578442,,0.146,0.187969925,,
MRT,1967,,26.69,,267000.0,42.57,1024992.0,100.0,,,-0.216,,,,,1030700.0,38.34578442,,-0.216,0.374531835,,
MRT,1968,,26.67,,268000.0,44.88,1056393.0,200.0,,,-0.464,,,,,1030700.0,38.34578442,,-0.464,0.746268657,,
MRT,1969,,26.69,,278000.0,42.5,1088832.0,200.0,,,0.594,,,,,1030700.0,38.35548656,,0.594,0.71942446,,
MRT,1970,,26.6,,278000.0,42.91,1122198.0,300.0,,,0.672,,,,,1030700.0,38.35548656,,0.672,1.079136691,,
MRT,1971,,26.63,,239000.0,44.71,1156361.0,,,,-0.381,,,,,1030700.0,38.31667799,,-0.381,,,
MRT,1972,,26.82,,239000.0,40.84,1191376.0,,,,-0.116,,,,,1030700.0,38.31667799,,-0.116,,,
MRT,1973,,26.77,,226000.0,37.08,1227358.0,33.0,,,0.433,174.0,,,,1030700.0,38.3040652,,0.433,0.977876106,,14.0
MRT,1974,20.06,26.69,,196000.0,34.33,1264352.0,68.0,,,-0.736,358.0,,,,1030700.0,38.27495877,,-0.736,2.454081633,,55.0
MRT,1975,21.46,26.79,,192000.0,36.95,1302436.0,50.0,,,-0.369,1100.0,,,,1030700.0,38.27107791,,-0.369,5.989583333,,
MRT,1976,21.51,26.78,,195000.0,40.58,1341604.0,,,,-0.63,500.0,,,,1030700.0,38.27398855,,-0.63,2.564102564,,
MRT,1977,20.34,26.84,,196000.0,43.29,1381329.0,,,,0.55,1900.0,,,,1030700.0,38.27495877,,0.55,11.73469388,,400.0
MRT,1978,23.14,26.87,,192000.0,45.87,1421786.0,50.0,,,0.457,1900.0,,,,1030700.0,38.27107791,,0.457,10.44270833,,55.0
MRT,1979,23.33,27.01,,195000.0,46.81,1463514.0,700.0,,,0.872,1200.0,,,,1030700.0,38.27398855,,0.872,10.76923077,,200.0
MRT,1980,25.49,26.91,,210000.0,49.28,1506694.0,700.0,,,0.814,400.0,,,,1030700.0,38.28854177,,0.814,6.19047619,0.73,200.0
MRT,1981,28.08,27.0,,230000.0,50.44,1551687.0,,,,0.732,,,,,1030700.0,38.30794606,,0.732,,0.909615,
MRT,1982,26.2,27.05,,250000.0,49.73,1598332.0,100.0,,,0.39,,,,,1030700.0,38.32735034,,0.39,0.4,1.08923,
MRT,1983,22.52,26.74,,270000.0,48.87,1646343.0,,,,1.439,440.0,,,,1030700.0,38.34675463,,1.439,1.62962963,1.268845,
MRT,1984,23.88,26.81,,280000.0,45.98,1695675.0,100.0,,,0.41,440.0,,,,1030700.0,38.35742699,,0.41,1.928571429,1.44846,
MRT,1985,34.14,26.81,,300000.0,48.43,1746265.0,100.0,,,0.428,1910.0,,,,1030700.0,38.37683128,,0.428,6.7,1.628075,
MRT,1986,36.67,26.98,,320000.0,51.72,1798009.0,100.0,,,0.141,900.0,,,,1030700.0,38.39623557,,0.141,3.125,1.626283333,
MRT,1987,42.45,27.1,,340000.0,52.59,1851092.0,100.0,,,1.373,900.0,,,,1030700.0,38.41563986,,1.373,3.235294118,1.624491667,100.0
MRT,1988,45.01,27.05,,360000.0,53.98,1905847.0,600.0,,,0.722,2000.0,,,,1030700.0,38.43504414,,0.722,8.888888889,1.6227,600.0
MRT,1989,48.52,27.08,,380000.0,56.87,1955040.0,600.0,,,0.535,1700.0,,,,1030700.0,38.45444843,,0.535,6.052631579,1.620908333,
MRT,1990,36.5,27.48,78.5620222,400000.0,58.94,2006027.0,400.0,,,1.264,3500.0,,,,1030700.0,38.47482294,92,1.264,9.75,1.617116667,
MRT,1991,36.23,27.29,79.36814339,410000.0,57.49,2066302.0,650.0,,47.0589477775243,0.645,4500.0,,,,1030700.0,38.48452508,,0.645,12.56097561,1.615325,
MRT,1992,37.06,26.58,80.15390651,420000.0,55.19,2147527.0,1125.0,,46.9403140430056,0.666,6158.0,,,,1030700.0,38.49616765,,0.666,17.34047619,1.613533333,
MRT,1993,48.77,27.01,80.8979443,431000.0,49.38,2237064.0,625.0,,46.6766463038511,0.758,3983.0,,,,1030700.0,38.50781023,,0.758,10.69141531,1.611741667,
MRT,1994,56.72,27.09,81.5788895,450000.0,51.67,2315191.0,,,46.6488413547237,0.503,4000.0,,,,1030700.0,38.52721451,,0.503,8.888888889,1.60995,
MRT,1995,62.74,27.23,82.17537486,450000.0,52.61,2380341.0,,,46.2037773700571,1.028,4000.0,,,,1030700.0,38.52721451,,1.028,8.888888889,1.608158333,
