code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
MUS,1950,,23.45,,,,,,,,,,,,,,,,,,,
MUS,1951,,23.45,,,,,,,,,,,,,,,,,,,
MUS,1952,,23.49,,,,,,,,,,,,,,,,,,,
MUS,1953,,23.5,,,,,,,,,,,,,,,,,,,
MUS,1954,,23.46,,,,,,,,,,,,,,,,,,,
MUS,1955,,23.44,,,,,,,,,,,,,,,,,,,
MUS,1956,,23.42,,,,,,,,,,,,,,,,,,,
MUS,1957,,23.48,,,,,,,,,,,,,,,,,,,
MUS,1958,,23.46,,,,,,,,,,,,,,,,,,,
MUS,1959,,23.43,,,,,,,,,,,,,,,,,,,
MUS,1960,,23.46,,,,676683.0,,,,,,,,,,,,,,,
MUS,1961,,23.54,,90000.0,15.61,680757.0,5249.0,,,0.433,9563.0,,,,2030.0,48.76847291,,0.433,223.2555556,,5281.0
MUS,1962,,23.35,,91000.0,15.94,700349.0,5046.0,,,-0.033,10840.0,,,,2030.0,49.26108374,,-0.033,250.3846154,,6899.0
MUS,1963,,23.24,,91000.0,17.85,718861.0,5667.0,,,-0.087,10753.0,,,,2030.0,49.26108374,,-0.087,273.9450549,,8509.0
MUS,1964,,23.22,,91000.0,17.44,736381.0,6111.0,,,-0.186,9601.0,,,,2030.0,49.26108374,,-0.186,291.6483516,,10828.0
MUS,1965,,23.36,,92000.0,16.46,753000.0,6983.0,,,-0.113,9074.0,,,,2030.0,49.75369458,,-0.113,247.826087,,6743.0
MUS,1966,,23.31,,89000.0,15.55,768813.0,2958.0,,,0.076,8719.0,,,,2030.0,48.76847291,,0.076,212.2808989,,7216.0
MUS,1967,,23.26,,94000.0,15.76,783917.0,3532.0,,,0.214,9519.0,,,,2030.0,51.72413793,,0.214,234.0851064,,8953.0
MUS,1968,,23.32,,100000.0,16.62,798413.0,4036.0,,,-0.21,9222.0,,,,2030.0,54.67980296,,-0.21,217.69,,8511.0
MUS,1969,,23.39,,100000.0,15.74,812405.0,3229.0,,,0.298,9157.0,,,,2030.0,54.67980296,,0.298,218.2,,9434.0
MUS,1970,,23.31,,100000.0,16.41,826000.0,3510.0,,,0.302,8908.0,,,,2030.0,55.17241379,,0.302,219.96,,9578.0
MUS,1971,,23.4,,100000.0,16.32,839230.0,2921.0,,,-0.395,9156.0,,,,2030.0,55.17241379,,-0.395,215.38,,9461.0
MUS,1972,,23.45,,100000.0,17.13,852053.0,4343.0,,,0.051,13782.0,,,,2030.0,55.66502463,,0.051,319.58,,13833.0
MUS,1973,,23.55,,100000.0,17.79,864819.0,3319.0,,,-0.144,11178.0,,,,2030.0,55.66502463,,-0.144,261.64,,11667.0
MUS,1974,127.42,23.64,,100000.0,19.36,878042.0,3505.0,,,-0.736,8674.0,,,,2030.0,55.66502463,,-0.736,269.14,0.36,14735.0
MUS,1975,93.37,23.46,,99000.0,21.18,892000.0,921.0,,,-0.164,10000.0,,,,2030.0,55.66502463,,-0.164,243.8585859,0.36,13221.0
MUS,1976,134.97,23.45,,100000.0,22.87,906507.0,2300.0,,,-0.051,8848.0,,,,2030.0,56.15763547,,-0.051,214.77,0.373733333,10329.0
MUS,1977,127.71,23.49,,100000.0,24.1,921379.0,2510.0,,,0.449,10111.0,,,,2030.0,56.15763547,,0.449,261.89,0.387466667,13568.0
MUS,1978,133.22,23.51,,100000.0,18.52,933499.0,3025.0,,,0.255,10139.0,,,,2030.0,56.15763547,,0.255,254.73,0.4012,12309.0
