code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
MWI,1950,,21.74,,,,,,,,,,,,,,,,,,,
MWI,1951,,21.74,,,,,,,,,,,,,,,,,,,
MWI,1952,,21.79,,,,,,,,,,,,,,,,,,,
MWI,1953,,21.76,,,,,,,,,,,,,,,,,,,
MWI,1954,,21.79,,,,,,,,,,,,,,,,,,,
MWI,1955,,21.83,,,,,,,,,,,,,,,,,,,
MWI,1956,,21.66,,,,,,,,,,,,,,,,,,,
MWI,1957,,21.82,,,,,,,,,,,,,,,,,,,
MWI,1958,,21.89,,,,,,,,,,,,,,,,,,,
MWI,1959,,21.88,,,,,,,,,,,,,,,,,,,
MWI,1960,,21.94,,,,3621081.0,,,,,,,,,,,,,,,
MWI,1961,,21.79,,1300000.0,5.4,3708193.0,1170.0,,,0.337,2600.0,,,,94280.0,33.941451,,0.337,3.438461538,,700.0
MWI,1962,,21.78,,1400000.0,5.63,3799155.0,850.0,,,-0.137,2300.0,,,,94280.0,35.00212134,,-0.137,2.771428571,,730.0
MWI,1963,,21.51,,1450000.0,6.08,3893628.0,850.0,,,-0.389,2300.0,,,,94280.0,35.53245651,,-0.389,2.862068966,,1000.0
MWI,1964,,21.55,,1500000.0,6.19,3990361.0,850.0,,,-0.273,3000.0,,,,94280.0,36.06279168,,-0.273,3.233333333,,1000.0
MWI,1965,,21.77,,1700000.0,6.25,4089097.0,1000.0,,,-0.515,3000.0,,,,94280.0,38.21595248,,-0.515,2.941176471,,1000.0
MWI,1966,,21.67,,1750000.0,6.55,4190764.0,1000.0,,,0.168,3000.0,,,,94280.0,38.74628765,,0.168,2.857142857,,1000.0
MWI,1967,,21.62,,1700000.0,7.69,4295762.0,1000.0,,,0.096,4000.0,,,,94280.0,38.23716589,,0.096,3.529411765,,1000.0
MWI,1968,,21.65,,1800000.0,8.08,4403430.0,1000.0,,,-0.25,5000.0,,,,94280.0,39.31904964,,-0.25,3.888888889,,1000.0
MWI,1969,,21.83,,1850000.0,9.31,4512861.0,999.0,,,0.297,4987.0,,,,94280.0,39.84938481,,0.297,3.831351351,,1102.0
MWI,1970,,21.87,,1800000.0,9.43,4625141.0,1390.0,,,0.18,8593.0,,,,94280.0,39.31904964,,0.18,6.110555556,,1016.0
MWI,1971,,21.8,,1950000.0,9.18,4742480.0,2868.0,,,-0.217,10302.0,,,,94280.0,40.91005515,,-0.217,7.724102564,,1892.0
