code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
NGA,1950,,26.99,,,,,,,,,,,,,,,,,,,
NGA,1951,,27.13,,,,,,,,,,,,,,,,,,,
NGA,1952,,27.0,,,,,,,,,,,,,,,,,,,
NGA,1953,,27.02,,,,,,,,,,,,,,,,,,,
NGA,1954,,27.03,,,,,,,,,,,,,,,,,,,
NGA,1955,,26.98,,,,,,,,,,,,,,,,,,,
NGA,1956,,26.93,,,,,,,,,,,,,,,,,,,
NGA,1957,,27.13,,,,,,,,,,,,,,,,,,,
NGA,1958,,27.0,,,,,,,,,,,,,,,,,,,
NGA,1959,,27.02,,,,,,,,,,,,,,,,,,,
NGA,1960,,27.09,,,,44928342.0,,,,,,,,,,,,,,,
NGA,1961,,27.04,,23676000.0,17.19,45855507.0,697.0,,,-0.237,371.0,,,,910770.0,59.48373354,,-0.237,0.058878189,,326.0
NGA,1962,,27.07,,23823000.0,15.71,46821845.0,1181.0,,,-0.265,401.0,,,,910770.0,59.64513543,,-0.265,0.070729967,,103.0
NGA,1963,,26.73,,23971000.0,15.95,47822569.0,1200.0,,,0.251,500.0,,,,910770.0,59.8076353,,0.251,0.087313838,,393.0
NGA,1964,,26.69,,24118000.0,17.6,48856332.0,1200.0,,,-0.285,1100.0,,,,910770.0,59.96903719,,-0.285,0.116137325,,501.0
NGA,1965,,26.89,,24265000.0,18.54,49925799.0,1400.0,,,-0.069,2000.0,,,,910770.0,60.13043908,,-0.069,0.150381208,,249.0
NGA,1966,,26.89,,24413000.0,18.07,51020296.0,1800.0,,,-0.097,4600.0,,,,910770.0,60.18314174,,-0.097,0.300249867,,930.0
NGA,1967,,26.87,,24560000.0,20.08,52106681.0,2200.0,,,-0.317,4000.0,,,,910770.0,59.90535481,,-0.317,0.295643322,,1061.0
NGA,1968,,26.96,,24708000.0,19.82,53210119.0,5400.0,,,-0.034,4000.0,,,,910770.0,60.06785467,,-0.034,0.408774486,,700.0
NGA,1969,,26.96,,24855000.0,23.16,54360750.0,6347.0,,,0.4,3425.0,,,,910770.0,60.33905377,,0.4,0.418628043,,633.0
NGA,1970,,27.01,,25002000.0,23.85,55569264.0,3257.0,,,0.225,2572.0,,,,910770.0,60.55535426,,0.225,0.275737941,,1065.0
NGA,1971,,26.94,,25150000.0,23.45,56837614.0,4371.0,,,-0.042,3588.0,,,,910770.0,60.71785412,,-0.042,0.367594433,,1286.0
