code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
SDN,1950,,26.42,,,,,,,,,,,,,,,,,,,
SDN,1951,,26.59,,,,,,,,,,,,,,,,,,,
SDN,1952,,26.5,,,,,,,,,,,,,,,,,,,
SDN,1953,,26.47,,,,,,,,,,,,,,,,,,,
SDN,1954,,26.59,,,,,,,,,,,,,,,,,,,
SDN,1955,,26.48,,,,,,,,,,,,,,,,,,,
SDN,1956,,26.48,,,,,,,,,,,,,,,,,,,
SDN,1957,,26.62,,,,,,,,,,,,,,,,,,,
SDN,1958,,26.5,,,,,,,,,,,,,,,,,,,
SDN,1959,,26.5,,,,,,,,,,,,,,,,,,,
SDN,1960,,26.66,,,,8326462.0,,,,,,,,,,,,,,,
SDN,1961,,26.54,,10775000.0,,8577490.0,,,,,,,,,2376000.0,45.80808081,,,2.292993039,,
SDN,1962,,26.58,,10875000.0,,8841338.0,,,,,,,,,2376000.0,45.85016835,,,1.690390805,,
SDN,1963,,26.18,,10975000.0,,9115091.0,,,,,,,,,2376000.0,45.89225589,,,2.264692483,,
SDN,1964,,26.3,,11072000.0,,9406702.0,,,,,,,,,2376000.0,45.93518519,,,2.134754335,,
SDN,1965,,26.4,,11172000.0,,9712785.0,,,,,,,,,2376000.0,45.97727273,,,2.142499105,,
SDN,1966,,26.4,,11270000.0,,10014505.0,,,,,,,,,2376000.0,46.01851852,,,2.630878438,,
SDN,1967,,26.28,,11370000.0,,10320500.0,,,,,,,,,2376000.0,46.06481481,,,3.500439754,,
SDN,1968,,26.36,,11467000.0,,10638899.0,,,,,,,,,2376000.0,46.10563973,,,3.688846254,,
SDN,1969,,26.4,,11567000.0,,10966145.0,,,,,,,,,2376000.0,46.14772727,,,3.424137633,,
SDN,1970,,26.48,,11665000.0,,11305206.0,,,,,,,,,2376000.0,46.18897306,,,2.829575654,,
SDN,1971,,26.45,,11763000.0,,11668921.0,,,,,,,,,2376000.0,46.23021886,,,3.24772592,,
SDN,1972,,26.5,,11861000.0,,12057260.0,,,,,,,,,2376000.0,46.27146465,,,4.482168451,,
