code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
SLE,1950,,25.93,,,,,,,,,,,,,,,,,,,
SLE,1951,,26.02,,,,,,,,,,,,,,,,,,,
SLE,1952,,25.94,,,,,,,,,,,,,,,,,,,
SLE,1953,,25.98,,,,,,,,,,,,,,,,,,,
SLE,1954,,26.0,,,,,,,,,,,,,,,,,,,
SLE,1955,,25.93,,,,,,,,,,,,,,,,,,,
SLE,1956,,25.94,,,,,,,,,,,,,,,,,,,
SLE,1957,,26.01,,,,,,,,,,,,,,,,,,,
SLE,1958,,26.02,,,,,,,,,,,,,,,,,,,
SLE,1959,,25.99,,,,,,,,,,,,,,,,,,,
SLE,1960,,26.05,,,,2301310.0,,,,,,,,,,,,,,,
SLE,1961,,25.93,,355000.0,18.53,2341065.0,160.0,,,-0.095,,,,,72180.0,36.1873095,,-0.095,0.450704225,,
SLE,1962,,25.99,,360000.0,19.5,2382914.0,160.0,,,-0.099,,,,,72180.0,36.25658077,,-0.099,0.444444444,,
SLE,1963,,25.71,,365000.0,20.43,2426750.0,200.0,,,0.145,,,,,72180.0,36.35356054,,0.145,0.547945205,,
SLE,1964,,25.66,,370000.0,21.1,2472686.0,200.0,,,-0.184,,,,,72180.0,36.42283181,,-0.184,0.540540541,,
SLE,1965,,25.85,,375000.0,22.16,2520576.0,500.0,,,-0.321,,,,,72180.0,36.49210308,,-0.321,1.333333333,,
SLE,1966,,25.82,,380000.0,22.52,2569736.0,475.0,,,-0.045,20.0,,,,72180.0,36.56137434,,-0.045,1.321052632,,7.0
SLE,1967,,25.79,,385000.0,23.41,2620396.0,683.0,,,-0.149,120.0,,,,72180.0,36.63064561,,-0.149,2.207792208,,47.0
SLE,1968,,25.89,,390000.0,24.06,2672370.0,800.0,,,-0.075,200.0,,,,72180.0,36.76918814,,-0.075,2.820512821,,100.0
SLE,1969,,25.97,,395000.0,24.03,2724901.0,1000.0,,,0.301,1130.0,,,,72180.0,36.83845941,,0.301,5.789873418,,157.0
SLE,1970,,26.0,,400000.0,24.02,2778557.0,1212.0,,,0.364,1150.0,,,,72180.0,36.90773067,,0.364,6.305,,160.0
SLE,1971,,26.02,,405000.0,24.32,2832392.0,435.0,,,-0.129,648.0,,,,72180.0,36.97700194,,-0.129,2.804938272,,53.0
SLE,1972,,25.97,,410000.0,24.79,2886642.0,513.0,,,0.163,530.0,,,,72180.0,37.04627321,,0.163,2.990243902,,183.0
SLE,1973,,26.06,,415000.0,25.62,2942333.0,1128.0,,,0.469,600.0,,,,72180.0,37.11554447,,0.469,5.45060241,,534.0
SLE,1974,30.07,26.05,,420000.0,26.01,2998843.0,495.0,,,-0.042,492.0,,,,72180.0,37.18481574,,-0.042,2.404761905,,23.0
SLE,1975,32.3,25.92,,425000.0,26.94,3055916.0,1326.0,,,-0.116,1317.0,,,,72180.0,37.254087,,-0.116,6.865882353,,275.0
SLE,1976,32.36,25.97,,430000.0,27.56,3112863.0,525.0,,,-0.236,525.0,,,,72180.0,37.32335827,,-0.236,2.965116279,,225.0
SLE,1977,34,25.99,,435000.0,28.51,3172195.0,491.0,,,0.17,656.0,,,,72180.0,37.39262954,,0.17,3.252873563,,268.0
SLE,1978,34.05,26.0,,440000.0,29.42,3235170.0,431.0,,,0.227,553.0,,,,72180.0,37.53117207,,0.227,2.554545455,,140.0
SLE,1979,32.24,26.06,,445000.0,30.56,3300032.0,1086.0,,,0.521,1208.0,,,,72180.0,37.6697146,,0.521,6.031460674,,390.0
SLE,1980,32.34,26.11,,450000.0,31.7,3367477.0,678.0,,,0.377,768.0,,,,72180.0,37.73898587,,0.377,3.982222222,,346.0
SLE,1981,32.39,26.13,,455000.0,33.02,3437108.0,1329.0,,,0.226,1255.0,,,,72180.0,37.80825713,,0.226,7.274725275,,726.0
SLE,1982,34.36,26.08,,460000.0,34.43,3509197.0,84.0,,,0.303,193.0,,,,72180.0,38.01607093,,0.303,0.782608696,,83.0
SLE,1983,33.81,26.03,,465000.0,33.63,3585773.0,396.0,,,0.531,399.0,,,,72180.0,38.0853422,,0.531,2.561290323,,396.0
SLE,1984,35.84,26.05,,470000.0,32.4,3666262.0,400.0,,,0.349,500.0,,,,72180.0,38.293156,,0.349,2.765957447,,400.0
SLE,1985,35.55,26.04,,475000.0,33.09,3749419.0,1400.0,,,0.264,1600.0,,,,72180.0,38.98586866,,0.264,7.578947368,,600.0
SLE,1986,38.8,26.19,,480000.0,34.16,3842917.0,1300.0,,,-0.102,1800.0,,,,72180.0,39.05513993,,-0.102,8.333333333,,900.0
SLE,1987,37.63,26.11,,485000.0,35.86,3947865.0,200.0,,,0.726,200.0,,,,72180.0,39.12441119,,0.726,1.030927835,0.37,100.0
SLE,1988,38.8,26.14,,486000.0,35.86,4056215.0,150.0,,,0.627,228.0,,,,72180.0,39.13826545,,0.627,1.106995885,0.321201539,160.0
SLE,1989,40.1,26.17,,486000.0,36.4,4159163.0,405.0,,,0.163,875.0,,,,72180.0,39.13826545,,0.163,3.209876543,0.272403077,280.0
SLE,1990,40.42,26.3,43.17897877,486000.0,37.0,4325388.0,400.0,,,0.467,600.0,12.2602,,,72180.0,39.13826545,2526,0.467,2.674897119,0.223604615,300.0
