code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
SOM,1950,,26.59,,,,,,,,,,,,,,,,,,,
SOM,1951,,26.61,,,,,,,,,,,,,,,,,,,
SOM,1952,,26.59,,,,,,,,,,,,,,,,,,,
SOM,1953,,26.55,,,,,,,,,,,,,,,,,,,
SOM,1954,,26.53,,,,,,,,,,,,,,,,,,,
SOM,1955,,26.6,,,,,,,,,,,,,,,,,,,
SOM,1956,,26.5,,,,,,,,,,,,,,,,,,,
SOM,1957,,26.58,,,,,,,,,,,,,,,,,,,
SOM,1958,,26.62,,,,,,,,,,,,,,,,,,,
SOM,1959,,26.56,,,,,,,,,,,,,,,,,,,
SOM,1960,,26.62,,,,2870732.0,,,,,,,,,,,,,,,
SOM,1961,,26.62,,891000.0,47.85,2945662.0,,,,0.32,500.0,,,,627340.0,69.98597252,,0.32,0.561167228,,
SOM,1962,,26.55,,896000.0,49.41,3022827.0,,,,-0.027,500.0,,,,627340.0,69.99394268,,-0.027,0.558035714,,
SOM,1963,,26.36,,901000.0,51.99,3102170.0,,,,-0.206,500.0,,,,627340.0,70.00191284,,-0.206,0.554938957,,
SOM,1964,,26.39,,906000.0,53.8,3183590.0,,,,0.017,1000.0,,,,627340.0,70.009883,,0.017,1.103752759,,
SOM,1965,,26.45,,911000.0,55.64,3267593.0,,,,-0.384,1500.0,,,,627340.0,70.01785316,,-0.384,1.646542261,,
SOM,1966,,26.52,,916000.0,57.7,3353665.0,,,,0.182,1100.0,,,,627340.0,70.02582332,,0.182,1.200873362,,
SOM,1967,,26.42,,921000.0,60.7,3441799.0,,,,-0.078,2000.0,,,,627340.0,70.03379348,,-0.078,2.17155266,,
SOM,1968,,26.42,,926000.0,64.21,3532420.0,100.0,,,-0.579,2000.0,,,,627340.0,70.04176364,,-0.579,2.267818575,,
SOM,1969,,26.54,,931000.0,64.75,3625274.0,200.0,,,0.025,3000.0,,,,627340.0,70.0497338,,0.025,3.759398496,,300.0
SOM,1970,,26.53,,936000.0,66.5,3720977.0,300.0,,,0.109,2000.0,,,,627340.0,70.05770396,,0.109,2.777777778,,300.0
SOM,1971,,26.53,,941000.0,66.13,3818389.0,400.0,,,-0.276,1900.0,,,,627340.0,70.06567412,,-0.276,3.825717322,,1300.0
SOM,1972,,26.59,,946000.0,67.43,3918220.0,400.0,,,0.193,2600.0,,,,627340.0,70.07364428,,0.193,3.805496829,,600.0
SOM,1973,,26.63,,951000.0,65.97,4022336.0,500.0,,,0.504,2100.0,,,,627340.0,70.08161444,,0.504,2.94426919,,200.0
SOM,1974,81.97,26.64,,955000.0,64.04,4125823.0,500.0,,,-0.071,1900.0,,,,627340.0,70.0895846,,-0.071,3.036649215,,500.0
SOM,1975,83.64,26.51,,960000.0,69.99,4228289.0,500.0,,,0.04,1840.0,,,,627340.0,70.09755475,,0.04,3.791666667,,1300.0
SOM,1976,83.87,26.54,,965000.0,72.46,4333779.0,,,,0.172,,,,,627340.0,70.10552491,,0.172,,,
SOM,1977,81.11,26.68,,969000.0,77.51,4449505.0,,,,0.35,100.0,,,,627340.0,70.11349507,,0.35,0.103199174,,
SOM,1978,80.25,26.62,,974000.0,79.55,4777703.0,,,,0.065,100.0,,,,627340.0,70.12146523,,0.065,0.205338809,,100.0
SOM,1979,80.89,26.64,,979000.0,81.92,5408813.0,,,,0.052,100.0,,,,627340.0,70.12943539,,0.052,0.102145046,,
SOM,1980,82.31,26.66,,984000.0,84.81,5892224.0,,,,0.69,1200.0,,,,627340.0,70.13740555,,0.69,1.219512195,,
SOM,1981,98.33,26.68,,989000.0,85.99,5934938.0,,,,-0.132,1300.0,,,,627340.0,70.14537571,,-0.132,1.31445905,,
SOM,1982,107.64,26.71,,994000.0,88.08,5951805.0,100.0,,,0.275,800.0,,,,627340.0,70.15334587,,0.275,1.006036217,,100.0
SOM,1983,94.97,26.53,,999000.0,89.33,6142513.0,300.0,,,0.424,1800.0,,,,627340.0,70.16131603,,0.424,2.402402402,,300.0
SOM,1984,104.73,26.65,,1004000.0,89.82,6369020.0,750.0,,,-0.032,2600.0,,,,627340.0,70.16928619,,-0.032,3.844621514,,510.0
SOM,1985,117.91,26.58,,1009000.0,92.41,6630637.0,300.0,,,-0.039,,,,,627340.0,70.17725635,,-0.039,0.594648167,,300.0
SOM,1986,119.31,26.73,,1014000.0,91.49,6908579.0,400.0,,,0.055,920.0,,,,627340.0,70.18522651,,0.055,1.696252465,,400.0
SOM,1987,127.33,26.69,,1018000.0,98.99,7158004.0,300.0,,,0.824,3000.0,,,,627340.0,70.19319667,,0.824,3.634577603,0.81,400.0
SOM,1988,134.55,26.74,,1021000.0,103.75,7160461.0,500.0,,,0.675,1300.0,,,,627340.0,70.1995728,,0.675,2.154750245,1.000761539,400.0
SOM,1989,140.24,26.77,,1021000.0,104.61,7035378.0,800.0,,,-0.149,1400.0,,,,627340.0,70.20116683,,-0.149,2.64446621,1.191523077,500.0
SOM,1990,113.44,26.85,22.51186527,1022000.0,97.44,6999096.0,500.0,,,0.06,1700.0,39.5451,,,627340.0,70.2043549,282,0.06,2.641878669,1.382284615,500.0
SOM,1991,87.98,26.83,19.72124498,1022000.0,83.16,6732702.0,,,38.708220928875,0.181,,43.2151,,,627340.0,70.2043549,,0.181,,1.573046154,
SOM,1992,70.93,26.46,17.80132329,1023000.0,71.33,6428141.0,,,38.7417403844084,0.479,,38.4054,,,627340.0,70.20594893,,0.479,,1.763807692,
SOM,1993,73.76,26.58,16.60816105,1024000.0,78.65,6620729.0,,,38.7130717318074,0.105,,41.1979,,,627340.0,70.20754296,,0.105,,1.954569231,
SOM,1994,92.76,26.69,15.99781909,1030000.0,87.17,6959828.0,,,39.4774332545201,0.438,,43.8435,,,627340.0,70.21710715,,0.438,,2.145330769,
SOM,1995,84.69,26.76,15.82635824,1035000.0,89.48,7210930.0,,,39.4835497993223,0.404,,36.6012,,,627340.0,70.22667134,,0.404,,2.336092308,
SOM,1996,84.38,26.81,17.14538734,1039000.0,92.66,7472450.0,,,39.2645023389456,0.56,500.0,37.6404,,,627340.0,70.2346415,,0.56,0.481231954,2.526853846,
SOM,1997,86.41,26.92,20.2907644,1043000.0,93.45,7734313.0,,,39.5812030605409,0.352,500.0,36.1196,,,627340.0,70.24261166,,0.352,0.479386385,2.717615385,
SOM,1998,75.29,26.95,24.04492412,1043000.0,96.94,8056862.0,,,39.3290607339569,0.58,500.0,35.0026,,,627340.0,70.24420569,,0.58,0.479386385,2.908376923,
SOM,1999,85.12,26.91,27.19030119,1043000.0,91.48,8384479.0,,,39.0419160707013,0.358,500.0,42.1389,,,627340.0,70.24420569,,0.358,0.479386385,3.099138462,
SOM,2000,94.22,26.97,28.50933028,1043000.0,93.77,8721465.0,,,38.7206865365553,0.397,500.0,38.5499,,,627340.0,70.24420569,282,0.397,0.479386385,3.2899,
SOM,2001,100.47,27.05,27.89014938,1045000.0,98.81,9070747.0,,,38.8149136964356,0.747,500.0,39.2785,,,627340.0,70.25058182,,0.747,0.4784689,3.2926,
SOM,2002,105.35,27.02,26.41364109,1064000.0,100.7,9411103.0,0.0,,38.3274911650646,0.783,0.0,40.7377,,,627340.0,70.28086843,,0.783,0.0,3.2953,0.0
SOM,2003,104.76,27.14,24.65135699,1083000.0,101.79,9758281.0,0.0,,37.9273669139623,1.008,0.0,39.831,,,627340.0,70.31115504,,1.008,0.0,3.298,0.0
SOM,2004,104.66,27.07,23.1748487,1130000.0,103.56,10117354.0,0.0,,37.5381215647091,0.439,0.0,29.8527,,,627340.0,70.38766857,,0.439,0.0,3.298,0.0
SOM,2005,101.8,27.04,22.5556678,1100000.0,107.14,10467292.0,0.0,,37.1231640240405,1.044,0.0,31.356,,,627340.0,70.33825358,,1.044,0.0,3.298,0.0
SOM,2006,94.76,26.98,22.59636277,1050000.0,102.01,10784973.0,7.8,,36.6756900542546,0.832,0.0,23.197,,,627340.0,70.25855198,,0.832,0.007428571,3.298,0.0
SOM,2007,89.88,27.03,22.73108592,1000000.0,101.3,11118092.0,0.0,,36.3030936736286,0.936,0.0,23.8804,,,627340.0,70.17885038,,0.936,0.0,3.298,0.0
SOM,2008,92.7,27.04,22.97879459,1100000.0,98.69,11444870.0,0.0,,35.8408386062276,0.647,0.0,23.6548,,,627340.0,70.33825358,,0.647,0.0,3.298,0.0
