code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
SSD,1950,,27.29,,,,,,,,,,,,,,,,,,,
SSD,1951,,27.44,,,,,,,,,,,,,,,,,,,
SSD,1952,,27.32,,,,,,,,,,,,,,,,,,,
SSD,1953,,27.39,,,,,,,,,,,,,,,,,,,
SSD,1954,,27.35,,,,,,,,,,,,,,,,,,,
SSD,1955,,27.29,,,,,,,,,,,,,,,,,,,
SSD,1956,,27.32,,,,,,,,,,,,,,,,,,,
SSD,1957,,27.42,,,,,,,,,,,,,,,,,,,
SSD,1958,,27.33,,,,,,,,,,,,,,,,,,,
SSD,1959,,27.4,,,,,,,,,,,,,,,,,,,
SSD,1960,,27.44,,,,2907724.0,,,,,,,,,,,,,,,
SSD,1961,,27.43,,,,2948953.0,,,,,,,,,,,,,,,
SSD,1962,,27.42,,,,2992270.0,,,,,,,,,,,,,,,
SSD,1963,,27.06,,,,3036238.0,,,,,,,,,,,,,,,
SSD,1964,,27.04,,,,3088701.0,,,,,,,,,,,,,,,
SSD,1965,,27.18,,,,3143622.0,,,,,,,,,,,,,,,
SSD,1966,,27.18,,,,3185305.0,,,,,,,,,,,,,,,
SSD,1967,,27.21,,,,3221957.0,,,,,,,,,,,,,,,
SSD,1968,,27.34,,,,3261725.0,,,,,,,,,,,,,,,
SSD,1969,,27.34,,,,3301892.0,,,,,,,,,,,,,,,
SSD,1970,,27.37,,,,3342410.0,,,,,,,,,,,,,,,
SSD,1971,,27.26,,,,3396808.0,,,,,,,,,,,,,,,
SSD,1972,,27.4,,,,3464715.0,,,,,,,,,,,,,,,
SSD,1973,,27.47,,,,3542465.0,,,,,,,,,,,,,,,
SSD,1974,..,27.37,,,,3629608.0,,,,,,,,,,,,,,,
SSD,1975,..,27.37,,,,3718279.0,,,,,,,,,,,,,,,
SSD,1976,..,27.34,,,,3808615.0,,,,,,,,,,,,,,,
SSD,1977,..,27.49,,,,3901044.0,,,,,,,,,,,,,,,
SSD,1978,..,27.34,,,,3995911.0,,,,,,,,,,,,,,,
SSD,1979,..,27.48,,,,4092792.0,,,,,,,,,,,,,,,
SSD,1980,..,27.52,,,,4192012.0,,,,,,,,,,,,,,,
SSD,1981,..,27.59,,,,4293866.0,,,,,,,,,,,,,,,
SSD,1982,..,27.41,,,,4398297.0,,,,,,,,,,,,,,,
SSD,1983,..,27.44,,,,4502541.0,,,,,,,,,,,,,,,
SSD,1984,..,27.43,,,,4603039.0,,,,,,,,,,,,,,,
SSD,1985,..,27.38,,,,4706975.0,,,,,,,,,,,,,,,
SSD,1986,..,27.59,,,,4819667.0,,,,,,,,,,,,,,,
SSD,1987,..,27.58,,,,4893809.0,,,,,,,,,,,,,,,
SSD,1988,..,27.62,,,,4814879.0,,,,,,,,,,,,,,,
SSD,1989,..,27.6,,,,4706626.0,,,,,,,,,,,,,,,
SSD,1990,..,27.7,33.46236815,,,4750817.0,,,,,,,,,,,..,,,,
SSD,1991,..,27.58,31.76923905,,,4867185.0,,,68.2223178112581,,,,,,,,,,,,
SSD,1992,..,27.31,30.65957366,,,4956969.0,,,68.026916704197,,,,,,,,,,,,
SSD,1993,..,27.27,30.01433485,,,5018172.0,,,67.8550550033025,,,,,,,,,,,,
SSD,1994,..,27.4,29.71448547,,,5142863.0,,,67.7789993669241,,,,,,,,,,,,
SSD,1995,..,27.55,29.64098837,,,5302042.0,,,67.5578634222751,,,,,,,,,,,,
SSD,1996,..,27.61,30.55525796,,,5434894.0,,,67.3122814837514,,,,,,,,,,,,
SSD,1997,..,27.71,32.7354393,,,5589410.0,,,66.7307277724394,,,,,,,,,,,,
SSD,1998,..,27.67,35.33759121,,,5699436.0,,,66.4654197311086,,,,,,,,,,,,
SSD,1999,..,27.65,37.51777255,,,5850145.0,,,66.2231194484769,,,,,,,,,,,,
SSD,2000,..,27.76,38.43204214,,,6114440.0,,,65.7967353178755,,,,,,,,..,,,,
SSD,2001,..,28.0,38.28068444,,,6394431.0,,,65.2856695407785,,,,,,,,,,,,
SSD,2002,..,27.91,37.91029108,,,6686100.0,,99.8,64.7875527087953,,,,,,,,,,,,
SSD,2003,..,27.83,37.4463816,,,6992367.0,,,64.26913032112,,,,,,,,,,,,
SSD,2004,..,27.79,37.01447557,,,7317118.0,,99.8,63.8048268384233,,,,,,,,,,,,
SSD,2005,..,27.79,36.74009257,,,7662654.0,,,63.3055583994937,,,,,,,,,,,,
SSD,2006,..,27.89,36.57748773,,,8029517.0,,99.8,62.7403562387092,,,,,,,,,,,,
SSD,2007,..,27.75,36.41220995,,,8417823.0,,,62.2028382213813,,,,,,,,,,,,
SSD,2008,..,27.88,36.2667194,,,8823888.0,,99.80584,61.7774388017558,,,,,,,,,,,,
SSD,2009,..,27.9,36.16347625,,,9229227.0,,,61.6169684663207,,,,,,,,,,,,
SSD,2010,..,28.06,36.12494067,,,9714419.0,,97.0038,61.2166614618808,,,,,,,,,,,,
SSD,2011,..,28.12,38.37701051,,,10243050.0,,,61.4252578443558,1.506,,,,,,,,1.506,,,
SSD,2012,91.55,28.04,39.05812518,2658712.5,96.5,10701604.0,,94.20176,61.693829776684,1.172,0.5,266.4,,,631930.0,45.09662858,,1.172,0.000188061,0.658,
SSD,2013,88.31,28.06,37.47378781,2616425.0,97.29,11106031.0,4.8,,60.6796474397554,1.395,,259.2,,,631930.0,45.04078775,,1.395,0.003669129,0.658,4.8
SSD,2014,98.25,28.17,31.4965311,2575137.5,98.5,11213284.0,,94.2,60.16503728435,0.946,13.48,266.4,284273.375008363,6746476.499400053,631930.0,44.98494691,900,0.946,0.006753037,0.658,3.91
SSD,2015,103.33,,38.25936445,2537850.0,99.03,11194299.0,6.7,,60.3664853070102,1.135,55.04,288.0,283920.499988151,6757604.861057789,631930.0,44.92910607,900,1.135,0.024508935,0.658,0.46
SSD,2016,98.41,,35.29853875,2502562.5,102.47,11066105.0,7.58,94.2,60.9316367393641,1.272,67.99,259.2,283567.625031132,6742758.899796608,631930.0,44.87326524,900,1.272,0.034304838,0.658,10.28
SSD,2017,96.58,,35.06600367,2467275.0,102.74,10658226.0,0.38,,61.1718858092903,1.252,62.77,237.042,283214.75001092,6519837.838016089,631930.0,44.8174244,900,1.252,0.026511029,0.658,2.26
SSD,2018,101.12,,34.3895571,2396700.0,102.39,10395329.0,86.14,,61.2202485634641,1.118,96.18,242.5968,282508.99997049605,6364046.252789867,631930.0,44.70574272,900,1.118,0.10171903,0.658,61.47
SSD,2019,106.95,,33.35997947,2394700.0,112.65,10447666.0,64.82,,60.9573437924524,0.945,81.63,244.7064,282508.99997049605,6368619.68190716,631930.0,44.70574272,900,0.945,0.089551927,0.658,68.0
SSD,2020,110.85,,30.73734786,2394700.0,104.82,10606227.0,40.18,,61.0425211864959,0.536,107.59,228.5964,282506.999975239,6474308.363562848,631930.0,44.70542623,900,0.536,0.075696329,0.658,33.5
SSD,2021,112.4,,,2394700.0,115.1,10748272.0,1.19,,60.7832961686601,1.054,245.87,228.5964,282526.999991002,6533154.002773167,631930.0,44.70859114,900,1.054,0.025844573,0.658,1.14
SSD,2022,117.91,,,,113.15,10913164.0,0.0,,60.2715706739,0.808,1.33,228.5964,,,,,..,0.808,,,0.0
SSD,2023,..,,,,,11088796.0,,,,1.351,,,,,,,..,1.351,,,
