code,year,0. Crop production index,1. Mean air temperature,4. Agriculture land area (% of land area)_x,4. Agriculture land area (% of land area)_y,5. Average precipitation (mm),7. Fertilizer consumption (kilograms per hectare of arable land)_x,7. Fertilizer consumption (kilograms per hectare of arable land)_y,13. Population_x,13. Population_y,17. Employment in agriculture (% of total employment) (modeled ILO estimate)_x,17. Employment in agriculture (% of total employment) (modeled ILO estimate)_y
STP,2002,113.82,25.59,37.5,37.5,1473.39,25.75,25.75,149841.0,149841.0,30.3117902126781,30.3117902126781
STP,2003,114.5,25.64,37.5,37.5,1550.8,23.48666667,23.48666667,153762.0,153762.0,29.2122051332773,29.2122051332773
STP,2004,106.62,25.62,36.45833333,36.45833333,1426.48,32.08,32.08,157697.0,157697.0,29.3049257419804,29.3049257419804
STP,2005,109.02,25.62,35.41666667,35.41666667,1435.3,21.62,21.62,161680.0,161680.0,27.9127579737336,27.9127579737336
STP,2006,108.74,25.64,35.41666667,35.41666667,1518.39,26.555,26.555,165725.0,165725.0,26.1986694195916,26.1986694195916
STP,2007,107.94,25.63,35.41666667,35.41666667,1547.06,25.85,25.85,169845.0,169845.0,25.4262185622079,25.4262185622079
STP,2008,103.85,25.66,35.41666667,35.41666667,1448.38,27.75333333,27.75333333,174004.0,174004.0,24.4573676928398,24.4573676928398
STP,2009,105.45,25.68,35.41666667,35.41666667,1466.12,24.91666667,24.91666667,178128.0,178128.0,23.8527845854813,23.8527845854813
STP,2010,103.33,25.73,34.375,34.375,1541.26,30.0,30.0,182138.0,182138.0,22.6395025364098,22.6395025364098
STP,2011,101.26,25.76,35.41666667,35.41666667,1580.36,53.4275,53.4275,186044.0,186044.0,21.9444278696024,21.9444278696024
STP,2012,103.29,25.84,36.45833333,36.45833333,1488.5,43.9675,43.9675,189924.0,189924.0,21.4683691236216,21.4683691236216
STP,2013,112.44,25.88,36.45833333,36.45833333,1545.87,45.365,45.365,193757.0,193757.0,20.7712082262211,20.7712082262211
STP,2014,106.54,25.89,38.54166667,38.54166667,1568.93,46.7625,46.7625,197497.0,197497.0,20.0799387385368,20.0799387385368
