code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
SWZ,1950,,19.87,,,,,,,,,,,,,,,,,,,
SWZ,1951,,19.96,,,,,,,,,,,,,,,,,,,
SWZ,1952,,20.1,,,,,,,,,,,,,,,,,,,
SWZ,1953,,19.89,,,,,,,,,,,,,,,,,,,
SWZ,1954,,19.95,,,,,,,,,,,,,,,,,,,
SWZ,1955,,20.07,,,,,,,,,,,,,,,,,,,
SWZ,1956,,19.87,,,,,,,,,,,,,,,,,,,
SWZ,1957,,20.03,,,,,,,,,,,,,,,,,,,
SWZ,1958,,20.06,,,,,,,,,,,,,,,,,,,
SWZ,1959,,19.82,,,,,,,,,,,,,,,,,,,
SWZ,1960,,19.98,,,,345065.0,,,,,,,,,,,,,,,
SWZ,1961,,20.06,,124000.0,60.44,352971.0,1200.0,,,0.237,1700.0,,,,17200.0,85.34883721,,0.237,31.4516129,,1000.0
SWZ,1962,,20.03,,134000.0,66.49,361070.0,1200.0,,,0.413,1800.0,,,,17200.0,85.93023256,,0.413,29.85074627,,1000.0
SWZ,1963,,19.71,,129000.0,65.63,369527.0,1108.0,,,-0.228,1944.0,,,,17200.0,85.69767442,,-0.228,28.1627907,,581.0
SWZ,1964,,19.63,,132000.0,67.45,378531.0,1018.0,,,-0.014,2194.0,,,,17200.0,85.87209302,,-0.014,29.35606061,,663.0
SWZ,1965,,19.8,,140000.0,61.42,388317.0,1500.0,,,-0.265,3000.0,,,,17200.0,86.27906977,,-0.265,39.28571429,,1000.0
