code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
SYC,1950,,25.77,,,,,,,,,,,,,,,,,,,
SYC,1951,,25.82,,,,,,,,,,,,,,,,,,,
SYC,1952,,25.84,,,,,,,,,,,,,,,,,,,
SYC,1953,,25.78,,,,,,,,,,,,,,,,,,,
SYC,1954,,25.72,,,,,,,,,,,,,,,,,,,
SYC,1955,,25.77,,,,,,,,,,,,,,,,,,,
SYC,1956,,25.78,,,,,,,,,,,,,,,,,,,
SYC,1957,,25.8,,,,,,,,,,,,,,,,,,,
SYC,1958,,25.88,,,,,,,,,,,,,,,,,,,
SYC,1959,,25.76,,,,,,,,,,,,,,,,,,,
SYC,1960,,25.86,,,,41700.0,,,,,,,,,,,,,,,
SYC,1961,,25.84,,1000.0,23.67,42889.0,,,,0.307,,,,,460.0,10.86956522,,0.307,,,
SYC,1962,,25.78,,1000.0,22.69,44042.0,,,,0.072,,,,,460.0,10.86956522,,0.072,,,
SYC,1963,,25.57,,1000.0,25.11,45176.0,,,,-0.095,,,,,460.0,10.86956522,,-0.095,,,
SYC,1964,,25.64,,1000.0,25.29,46322.0,,,,-0.182,,,,,460.0,10.86956522,,-0.182,,,
SYC,1965,,25.66,,1000.0,26.38,47500.0,,,,-0.55,,,,,460.0,10.86956522,,-0.55,,,
SYC,1966,,25.73,,1000.0,28.9,48699.0,,,,0.058,,,,,460.0,10.86956522,,0.058,,,
SYC,1967,,25.63,,1000.0,29.52,49911.0,,,,0.014,,,,,460.0,10.86956522,,0.014,,,
SYC,1968,,25.7,,1000.0,31.54,51134.0,,,,-0.166,,,,,460.0,10.86956522,,-0.166,,,
SYC,1969,,25.78,,1000.0,32.89,52365.0,,,,0.191,,,,,460.0,10.86956522,,0.191,,,
SYC,1970,,25.76,,1000.0,36.72,53600.0,,,,0.302,,,,,460.0,10.86956522,,0.302,,,
SYC,1971,,25.81,,1000.0,40.98,54695.0,,,,-0.448,,,,,460.0,10.86956522,,-0.448,,,
SYC,1972,,25.83,,1000.0,50.42,56029.0,,,,-0.363,,,,,460.0,10.86956522,,-0.363,,,
SYC,1973,,25.89,,1000.0,55.8,56892.0,,,,0.182,,,,,460.0,10.86956522,,0.182,,,
SYC,1974,286.2,25.9,,1000.0,63.17,57937.0,,,,-0.477,,,,,460.0,10.86956522,,-0.477,,,
