code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
TCD,1950,,26.5,,,,,,,,,,,,,,,,,,,
TCD,1951,,26.65,,,,,,,,,,,,,,,,,,,
TCD,1952,,26.47,,,,,,,,,,,,,,,,,,,
TCD,1953,,26.45,,,,,,,,,,,,,,,,,,,
TCD,1954,,26.55,,,,,,,,,,,,,,,,,,,
TCD,1955,,26.5,,,,,,,,,,,,,,,,,,,
TCD,1956,,26.42,,,,,,,,,,,,,,,,,,,
TCD,1957,,26.59,,,,,,,,,,,,,,,,,,,
TCD,1958,,26.49,,,,,,,,,,,,,,,,,,,
TCD,1959,,26.49,,,,,,,,,,,,,,,,,,,
TCD,1960,,26.61,,,,3028688.0,,,,,,,,,,,,,,,
TCD,1961,,26.52,,2897000.0,8.34,3087657.0,45.0,,,-0.428,126.0,,,,1260000.0,38.01587302,,-0.428,0.059026579,,
TCD,1962,,26.61,,2897000.0,9.06,3148242.0,45.0,,,-0.286,94.0,,,,1260000.0,38.01587302,,-0.286,0.04798067,,
TCD,1963,,26.17,,2897000.0,9.41,3210296.0,45.0,,,0.288,117.0,,,,1260000.0,38.01587302,,0.288,0.055919917,,
TCD,1964,,26.29,,2897000.0,9.55,3273419.0,46.0,,,-0.198,31.0,,,,1260000.0,38.01587302,,-0.198,0.02657922,,
TCD,1965,,26.39,,2897000.0,9.97,3336338.0,63.0,,,-0.127,400.0,,,,1260000.0,38.01587302,,-0.127,0.159820504,,
TCD,1966,,26.43,,2897000.0,9.62,3398664.0,80.0,,,-0.034,400.0,,,,1260000.0,38.01587302,,-0.034,0.165688643,,
TCD,1967,,26.34,,2897000.0,10.21,3461664.0,480.0,,,-0.396,642.0,,,,1260000.0,38.01587302,,-0.396,0.387297204,,
TCD,1968,,26.42,,2897000.0,10.49,3526770.0,600.0,,,-0.178,800.0,,,,1260000.0,38.01587302,,-0.178,0.483258543,,
TCD,1969,,26.37,,2897000.0,9.25,3595152.0,882.0,,,0.587,882.0,,,,1260000.0,38.01587302,,0.587,0.608905765,,
TCD,1970,,26.51,,2897000.0,9.53,3667394.0,775.0,,,0.132,1133.0,,,,1260000.0,38.01587302,,0.132,0.658612358,,
