code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
TUN,1950,,19.39,,,,,,,,,,,,,,,,,,,
TUN,1951,,19.44,,,,,,,,,,,,,,,,,,,
TUN,1952,,19.44,,,,,,,,,,,,,,,,,,,
TUN,1953,,19.54,,,,,,,,,,,,,,,,,,,
TUN,1954,,19.38,,,,,,,,,,,,,,,,,,,
TUN,1955,,19.56,,,,,,,,,,,,,,,,,,,
TUN,1956,,19.34,,,,,,,,,,,,,,,,,,,
TUN,1957,,19.53,,,,,,,,,,,,,,,,,,,
TUN,1958,,19.53,,,,,,,,,,,,,,,,,,,
TUN,1959,,19.59,,,,,,,,,,,,,,,,,,,
TUN,1960,,19.51,,,,4195467.0,,,,,,,,,,,,,,,
TUN,1961,,19.41,,3100000.0,17.06,4236386.0,10000.0,,,0.299,3000.0,,,,155360.0,55.66426365,,0.299,4.935483871,,2300.0
TUN,1962,,19.42,,3100000.0,16.56,4281744.0,14857.0,,,0.21,4000.0,,,,155360.0,55.65139032,,0.21,6.857096774,,2400.0
TUN,1963,,19.38,,3100000.0,16.6,4332926.0,10911.0,,,0.015,5699.0,,,,155360.0,55.63851699,,0.015,6.558387097,,3721.0
TUN,1964,,19.29,,3180000.0,17.74,4389417.0,11202.0,,,0.4,6000.0,,,,155360.0,56.16632338,,0.4,6.321383648,,2900.0
TUN,1965,,19.24,,3180000.0,19.08,4457282.0,13365.0,,,-0.094,6000.0,,,,155360.0,56.15345005,,-0.094,6.875786164,,2500.0
TUN,1966,,19.36,,3180000.0,21.08,4548972.0,14322.0,,,0.543,7000.0,,,,155360.0,56.14057673,,0.543,7.648427673,,3000.0
TUN,1967,,19.38,,3180000.0,21.22,4661271.0,14385.0,,,0.026,5500.0,,,,155360.0,56.1277034,,0.026,7.227987421,,3100.0
TUN,1968,,19.28,,3180000.0,19.7,4785003.0,16526.0,,,0.084,9050.0,,,,155360.0,56.11483007,,0.084,9.049056604,,3200.0
TUN,1969,,19.28,,3186000.0,19.75,4915162.0,21175.0,,,0.038,13380.0,,,,155360.0,57.08032956,,0.038,12.10138104,,4000.0
