code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
TZA,1950,,22.49,,,,,,,,,,,,,,,,,,,
TZA,1951,,22.58,,,,,,,,,,,,,,,,,,,
TZA,1952,,22.51,,,,,,,,,,,,,,,,,,,
TZA,1953,,22.53,,,,,,,,,,,,,,,,,,,
TZA,1954,,22.53,,,,,,,,,,,,,,,,,,,
TZA,1955,,22.51,,,,,,,,,,,,,,,,,,,
TZA,1956,,22.47,,,,,,,,,,,,,,,,,,,
TZA,1957,,22.5,,,,,,,,,,,,,,,,,,,
TZA,1958,,22.52,,,,,,,,,,,,,,,,,,,
TZA,1959,,22.49,,,,,,,,,,,,,,,,,,,
TZA,1960,,22.61,,,,10042458.0,,,,,,,,,,,,,,,
TZA,1961,,22.54,,5200000.0,18.22,10337891.0,810.0,,,0.381,1423.0,,,,885800.0,29.35199819,,0.381,0.523653846,,490.0
TZA,1962,,22.53,,5050000.0,18.37,10644622.0,758.0,,,-0.254,1149.0,,,,885800.0,29.35199819,,-0.254,0.471287129,,473.0
TZA,1963,,22.26,,6100000.0,19.22,10960161.0,800.0,,,-0.282,1500.0,,,,885800.0,30.4809212,,-0.282,0.508196721,,800.0
TZA,1964,,22.27,,6000000.0,19.25,11289556.0,800.0,,,-0.389,1500.0,,,,885800.0,30.4809212,,-0.389,0.65,,1600.0
TZA,1965,,22.42,,6000000.0,19.82,11630603.0,1000.0,,,-0.207,4000.0,,,,885800.0,30.4809212,,-0.207,1.166666667,,2000.0
TZA,1966,,22.42,,6000000.0,21.64,11981932.0,1300.0,,,0.098,5000.0,,,,885800.0,30.4809212,,0.098,1.466666667,,2500.0
TZA,1967,,22.4,,6000000.0,22.45,12346286.0,1500.0,,,0.056,4000.0,,,,885800.0,30.4809212,,0.056,1.45,,3200.0
TZA,1968,,22.44,,6000000.0,22.7,12739965.0,2000.0,,,-0.452,4000.0,,,,885800.0,30.4809212,,-0.452,1.5,,3000.0
TZA,1969,,22.48,,6000000.0,23.29,13167782.0,3500.0,,,0.363,5000.0,,,,885800.0,30.4809212,,0.363,1.833333333,,2500.0
TZA,1970,,22.56,,7000000.0,24.34,13618192.0,4000.0,,,0.213,8000.0,,,,885800.0,31.60984421,,0.213,2.142857143,,3000.0
TZA,1971,,22.51,,7000000.0,25.17,14092218.0,3500.0,,,-0.252,10700.0,,,,885800.0,32.73876722,,-0.252,2.485714286,,3200.0
TZA,1972,,22.51,,7000000.0,23.56,14595699.0,4266.0,,,0.063,8611.0,,,,885800.0,32.73876722,,0.063,2.289714286,,3151.0
TZA,1973,,22.57,,7000000.0,22.82,15123504.0,5800.0,,,0.389,11133.0,,,,885800.0,32.73876722,,0.389,2.848142857,,3004.0
TZA,1974,20.88,22.54,,7000000.0,23.72,15671316.0,11655.0,,,-0.081,13944.0,,,,885800.0,32.73876722,,-0.081,4.449142857,,5545.0
TZA,1975,23.37,22.5,,7000000.0,24.82,16243826.0,11300.0,,,-0.005,14891.0,,,,885800.0,32.73876722,,-0.005,4.238571429,,3479.0
TZA,1976,24.41,22.5,,7000000.0,25.97,16838919.0,11020.0,,,0.0,13337.0,,,,885800.0,32.73876722,,0.0,4.388714286,,6364.0
TZA,1977,25.99,22.59,,7000000.0,27.85,17454627.0,9115.0,,,0.302,16031.0,,,,885800.0,32.73876722,,0.302,4.249428571,,4600.0
TZA,1978,26.5,22.53,,8000000.0,28.55,18080005.0,10400.0,,,0.105,12900.0,,,,885800.0,33.86769022,,0.105,3.6625,,6000.0
TZA,1979,27.92,22.65,,8000000.0,28.84,18698636.0,4500.0,,,-0.104,23000.0,,,,885800.0,33.86769022,,-0.104,3.75,,2500.0
TZA,1980,26.34,22.64,,8000000.0,28.13,19297659.0,9400.0,,,0.4,22800.0,,,,885800.0,33.86769022,,0.4,4.4375,,3300.0
TZA,1981,27.21,22.7,,8000000.0,29.96,19890930.0,8500.0,,,0.382,17500.0,,,,885800.0,34.99661323,,0.382,3.6375,,3100.0
TZA,1982,28.22,22.57,,8000000.0,31.17,20499922.0,2854.0,,,0.417,23200.0,,,,885800.0,34.99661323,,0.417,3.651125,,3155.0
TZA,1983,29.6,22.54,,8000000.0,31.82,21170717.0,5167.0,,,0.69,15463.0,,,,885800.0,34.99661323,,0.69,2.862625,,2271.0
TZA,1984,30.25,22.57,,8000000.0,33.03,21857176.0,10600.0,,,0.098,23500.0,,,,885800.0,34.99661323,,0.098,4.5375,,2200.0
TZA,1985,31.44,22.54,,9000000.0,34.97,22569625.0,11616.0,,,0.063,25926.0,,,,885800.0,36.12553624,,0.063,4.6,,3858.0
TZA,1986,32.46,22.8,,9000000.0,36.38,23324270.0,12457.0,,,0.136,26150.0,,,,885800.0,36.12553624,,0.136,4.719888889,,3872.0
TZA,1987,32.54,22.73,,9000000.0,37.08,24099415.0,12547.0,,,0.573,31931.0,,,,885800.0,36.12553624,,0.573,5.315666667,,3363.0
TZA,1988,31.09,22.7,,9000000.0,39.29,24844147.0,11107.0,,,0.668,26684.0,,,,885800.0,36.12553624,,0.668,4.576777778,,3400.0
TZA,1989,33.2,22.74,,9000000.0,40.74,25522898.0,12100.0,,,-0.127,28400.0,,,,885800.0,36.12553624,,-0.127,4.922222222,,3800.0
TZA,1990,34.06,22.81,16.54556329,9000000.0,41.85,26206012.0,10900.0,,,0.129,33100.0,195.6409,,,885800.0,35.21109731,1071,0.129,5.2,,2800.0
TZA,1991,35.3,22.76,16.35916969,9003000.0,45.8,26890906.0,11318.0,,84.5905863503395,0.257,33644.0,216.8566,,,885800.0,35.63105667,,0.257,5.518049539,,4717.0
TZA,1992,34.47,22.49,16.24639794,8800000.0,47.23,27580723.0,10000.0,,84.5830709337608,0.26,33147.0,214.9767,,,885800.0,36.05101603,,0.26,5.445795455,,4776.0
TZA,1993,34.15,22.48,16.18886248,8900000.0,49.07,28469017.0,6800.0,,84.5509070032582,-0.07,26300.0,214.0368,,,885800.0,36.47097539,,-0.07,4.078651685,,3200.0
TZA,1994,32.88,22.63,16.16817776,8900000.0,48.92,29598323.0,6900.0,,84.5124854814112,0.339,25400.0,188.7928,,,885800.0,36.89093475,,0.339,4.033707865,1.48525,3600.0
TZA,1995,35.71,22.78,16.16595823,8900000.0,54.21,30560071.0,7000.0,,84.4748600094462,0.273,15000.0,192.4183,,,885800.0,37.31089411,,0.273,3.033707865,1.94759375,5000.0
TZA,1996,37.37,22.83,16.53104976,9000000.0,47.67,31140733.0,7000.0,,84.2983503886357,0.139,20175.0,220.0792,,,885800.0,37.73085347,,0.139,3.468222222,2.4099375,4039.0
TZA,1997,35.33,22.85,17.42224246,8908000.0,48.19,31785846.0,8300.0,,84.120892034515,0.514,24943.0,234.9839,,,885800.0,38.04809212,,0.514,4.488100584,2.87228125,6737.0
TZA,1998,38.12,22.94,18.53606713,8725000.0,49.73,32626498.0,5917.0,,83.8737762554938,0.399,19324.0,256.6024,,,885800.0,38.15759765,,0.399,3.536504298,3.334625,5615.0
TZA,1999,37.76,22.89,19.56905455,8700000.0,58.07,33499772.0,6234.0,,83.4868128681722,-0.331,12535.0,242.9062,,,885800.0,38.27048995,,-0.331,2.411494253,3.79696875,2211.0
TZA,2000,37.58,22.87,20.21773554,8600000.0,48.41,34463704.0,5974.0,81.32802,83.0073498170187,0.423,14135.0,256.871,,,885800.0,38.38338225,1071,0.423,2.605116279,4.2593125,2295.0
TZA,2001,41.84,23.1,20.52207811,8530000.0,51.07,35414469.0,884.0,,82.2901040884554,0.339,6660.0,270.5672,,,885800.0,38.49627455,,0.339,0.923094959,4.72165625,330.0
TZA,2002,53.17,23.01,20.75046147,8600000.0,52.85,36353531.0,5281.0,77.07039,80.6879305967046,0.521,22192.0,287.6203,,,885800.0,38.60916685,,0.521,3.699767442,5.184,4345.0
TZA,2003,44.55,23.03,20.94203322,8540000.0,54.86,37333918.0,6390.0,,78.9721280668906,0.881,26590.0,262.9134,,,885800.0,38.68819147,,0.881,4.455503513,5.184,5070.0
