code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
UGA,1950,,22.69,,,,,,,,,,,,,,,,,,,
UGA,1951,,22.76,,,,,,,,,,,,,,,,,,,
UGA,1952,,22.71,,,,,,,,,,,,,,,,,,,
UGA,1953,,22.73,,,,,,,,,,,,,,,,,,,
UGA,1954,,22.76,,,,,,,,,,,,,,,,,,,
UGA,1955,,22.72,,,,,,,,,,,,,,,,,,,
UGA,1956,,22.76,,,,,,,,,,,,,,,,,,,
UGA,1957,,22.78,,,,,,,,,,,,,,,,,,,
UGA,1958,,22.69,,,,,,,,,,,,,,,,,,,
UGA,1959,,22.78,,,,,,,,,,,,,,,,,,,
UGA,1960,,22.79,,,,7617746.0,,,,,,,,,,,,,,,
UGA,1961,,22.71,,3150000.0,20.37,7838440.0,1100.0,,,-0.025,1200.0,,,,199810.0,45.13287623,,-0.025,0.825396825,,300.0
UGA,1962,,22.71,,3200000.0,19.27,8068828.0,1100.0,,,-0.288,1300.0,,,,199810.0,45.61333267,,-0.288,0.84375,,300.0
UGA,1963,,22.55,,3269000.0,19.14,8311013.0,1200.0,,,-0.209,1500.0,,,,199810.0,46.33401732,,-0.209,0.978892628,,500.0
UGA,1964,,22.46,,3785000.0,19.09,8564755.0,1300.0,,,-0.265,1500.0,,,,199810.0,49.41194134,,-0.265,0.951122853,,800.0
UGA,1965,,22.59,,3768000.0,19.34,8829056.0,1500.0,,,-0.133,1864.0,,,,199810.0,49.40193184,,-0.133,1.158174098,,1000.0
UGA,1966,,22.58,,3776000.0,19.92,9104743.0,1700.0,,,0.003,2572.0,,,,199810.0,49.4719984,,0.003,1.396186441,,1000.0
UGA,1967,,22.6,,3772000.0,20.63,9393432.0,1327.0,,,-0.073,1709.0,,,,199810.0,49.48701266,,-0.073,1.001060445,,740.0
UGA,1968,,22.68,,3780000.0,20.87,9696370.0,1495.0,,,-0.252,1981.0,,,,199810.0,49.67218858,,-0.252,1.25026455,,1250.0
UGA,1969,,22.7,,3780000.0,21.97,10006526.0,1150.0,,,0.128,2220.0,,,,199810.0,49.79730744,,0.128,1.208994709,,1200.0
UGA,1970,,22.72,,3780000.0,23.43,10317212.0,2000.0,,,0.05,4000.0,,,,199810.0,49.94745008,,0.05,1.851851852,0.2,1000.0
UGA,1971,,22.68,,3800000.0,23.86,10616338.0,2500.0,,,-0.124,4400.0,,,,199810.0,50.1976878,,-0.124,2.131578947,0.20432,1200.0
UGA,1972,,22.76,,3850000.0,24.61,10885563.0,2000.0,,,0.125,4000.0,,,,199810.0,50.54802062,,0.125,1.998961039,0.20864,1696.0
UGA,1973,,22.81,,3900000.0,25.59,11146099.0,2400.0,,,0.403,4000.0,,,,199810.0,50.94840098,,0.403,1.842820513,0.21296,787.0
UGA,1974,89.45,22.78,,3950000.0,26.34,11428676.0,1300.0,,,-0.082,1600.0,,,,199810.0,51.36880036,,-0.082,0.911392405,0.21728,700.0
UGA,1975,94.61,22.8,,4025000.0,27.28,11730959.0,660.0,,,-0.009,872.0,,,,199810.0,52.08448026,,-0.009,0.419627329,0.2216,157.0
UGA,1976,86.48,22.79,,4072000.0,27.68,12045227.0,430.0,,,0.058,963.0,,,,199810.0,52.7401031,,0.058,0.406679764,0.22592,263.0
UGA,1977,86.6,22.84,,4023000.0,29.72,12369253.0,500.0,,,0.201,300.0,,,,199810.0,52.7401031,,0.201,0.27342779,0.23024,300.0
UGA,1978,85.95,22.7,,4080000.0,32.56,12701999.0,300.0,,,0.116,,,,,199810.0,53.10044542,,0.116,0.073529412,0.23456,
UGA,1979,60.11,22.84,,4080000.0,33.12,13011511.0,,,,0.394,,,,,199810.0,53.10044542,,0.394,,0.23888,
UGA,1980,59.31,22.9,,4080000.0,30.88,13284026.0,100.0,,,0.718,700.0,,,,199810.0,53.45077824,,0.718,0.196078431,0.2432,
UGA,1981,63.86,22.92,,4120000.0,30.92,13563558.0,100.0,,,0.563,500.0,,,,199810.0,53.8511586,,0.563,0.145631068,0.24752,
UGA,1982,71.15,22.82,,4180000.0,31.71,13880052.0,,,,0.482,,,,,199810.0,54.25153896,,0.482,,0.25184,
UGA,1983,74.45,22.78,,4600000.0,32.27,14228932.0,,,,0.768,,,,,199810.0,56.55372604,,0.768,,0.25616,
UGA,1984,69.45,22.78,,4800000.0,33.13,14617944.0,100.0,,,0.398,400.0,,,,199810.0,57.55467694,,0.398,0.104166667,0.26048,
UGA,1985,71.19,22.8,,4900000.0,34.12,15038915.0,,,,0.259,200.0,,,,199810.0,58.05515239,,0.259,0.040816327,0.2648,
UGA,1986,72.76,22.96,,5000000.0,29.21,15486807.0,126.0,,,0.415,262.0,,,,199810.0,59.14118412,,0.415,0.0776,0.26912,
UGA,1987,77.07,22.93,,5000000.0,28.51,15974216.0,374.0,,,0.767,789.0,,,,199810.0,59.14118412,,0.767,0.235,0.27344,12.0
UGA,1988,80.39,22.94,,5000000.0,30.4,16489323.0,12.0,,,0.614,107.0,,,,199810.0,59.14118412,,0.614,0.0262,0.27776,12.0
UGA,1989,84.85,22.95,,5000000.0,34.3,17028543.0,55.0,,,0.062,250.0,,,,199810.0,59.36639808,,0.062,0.071,0.28208,50.0
UGA,1990,86.82,23.03,28.62121029,5000000.0,38.89,17586630.0,100.0,,,0.376,92.0,0.3559,,,199810.0,59.86687353,1180,0.376,0.0384,0.2864,
UGA,1991,86.95,22.94,28.8018693,5020000.0,43.44,18171935.0,300.0,,73.2536199125688,0.268,500.0,0.4396,,,199810.0,60.21720635,,0.268,0.239043825,0.29072,400.0
UGA,1992,85.02,22.75,29.05462731,5040000.0,44.39,18801966.0,100.0,,73.1974484051141,0.322,400.0,0.4327,,,199810.0,60.31730144,,0.322,0.158730159,0.29504,300.0
UGA,1993,91.14,22.71,29.36531365,5040000.0,46.29,19462958.0,400.0,,72.7828989941332,0.212,1300.0,0.4126,,,199810.0,60.46744407,,0.212,0.436507937,0.29936,500.0
UGA,1994,92.7,22.8,29.71975765,5060000.0,44.77,20125021.0,400.0,,72.6439013151958,0.262,1000.0,0.4266,,,199810.0,60.56753916,,0.262,0.375494071,0.30368,500.0
UGA,1995,96.61,22.91,30.10378863,5060000.0,45.82,20680831.0,200.0,,72.0344303228417,0.451,800.0,0.4248,,,199810.0,60.66763425,,0.451,0.256916996,0.308,300.0
UGA,1996,95.79,22.99,30.68023532,5060000.0,46.57,21249572.0,200.0,,71.4553879289052,0.295,200.0,0.492,,,199810.0,60.91787198,,0.295,0.118577075,0.31232,200.0
UGA,1997,96.56,23.01,31.4849084,5060000.0,47.26,21876935.0,200.0,,71.168391457277,0.567,200.0,0.615,,,199810.0,60.91787198,,0.567,0.118577075,0.31664,200.0
UGA,1998,104.26,23.02,32.31311016,5080000.0,49.08,22537658.0,939.0,,70.8163804484395,0.465,1825.0,0.5775,,,199810.0,61.26820479,,0.465,0.695866142,0.32096,771.0
